rank,anchor,specialty
1,真菌孢子,1
2,炼金梨缶,0.99782965713655614
3,剑杖,0.99359288069054319
4,颠茄,0.99275569285642695
5,煅烧釜,0.9885958339481693
6,地窖,0.98508217828934863
7,水蛭,0.98387766868491344
8,蜡烛,0.98148373186580973
9,折射棱镜,0.97904272827379757
10,笔与墨,0.9773051634792228
11,红宝石,0.97346803489813172
12,香炉,0.96414815121333075
13,毒液,0.96117611396009972
14,翡翠,0.94989185444942914
15,鳄鱼眼泪,0.93995742479283995
16,永恒火炬,0.93262693410505026
17,萤火虫,0.8816819451784621
18,手术刀,0.87037198139672922
19,云精灵,0.85309850583710534
20,腐朽圣像,0.82053173240963184
21,研钵与研杵,0.81853296083526439
22,碎瓶,0.80914913384534115
23,瓶装闪电,0.77025626533463887
24,和平铸箱,0.70485083975114471
25,曲颈甑,0.63217660372987838
26,毒芹,0.59011415218833307
27,黑曜石碎片,0.57330639826428265
28,贪婪渡鸦,0.55402056796609356
29,地刺陷阱,0.55196610089095821
30,再生药水,0.47335616577692691
31,硫磺,0.46706976773940556
32,没药,0.44368686216976649
33,毒液注射,0.4349884358426811
34,火焰药水,0.40415945410994936
35,黑玫瑰,0.3876063563866618
36,离子闪电,0.37666963604641618
37,青苔,0.3712614379374462
38,倒刺利爪,0.37080381157726372
39,展示玻璃球,0.36477748875288951
40,魔法飞毯,0.34928915675723565
41,蛇怪之牙,0.32801489525715527
42,贤者之石,0.31211713041056849
43,嗅盐,0.30602239828566158
44,昏睡药水,0.29960256772314531
45,熏香,0.28521516473343694
46,毒蜥,0.28211876847365769
47,时间之砂,0.27604832789638534
48,飞蛾粉末,0.24123400966734232
49,塔兹迪亚匕首,0.23334202540735527
50,彩虹药水,0.21076641097825458
51,生命导体,0.16881017747918392
52,拆信刀,0.14354686597056801
53,剧毒药水,0.076770182887006017
54,猫头鹰奥利,0.038958643401861233
55,空白石碑,0.032656273036122285
