rank,item,generality
1,真菌孢子,0.49928059088711307
2,翡翠,0.4827365171578481
3,毒液,0.31028098890964806
4,彩虹药水,0.2833246274893283
5,香炉,0.26135051980362467
6,笔与墨,0.22045268420951458
7,毒液注射,0.21895334846723966
8,鳄鱼眼泪,0.21810355972515455
9,地刺陷阱,0.21772074485861775
10,蛇怪之牙,0.19287406755620809
11,红宝石,0.1880100724267729
12,手术刀,0.17858167687849297
13,倒刺利爪,0.1557733158919061
14,炼金梨缶,0.12569928707010314
15,萤火虫,0.115038124004726
16,毒蜥,0.099814503100163626
17,瓶装闪电,0.088301499462836011
18,火焰药水,0.086493717156304412
19,拆信刀,0.078880878213164807
20,毒芹,0.076405737850447047
21,蜡烛,0.065361375983990222
22,研钵与研杵,0.033732381042558879
23,剧毒药水,0.027875023805063796
24,黑玫瑰,0.023666296795793716
25,云精灵,0.023340474694930988
26,碎瓶,0.019765545431758413
27,水蛭,0.019361931656496117
28,颠茄,0.017059105556535236
29,贤者之石,0.016771962649780141
30,硫磺,0.016408621781709293
31,再生药水,0.014482909261832363
32,嗅盐,0.01370077286406016
33,熏香,0.011506788890384364
34,塔兹迪亚匕首,0.011354238942872274
35,曲颈甑,0.0090794072740076198
36,魔法飞毯,0.0081171548088475338
37,昏睡药水,0.0062727182732689414
38,猫头鹰奥利,0.0056164879508747139
39,地窖,0.0030025711044302651
40,离子闪电,0.0028835354762300224
41,黑曜石碎片,0.002507517759070388
42,剑杖,0.0023916554281404301
43,飞蛾粉末,0.0011152406959312414
44,煅烧釜,0.0008849683255162887
45,贪婪渡鸦,0.00085787745840864714
46,和平铸箱,0
46,展示玻璃球,0
46,折射棱镜,0
46,时间之砂,0
46,永恒火炬,0
46,没药,0
46,生命导体,0
46,空白石碑,0
46,腐朽圣像,0
46,青苔,0
