order,node_index,signature
0,0,"手术刀,鳄鱼眼泪,云精灵,香炉,蛇怪之牙,地刺陷阱"
1,3,"彩虹药水,炼金梨缶,云精灵,翡翠,真菌孢子"
2,12,"翡翠,和平铸箱,笔与墨,毒液,真菌孢子"
3,17,"手术刀,魔法飞毯,蛇怪之牙,拆信刀,地刺陷阱"
4,18,"剧毒药水,翡翠,真菌孢子,地窖,毒液"
5,27,"红宝石,彩虹药水,鳄鱼眼泪,香炉,煅烧釜"
6,29,"地刺陷阱,倒刺利爪,蛇怪之牙,研钵与研杵,手术刀"
7,31,"鳄鱼眼泪,香炉,毒液注射,折射棱镜,彩虹药水"
8,33,"蛇怪之牙,曲颈甑,鳄鱼眼泪,手术刀,香炉"
9,36,"毒液注射,水蛭,翡翠,倒刺利爪,毒液"
10,37,"毒蜥,曲颈甑,真菌孢子,翡翠,笔与墨"
11,46,"火焰药水,香炉,红宝石,瓶装闪电,永恒火炬"
12,57,"真菌孢子,翡翠,腐朽圣像,倒刺利爪,毒液"
13,60,"火焰药水,蜡烛,香炉,蛇怪之牙,红宝石"
14,61,"手术刀,蛇怪之牙,贪婪渡鸦,地刺陷阱,香炉"
15,62,"蛇怪之牙,香炉,研钵与研杵,贪婪渡鸦"
16,64,"颠茄,翡翠,真菌孢子,笔与墨,毒液"
17,68,"彩虹药水,炼金梨缶,鳄鱼眼泪,香炉,红宝石"
18,70,"水蛭,彩虹药水,炼金梨缶,鳄鱼眼泪"
19,38,"地刺陷阱,毒液注射,翡翠,鳄鱼眼泪,倒刺利爪,毒液"
20,34,"红宝石,瓶装闪电,火焰药水,彩虹药水,萤火虫,香炉"
21,1,"地刺陷阱,真菌孢子,毒蜥,剑杖,翡翠"
