combo_key,representative_signature,cluster_size
"云精灵,地刺陷阱,手术刀,蛇怪之牙,香炉,鳄鱼眼泪","手术刀,鳄鱼眼泪,云精灵,香炉,蛇怪之牙,地刺陷阱",1
"剑杖,地刺陷阱,毒蜥,真菌孢子,翡翠","地刺陷阱,真菌孢子,毒蜥,剑杖,翡翠",1
"手术刀,拆信刀,曲颈甑,蛇怪之牙,鳄鱼眼泪","蛇怪之牙,曲颈甑,鳄鱼眼泪,拆信刀,手术刀",1
"云精灵,彩虹药水,炼金梨缶,真菌孢子,翡翠","彩虹药水,炼金梨缶,云精灵,翡翠,真菌孢子",1
"云精灵,炼金梨缶,真菌孢子,翡翠,鳄鱼眼泪","鳄鱼眼泪,炼金梨缶,云精灵,翡翠,真菌孢子",1
"云精灵,毒芹,炼金梨缶,真菌孢子,翡翠","毒芹,炼金梨缶,云精灵,翡翠,真菌孢子",2
"毒液注射,真菌孢子,笔与墨,翡翠,腐朽圣像","真菌孢子,笔与墨,腐朽圣像,毒液注射,翡翠",1
"地刺陷阱,手术刀,拆信刀,研钵与研杵,蛇怪之牙","拆信刀,蛇怪之牙,研钵与研杵,手术刀,地刺陷阱",2
"倒刺利爪,剑杖,毒液,真菌孢子,翡翠","剑杖,翡翠,真菌孢子,倒刺利爪,毒液",1
"再生药水,炼金梨缶,真菌孢子,碎瓶,翡翠","真菌孢子,翡翠,再生药水,炼金梨缶,碎瓶",1
"倒刺利爪,彩虹药水,毒液,毒液注射,真菌孢子,翡翠","翡翠,真菌孢子,倒刺利爪,毒液,毒液注射,彩虹药水",1
"剑杖,彩虹药水,毒液注射,真菌孢子,翡翠","彩虹药水,剑杖,毒液注射,翡翠,真菌孢子",1
"和平铸箱,毒液,真菌孢子,笔与墨,翡翠","翡翠,和平铸箱,笔与墨,毒液,真菌孢子",1
"和平铸箱,毒蜥,真菌孢子,笔与墨,翡翠","和平铸箱,笔与墨,真菌孢子,翡翠,毒蜥",1
"和平铸箱,毒液,毒蜥,真菌孢子,笔与墨","和平铸箱,真菌孢子,笔与墨,毒液,毒蜥",1
"倒刺利爪,地刺陷阱,毒液,毒液注射,真菌孢子,翡翠","真菌孢子,倒刺利爪,毒液,翡翠,毒液注射,地刺陷阱",3
"地刺陷阱,手术刀,蛇怪之牙,蜡烛,香炉","蜡烛,手术刀,蛇怪之牙,地刺陷阱,香炉",1
"地刺陷阱,手术刀,拆信刀,蛇怪之牙,魔法飞毯","手术刀,魔法飞毯,蛇怪之牙,拆信刀,地刺陷阱",1
"剧毒药水,地窖,毒液,真菌孢子,翡翠","剧毒药水,翡翠,真菌孢子,地窖,毒液",1
"地窖,毒液,真菌孢子,笔与墨,翡翠","笔与墨,真菌孢子,翡翠,地窖,毒液",1
"毒液,毒液注射,真菌孢子,笔与墨,翡翠,黑玫瑰","翡翠,笔与墨,毒液,毒液注射,真菌孢子,黑玫瑰",1
"彩虹药水,炼金梨缶,真菌孢子,碎瓶,翡翠","真菌孢子,彩虹药水,炼金梨缶,碎瓶,翡翠",1
"彩虹药水,昏睡药水,红宝石,萤火虫,香炉,鳄鱼眼泪","红宝石,鳄鱼眼泪,彩虹药水,萤火虫,昏睡药水,香炉",1
"毒液,毒液注射,毒蜥,真菌孢子,笔与墨,翡翠","毒蜥,毒液注射,翡翠,真菌孢子,笔与墨,毒液",1
"地窖,彩虹药水,毒液,真菌孢子,翡翠","真菌孢子,彩虹药水,翡翠,地窖,毒液",1
"毒芹,炼金梨缶,真菌孢子,碎瓶,翡翠","真菌孢子,碎瓶,炼金梨缶,毒芹,翡翠",1
"地刺陷阱,手术刀,研钵与研杵,蛇怪之牙,鳄鱼眼泪","地刺陷阱,鳄鱼眼泪,蛇怪之牙,研钵与研杵,手术刀",1
"彩虹药水,煅烧釜,红宝石,香炉,鳄鱼眼泪","红宝石,彩虹药水,鳄鱼眼泪,香炉,煅烧釜",1
"嗅盐,彩虹药水,折射棱镜,毒液注射,翡翠","翡翠,毒液注射,折射棱镜,嗅盐,彩虹药水",1
"倒刺利爪,地刺陷阱,手术刀,研钵与研杵,蛇怪之牙","地刺陷阱,倒刺利爪,蛇怪之牙,研钵与研杵,手术刀",2
"毒蜥,真菌孢子,笔与墨,翡翠,腐朽圣像","翡翠,真菌孢子,笔与墨,毒蜥,腐朽圣像",1
"彩虹药水,折射棱镜,毒液注射,香炉,鳄鱼眼泪","鳄鱼眼泪,香炉,毒液注射,折射棱镜,彩虹药水",1
"倒刺利爪,折射棱镜,毒液,毒液注射,翡翠","毒液注射,翡翠,倒刺利爪,毒液,折射棱镜",1
"手术刀,曲颈甑,蛇怪之牙,香炉,鳄鱼眼泪","蛇怪之牙,曲颈甑,鳄鱼眼泪,手术刀,香炉",1
"彩虹药水,火焰药水,瓶装闪电,红宝石,萤火虫,香炉","红宝石,瓶装闪电,火焰药水,彩虹药水,萤火虫,香炉",3
"倒刺利爪,毒液,毒液注射,水蛭,真菌孢子","水蛭,真菌孢子,毒液注射,倒刺利爪,毒液",1
"倒刺利爪,毒液,毒液注射,水蛭,翡翠","毒液注射,水蛭,翡翠,倒刺利爪,毒液",1
"曲颈甑,毒蜥,真菌孢子,笔与墨,翡翠","毒蜥,曲颈甑,真菌孢子,翡翠,笔与墨",1
"倒刺利爪,地刺陷阱,毒液,毒液注射,翡翠,鳄鱼眼泪","地刺陷阱,毒液注射,翡翠,鳄鱼眼泪,倒刺利爪,毒液",1
"永恒火炬,火焰药水,红宝石,香炉,鳄鱼眼泪","香炉,红宝石,永恒火炬,火焰药水,鳄鱼眼泪",1
