peel_index,phase,node_index,signature
0,sink,2,"蛇怪之牙,曲颈甑,鳄鱼眼泪,拆信刀,手术刀"
1,sink,7,"拆信刀,蛇怪之牙,研钵与研杵,手术刀,地刺陷阱"
2,sink,14,"和平铸箱,真菌孢子,笔与墨,毒液,毒蜥"
3,sink,13,"和平铸箱,笔与墨,真菌孢子,翡翠,毒蜥"
4,sink,16,"蜡烛,手术刀,蛇怪之牙,地刺陷阱,香炉"
5,sink,24,"真菌孢子,彩虹药水,翡翠,地窖,毒液"
6,sink,19,"笔与墨,真菌孢子,翡翠,地窖,毒液"
7,sink,26,"地刺陷阱,鳄鱼眼泪,蛇怪之牙,研钵与研杵,手术刀"
8,sink,30,"翡翠,真菌孢子,笔与墨,毒蜥,腐朽圣像"
9,sink,6,"真菌孢子,笔与墨,腐朽圣像,毒液注射,翡翠"
10,sink,32,"毒液注射,翡翠,倒刺利爪,毒液,折射棱镜"
11,sink,28,"翡翠,毒液注射,折射棱镜,嗅盐,彩虹药水"
12,sink,35,"水蛭,真菌孢子,毒液注射,倒刺利爪,毒液"
13,sink,39,"香炉,红宝石,永恒火炬,火焰药水,鳄鱼眼泪"
14,sink,43,"彩虹药水,笔与墨,毒液,翡翠,毒芹,真菌孢子"
15,sink,44,"彩虹药水,香炉,火焰药水,红宝石,永恒火炬"
16,sink,45,"水蛭,倒刺利爪,毒液,地刺陷阱,翡翠"
17,sink,48,"红宝石,彩虹药水,瓶装闪电,香炉,煅烧釜"
18,sink,47,"香炉,瓶装闪电,红宝石,煅烧釜,鳄鱼眼泪"
19,sink,53,"熏香,蛇怪之牙,研钵与研杵,手术刀,地刺陷阱"
20,sink,58,"红宝石,彩虹药水,鳄鱼眼泪,碎瓶,萤火虫,香炉"
21,sink,59,"瓶装闪电,红宝石,彩虹药水,蜡烛,香炉"
22,sink,56,"红宝石,火焰药水,碎瓶,蜡烛,香炉"
23,sink,63,"手术刀,翡翠,蛇怪之牙,贪婪渡鸦,地刺陷阱"
24,sink,66,"真菌孢子,颠茄,翡翠,笔与墨,毒蜥"
25,sink,65,"翡翠,颠茄,毒液注射,真菌孢子,笔与墨"
26,sink,72,"真菌孢子,鳄鱼眼泪,炼金梨缶,黑曜石碎片,翡翠"
27,sink,51,"真菌孢子,瓶装闪电,炼金梨缶,再生药水,翡翠"
28,sink,9,"真菌孢子,翡翠,再生药水,炼金梨缶,碎瓶"
29,sink,25,"真菌孢子,碎瓶,炼金梨缶,毒芹,翡翠"
30,sink,71,"真菌孢子,翡翠,彩虹药水,炼金梨缶,黑曜石碎片"
31,sink,73,"真菌孢子,翡翠,黑曜石碎片,炼金梨缶,毒芹"
32,sink,50,"翡翠,真菌孢子,毒芹,炼金梨缶,瓶装闪电"
33,sink,49,"彩虹药水,炼金梨缶,瓶装闪电,翡翠,真菌孢子"
34,sink,21,"真菌孢子,彩虹药水,炼金梨缶,碎瓶,翡翠"
35,sink,4,"鳄鱼眼泪,炼金梨缶,云精灵,翡翠,真菌孢子"
36,sink,69,"彩虹药水,炼金梨缶,鳄鱼眼泪,真菌孢子,翡翠"
37,sink,42,"真菌孢子,毒芹,炼金梨缶,彩虹药水,翡翠"
38,sink,5,"毒芹,炼金梨缶,云精灵,翡翠,真菌孢子"
39,source_quality,0,"手术刀,鳄鱼眼泪,云精灵,香炉,蛇怪之牙,地刺陷阱"
40,source_quality,3,"彩虹药水,炼金梨缶,云精灵,翡翠,真菌孢子"
41,source_quality,12,"翡翠,和平铸箱,笔与墨,毒液,真菌孢子"
42,source_quality,17,"手术刀,魔法飞毯,蛇怪之牙,拆信刀,地刺陷阱"
43,source_quality,18,"剧毒药水,翡翠,真菌孢子,地窖,毒液"
44,source_quality,27,"红宝石,彩虹药水,鳄鱼眼泪,香炉,煅烧釜"
45,source_quality,29,"地刺陷阱,倒刺利爪,蛇怪之牙,研钵与研杵,手术刀"
46,source_quality,31,"鳄鱼眼泪,香炉,毒液注射,折射棱镜,彩虹药水"
47,source_quality,33,"蛇怪之牙,曲颈甑,鳄鱼眼泪,手术刀,香炉"
48,source_quality,36,"毒液注射,水蛭,翡翠,倒刺利爪,毒液"
49,source_quality,37,"毒蜥,曲颈甑,真菌孢子,翡翠,笔与墨"
50,source_quality,46,"火焰药水,香炉,红宝石,瓶装闪电,永恒火炬"
51,source_quality,57,"真菌孢子,翡翠,腐朽圣像,倒刺利爪,毒液"
52,source_quality,60,"火焰药水,蜡烛,香炉,蛇怪之牙,红宝石"
53,source_quality,61,"手术刀,蛇怪之牙,贪婪渡鸦,地刺陷阱,香炉"
54,source_quality,62,"蛇怪之牙,香炉,研钵与研杵,贪婪渡鸦"
55,source_quality,64,"颠茄,翡翠,真菌孢子,笔与墨,毒液"
56,source_quality,68,"彩虹药水,炼金梨缶,鳄鱼眼泪,香炉,红宝石"
57,source_quality,70,"水蛭,彩虹药水,炼金梨缶,鳄鱼眼泪"
58,cycle_break,20,"翡翠,笔与墨,毒液,毒液注射,真菌孢子,黑玫瑰"
59,sink,54,"毒液注射,彩虹药水,真菌孢子,翡翠,笔与墨,毒液"
60,cycle_break,23,"毒蜥,毒液注射,翡翠,真菌孢子,笔与墨,毒液"
61,cycle_break,41,"毒芹,毒液注射,翡翠,真菌孢子,倒刺利爪,毒液"
62,sink,10,"翡翠,真菌孢子,倒刺利爪,毒液,毒液注射,彩虹药水"
63,sink,52,"毒液注射,真菌孢子,倒刺利爪,毒液,毒蜥,翡翠"
64,sink,40,"毒液注射,鳄鱼眼泪,翡翠,真菌孢子,倒刺利爪,毒液"
65,sink,15,"真菌孢子,倒刺利爪,毒液,翡翠,毒液注射,地刺陷阱"
66,source_quality,38,"地刺陷阱,毒液注射,翡翠,鳄鱼眼泪,倒刺利爪,毒液"
67,cycle_break,55,"香炉,火焰药水,彩虹药水,鳄鱼眼泪,红宝石,萤火虫"
68,cycle_break,67,"鳄鱼眼泪,彩虹药水,红宝石,萤火虫,香炉,瓶装闪电"
69,sink,22,"红宝石,鳄鱼眼泪,彩虹药水,萤火虫,昏睡药水,香炉"
70,source_quality,34,"红宝石,瓶装闪电,火焰药水,彩虹药水,萤火虫,香炉"
71,cycle_break,11,"彩虹药水,剑杖,毒液注射,翡翠,真菌孢子"
72,sink,8,"剑杖,翡翠,真菌孢子,倒刺利爪,毒液"
73,source_quality,1,"地刺陷阱,真菌孢子,毒蜥,剑杖,翡翠"
