peel_index,phase,node_index,signature
0,sink,0,"鲨齿爪,火药角,双管霰弹枪,弹簧刀,葡萄弹,靴里剑"
1,sink,3,"沙滩充气球,马龙鱼,绵鳚,毒须鲶,水草,淬锋钢"
2,sink,12,"淬锋钢,飞鱼,鲨齿爪,救生圈,马龙鱼"
3,sink,17,"珊瑚,淬锋钢,火药角,双管霰弹枪,弹簧刀,葡萄弹,手斧"
4,sink,21,"水草,燃烧响炮,木桶,打火机,绵鳚,海底热泉"
5,sink,24,"手雷,填弹杆,步枪,弹簧刀,葡萄弹,手斧"
6,sink,29,"舱底蠕虫,手斧,鲨齿爪,绵鳚,弯刀,淬锋钢"
7,sink,33,"靴里剑,手斧,鲨齿爪,弹簧刀,武士刀,淬锋钢"
8,sink,32,"手斧,鲨齿爪,弹簧刀,武士刀,刺刀,淬锋钢"
9,sink,39,"珊瑚,淬锋钢,飞鱼,弹簧刀,马龙鱼,救生圈"
10,sink,36,"湿件战服,马龙鱼,弹簧刀,飞鱼,淬锋钢,珊瑚"
11,sink,28,"湿件战服,马龙鱼,弹簧刀,武士刀,淬锋钢"
12,sink,40,"淬锋钢,飞鱼,弹簧刀,马龙鱼,水草,救生圈"
13,sink,41,"皮皮虾,迷幻蝠鲼,水母,雪怪蟹,毒须鲶,绵鳚,水草,海螺壳"
14,sink,8,"珊瑚,珍珠,水母,雪怪蟹,毒须鲶,绵鳚,水草,海螺壳"
15,sink,43,"淬锋钢,舱底蠕虫,手雷,填弹杆,步枪,珊瑚"
16,sink,44,"毒须鲶,飞鱼,手斧,淬锋钢,绵鳚,马龙鱼,水草"
17,sink,50,"水草,马龙鱼,绵鳚,皮皮虾,迷幻蝠鲼,飞鱼,淬锋钢"
18,sink,53,"手斧,沙滩充气球,马龙鱼,弹簧刀,藏刃匕首,毒须鲶"
19,sink,52,"沙滩充气球,马龙鱼,弹簧刀,藏刃匕首,淬锋钢,毒须鲶"
20,sink,56,"湿件战服,马龙鱼,弹簧刀,飞鱼,淬锋钢,水草"
21,sink,58,"燃烧响炮,葡萄弹,火药角,火炮,绵鳚,珊瑚,打火机"
22,sink,49,"救生圈,燃烧响炮,火药角,火炮,绵鳚,打火机"
23,sink,59,"舱底蠕虫,手斧,淬锋钢,葡萄弹,绵鳚,火药角,步枪"
24,sink,64,"燃烧响炮,打火机,绵鳚,海底热泉,葡萄弹,狼筅"
25,sink,63,"燃烧响炮,打火机,绵鳚,海底热泉,狼筅,海螺壳"
26,sink,2,"燃烧响炮,打火机,绵鳚,海底热泉,狼筅,珊瑚"
27,sink,22,"燃烧响炮,海底热泉,绵鳚,打火机,水草,淬锋钢,海螺壳"
28,sink,38,"淬锋钢,水草,珊瑚,打火机,绵鳚,海底热泉,燃烧响炮"
29,sink,65,"燃烧响炮,皮皮虾,迷幻蝠鲼,鹦鹉皮特,绵鳚,海底热泉,打火机"
30,sink,69,"手斧,鲨齿爪,藏刃匕首,弹簧刀,左轮手枪,刺刀,舱底蠕虫"
31,sink,75,"珊瑚,水母,钓鱼竿,毒须鲶,绵鳚,水草,打火机"
32,sink,42,"打火机,珊瑚,钓鱼竿,毒须鲶,绵鳚,水草,鱼饵"
33,sink,77,"水草,珊瑚,淬锋钢,飞鱼,弹簧刀,马龙鱼,海螺壳"
34,sink,48,"海螺壳,飞鱼,手斧,淬锋钢,绵鳚,马龙鱼,水草"
35,sink,51,"淬锋钢,飞鱼,鲨齿爪,绵鳚,马龙鱼,水草"
36,sink,78,"鲨齿爪,水草,淬锋钢,飞鱼,弹簧刀,马龙鱼"
37,sink,15,"靴里剑,鲨齿爪,淬锋钢,飞鱼,弹簧刀,马龙鱼"
38,sink,79,"舱底蠕虫,鲨齿爪,淬锋钢,飞鱼,弹簧刀,马龙鱼"
39,sink,55,"手斧,鲨齿爪,飞鱼,弹簧刀,马龙鱼,淬锋钢"
40,sink,81,"鲨齿爪,手斧,左轮手枪,弹簧刀,武士刀,刺刀"
41,sink,46,"手斧,鲨齿爪,弹簧刀,武士刀,刺刀,舱底蠕虫"
42,sink,45,"手斧,鲨齿爪,靴里剑,弹簧刀,武士刀,刺刀"
43,sink,71,"鲨齿爪,流星索,弹簧刀,迷你弯刀,刺刀,靴里剑,手斧"
44,source_quality,6,"流星索,鲨齿爪,手斧,弹簧刀,武士刀,刺刀"
45,source_quality,14,"手斧,鲨齿爪,火药角,双管霰弹枪,弹簧刀,葡萄弹"
46,source_quality,18,"珊瑚,鱼饵,水母,雪怪蟹,毒须鲶,绵鳚,水草,海螺壳"
47,source_quality,19,"救生圈,淬锋钢,步枪,填弹杆,手雷"
48,source_quality,20,"手雷,填弹杆,步枪,手斧,葡萄弹,流星索"
49,source_quality,27,"珊瑚,迷幻蝠鲼,马龙鱼,弹簧刀,弯刀,淬锋钢"
50,source_quality,30,"舱底蠕虫,流星索,手斧,鲨齿爪,弯刀,淬锋钢"
51,source_quality,54,"海螺壳,水草,珊瑚,打火机,绵鳚,海底热泉,燃烧响炮"
52,source_quality,57,"燃烧响炮,淬锋钢,火药角,火炮,绵鳚,打火机,珊瑚"
53,source_quality,60,"靴里剑,手斧,淬锋钢,葡萄弹,绵鳚,火药角,步枪"
54,source_quality,61,"手斧,火药角,手雷,葡萄弹,弹簧刀,马龙鱼,淬锋钢"
55,source_quality,66,"珍珠,水草,海螺壳,珊瑚护甲,绵鳚,迷幻蝠鲼,皮皮虾"
56,source_quality,76,"钓鱼竿,毒须鲶,绵鳚,沙滩充气球,水草,珊瑚"
57,source_quality,80,"舱底蠕虫,手斧,淬锋钢,弹簧刀,马龙鱼,沙滩充气球"
58,cycle_break,23,"鲨齿爪,舱底蠕虫,靴里剑,手斧,左轮手枪,弹簧刀,独角鲸"
59,cycle_break,67,"手斧,鲨齿爪,藏刃匕首,葡萄弹,弹簧刀,左轮手枪,舱底蠕虫"
60,cycle_break,1,"三花,左轮手枪,弹簧刀,鲨齿爪,舱底蠕虫,手斧,葡萄弹"
61,sink,68,"鲨齿爪,靴里剑,左轮手枪,手斧,藏刃匕首,葡萄弹,舱底蠕虫"
62,cycle_break,26,"舱底蠕虫,手斧,葡萄弹,鲨齿爪,左轮手枪,飞鱼,淬锋钢"
63,source_quality,7,"舱底蠕虫,手斧,淬锋钢,飞鱼,鲨齿爪,马龙鱼"
64,cycle_break,31,"舱底蠕虫,鲨齿爪,手斧,左轮手枪,弹簧刀,独角鲸,淬锋钢"
65,cycle_break,9,"鲨齿爪,三花,葡萄弹,手斧,左轮手枪,弹簧刀,独角鲸"
66,cycle_break,13,"鲨齿爪,舱底蠕虫,手斧,左轮手枪,弹簧刀,独角鲸,葡萄弹"
67,sink,62,"手雷,鲨齿爪,舱底蠕虫,手斧,左轮手枪,弹簧刀,独角鲸"
68,sink,25,"靴里剑,鲨齿爪,葡萄弹,手斧,独角鲸,弹簧刀,左轮手枪"
69,sink,4,"手斧,左轮手枪,靴里剑,三花,鲨齿爪,葡萄弹,舱底蠕虫"
70,sink,72,"鲨齿爪,靴里剑,流星索,左轮手枪,弹簧刀,迷你弯刀,手斧"
71,sink,35,"舱底蠕虫,靴里剑,手斧,葡萄弹,弹簧刀,左轮手枪,鲨齿爪"
72,sink,70,"舱底蠕虫,流星索,鲨齿爪,手斧,葡萄弹,迷你弯刀,左轮手枪"
73,sink,11,"手斧,靴里剑,鲨齿爪,流星索,葡萄弹,迷你弯刀,刺刀"
