order,node_index,signature
0,6,"流星索,鲨齿爪,手斧,弹簧刀,武士刀,刺刀"
1,14,"手斧,鲨齿爪,火药角,双管霰弹枪,弹簧刀,葡萄弹"
2,18,"珊瑚,鱼饵,水母,雪怪蟹,毒须鲶,绵鳚,水草,海螺壳"
3,19,"救生圈,淬锋钢,步枪,填弹杆,手雷"
4,20,"手雷,填弹杆,步枪,手斧,葡萄弹,流星索"
5,27,"珊瑚,迷幻蝠鲼,马龙鱼,弹簧刀,弯刀,淬锋钢"
6,30,"舱底蠕虫,流星索,手斧,鲨齿爪,弯刀,淬锋钢"
7,54,"海螺壳,水草,珊瑚,打火机,绵鳚,海底热泉,燃烧响炮"
8,57,"燃烧响炮,淬锋钢,火药角,火炮,绵鳚,打火机,珊瑚"
9,60,"靴里剑,手斧,淬锋钢,葡萄弹,绵鳚,火药角,步枪"
10,61,"手斧,火药角,手雷,葡萄弹,弹簧刀,马龙鱼,淬锋钢"
11,66,"珍珠,水草,海螺壳,珊瑚护甲,绵鳚,迷幻蝠鲼,皮皮虾"
12,76,"钓鱼竿,毒须鲶,绵鳚,沙滩充气球,水草,珊瑚"
13,80,"舱底蠕虫,手斧,淬锋钢,弹簧刀,马龙鱼,沙滩充气球"
14,7,"舱底蠕虫,手斧,淬锋钢,飞鱼,鲨齿爪,马龙鱼"
15,34,"靴里剑,流星索,手斧,葡萄弹,弹簧刀,左轮手枪,鲨齿爪"
16,74,"打火机,绵鳚,迷幻蝠鲼,鹦鹉皮特,皮皮虾,水草,海螺壳,燃烧响炮"
