item_rank,item,anchor,alpha_ij
1,淬锋钢,弯刀,1
1,淬锋钢,水草,1
1,淬锋钢,珊瑚,1
1,淬锋钢,马龙鱼,1
1,淬锋钢,龙涎香,1
1,淬锋钢,左轮手枪,0.98455820574864439
1,淬锋钢,独角鲸,0.98014626453397136
1,淬锋钢,弹簧刀,0.95585463525788916
1,淬锋钢,铲子,0.93051192586889941
1,淬锋钢,食人鱼,0.87419001315211275
1,淬锋钢,双管霰弹枪,0.86102385173779905
1,淬锋钢,木桶,0.8483250077810921
1,淬锋钢,星图,0.8436518332050239
1,淬锋钢,飞鱼,0.83807173028237503
1,淬锋钢,湿件战服,0.81842407891255808
1,淬锋钢,鱼饵,0.80632043724201008
1,淬锋钢,温馨海湾,0.80543339243291867
1,淬锋钢,武士刀,0.75898768400936067
1,淬锋钢,救生圈,0.73488296929881147
1,淬锋钢,珍珠,0.72204770347559821
1,淬锋钢,火药角,0.71998122806843146
1,淬锋钢,海螺壳,0.69450226755369449
1,淬锋钢,藏刃匕首,0.67372796358421982
1,淬锋钢,葡萄弹,0.56480263547316567
1,淬锋钢,沙滩充气球,0.5500822674945921
1,淬锋钢,手里剑,0.48893175954531137
1,淬锋钢,狼筅,0.46198293840130111
1,淬锋钢,钓鱼竿,0.43094638528231366
1,淬锋钢,水母,0.42051069098337451
1,淬锋钢,雪怪蟹,0.38648359436520868
1,淬锋钢,靴里剑,0.34101385922442323
1,淬锋钢,抓钩,0.32338060733025309
1,淬锋钢,刺刀,0.32204251200132911
1,淬锋钢,填弹杆,0.28251271652995319
1,淬锋钢,珊瑚护甲,0.27800278922342836
1,淬锋钢,宠物石,0.19512812735803958
1,淬锋钢,手斧,0.1834409689645537
1,淬锋钢,步枪,0.13875555120146721
1,淬锋钢,渔网,0.13254963683112195
1,淬锋钢,三花,0.12148917463290214
1,淬锋钢,火炮,0.11134636640531093
1,淬锋钢,手雷,0.10973006871032011
1,淬锋钢,绵鳚,0.10372882594445236
1,淬锋钢,毒须鲶,0.10037166263381173
1,淬锋钢,迷你弯刀,0.078712514381252346
1,淬锋钢,皮皮虾,0.077595016113062132
1,淬锋钢,鹦鹉皮特,0.06977833342153944
1,淬锋钢,舱底蠕虫,0.056914041669282253
1,淬锋钢,流星索,0.046325382754066946
1,淬锋钢,海底热泉,0.039707470932057384
1,淬锋钢,燃烧响炮,0.036010014124618843
1,淬锋钢,鲨齿爪,0.03375135029224878
1,淬锋钢,打火机,0.025268390593127427
1,淬锋钢,迷幻蝠鲼,0.023162691377033473
2,绵鳚,打火机,1
2,绵鳚,海底热泉,1
2,绵鳚,鹦鹉皮特,1
2,绵鳚,燃烧响炮,0.97861905411350758
2,绵鳚,迷幻蝠鲼,0.97683730862296647
2,绵鳚,毒须鲶,0.96911641149728855
2,绵鳚,流星索,0.91893058018038287
2,绵鳚,皮皮虾,0.88269751295488041
2,绵鳚,火炮,0.81208050092473127
2,绵鳚,渔网,0.77757402992458657
2,绵鳚,食人鱼,0.76929161300795035
2,绵鳚,雪怪蟹,0.61351640563479104
2,绵鳚,水母,0.57948930901662521
2,绵鳚,珊瑚护甲,0.57013310346612389
2,绵鳚,手里剑,0.54195182895739991
2,绵鳚,钓鱼竿,0.53216878344910712
2,绵鳚,沙滩充气球,0.50699722197024022
2,绵鳚,舱底蠕虫,0.47691387630148407
2,绵鳚,龙涎香,0.46199542158057516
2,绵鳚,淬锋钢,0.44138552185823493
2,绵鳚,马龙鱼,0.38877066683310907
2,绵鳚,珊瑚,0.34992208758875565
2,绵鳚,海螺壳,0.32866042382333871
2,绵鳚,抓钩,0.29368435006619636
2,绵鳚,水草,0.2864452833626473
2,绵鳚,救生圈,0.26511703070118842
2,绵鳚,飞鱼,0.25300785965682715
2,绵鳚,珍珠,0.22583624092607635
2,绵鳚,鱼饵,0.20315520923041261
2,绵鳚,湿件战服,0.19547353591366201
2,绵鳚,步枪,0.16213883963923431
2,绵鳚,狼筅,0.15994289617102209
2,绵鳚,火药角,0.1522501521667316
2,绵鳚,藏刃匕首,0.14824122481301424
2,绵鳚,填弹杆,0.14029973062660275
2,绵鳚,宠物石,0.12053712416026217
2,绵鳚,木桶,0.10148916090200193
2,绵鳚,独角鲸,0.069488074131100419
2,绵鳚,铲子,0.05612498295204265
2,绵鳚,双管霰弹枪,0.049413741604338077
2,绵鳚,温馨海湾,0.046325382754066946
2,绵鳚,左轮手枪,0.043968477315702144
2,绵鳚,弯刀,0.0308835885027113
2,绵鳚,葡萄弹,0.027795229652440172
2,绵鳚,星图,0.017372018532775105
2,绵鳚,三花,0.013897614826220086
2,绵鳚,刺刀,0
2,绵鳚,弹簧刀,0
2,绵鳚,手斧,0
2,绵鳚,手雷,0
2,绵鳚,武士刀,0
2,绵鳚,迷你弯刀,0
2,绵鳚,靴里剑,0
2,绵鳚,鲨齿爪,0
3,手斧,靴里剑,1
3,手斧,鲨齿爪,0.98610238517377991
3,手斧,迷你弯刀,0.97066059092242429
3,手斧,葡萄弹,0.93700052843070947
3,手斧,刺刀,0.92132116811394826
3,手斧,宠物石,0.89683489437251296
3,手斧,三花,0.82657024470344698
3,手斧,武士刀,0.81769121300891745
3,手斧,藏刃匕首,0.73625167378927248
3,手斧,抓钩,0.66122052001844345
3,手斧,弹簧刀,0.65486832738322664
3,手斧,舱底蠕虫,0.62831092166846791
3,手斧,淬锋钢,0.57728553893529577
3,手斧,左轮手枪,0.57352070519754261
3,手斧,弯刀,0.55856627074212917
3,手斧,狼筅,0.5455892244193552
3,手斧,双管霰弹枪,0.50378853745047802
3,手斧,火药角,0.43942240311588743
3,手斧,铲子,0.4226333592041403
3,手斧,手里剑,0.40045332746128398
3,手斧,独角鲸,0.39708228041954818
3,手斧,手雷,0.39033181526291649
3,手斧,飞鱼,0.28059251938765795
3,手斧,龙涎香,0.17636040819100735
3,手斧,步枪,0.16400697278992282
3,手斧,水草,0.15823775477573396
3,手斧,马龙鱼,0.15634816679497593
3,手斧,沙滩充气球,0.15441794251355648
3,手斧,食人鱼,0.1320363244397994
3,手斧,火炮,0.081977760657932205
3,手斧,珍珠,0.078091359499712854
3,手斧,填弹杆,0.071940594394551027
3,手斧,打火机,0.069488074131100419
3,手斧,星图,0.069488074131100419
3,手斧,救生圈,0.055590459304880345
3,手斧,燃烧响炮,0.055590459304880345
3,手斧,绵鳚,0.055590459304880345
3,手斧,鹦鹉皮特,0.055590459304880345
3,手斧,海底热泉,0.027795229652440172
3,手斧,海螺壳,0.025268390593127427
3,手斧,渔网,0.023162691377033473
3,手斧,水母,0.018530153101626781
3,手斧,流星索,0.016350135089670689
3,手斧,珊瑚,0.01544179425135565
3,手斧,钓鱼竿,0.01544179425135565
3,手斧,雪怪蟹,0.014629068238126404
3,手斧,木桶,0
3,手斧,毒须鲶,0
3,手斧,温馨海湾,0
3,手斧,湿件战服,0
3,手斧,珊瑚护甲,0
3,手斧,皮皮虾,0
3,手斧,迷幻蝠鲼,0
3,手斧,鱼饵,0
4,马龙鱼,水草,1
4,马龙鱼,淬锋钢,1
4,马龙鱼,珊瑚,0.98364986491032935
4,马龙鱼,龙涎香,0.98364986491032935
4,马龙鱼,木桶,0.8483250077810921
4,马龙鱼,食人鱼,0.83502400773276519
4,马龙鱼,飞鱼,0.82069971174959988
4,马龙鱼,珍珠,0.68431662249943515
4,马龙鱼,独角鲸,0.64668926713140984
4,马龙鱼,海螺壳,0.52326625519934722
4,马龙鱼,救生圈,0.52325622806022276
4,马龙鱼,湿件战服,0.44273830089243982
4,马龙鱼,星图,0.39158573539761299
4,马龙鱼,铲子,0.3844455275935722
4,马龙鱼,弹簧刀,0.38086839645562476
4,马龙鱼,鱼饵,0.37709370631950645
4,马龙鱼,藏刃匕首,0.36489207855710681
4,马龙鱼,雪怪蟹,0.34677612343315128
4,马龙鱼,水母,0.33176101033874095
4,马龙鱼,钓鱼竿,0.29648244962602843
4,马龙鱼,手里剑,0.24889620487171743
4,马龙鱼,左轮手枪,0.23367746372124532
4,马龙鱼,抓钩,0.16805432397838146
4,马龙鱼,狼筅,0.15109201759787991
4,马龙鱼,绵鳚,0.064021355012394976
4,马龙鱼,珊瑚护甲,0.062539266717990386
4,马龙鱼,舱底蠕虫,0.056914041669282253
4,马龙鱼,火药角,0.055149265183413038
4,马龙鱼,皮皮虾,0.046325382754066946
4,马龙鱼,三花,0.043968477315702144
4,马龙鱼,手斧,0.037225753998803797
4,马龙鱼,毒须鲶,0.0308835885027113
4,马龙鱼,弯刀,0.027795229652440172
4,马龙鱼,宠物石,0.025268390593127427
4,马龙鱼,武士刀,0.023162691377033473
4,马龙鱼,渔网,0.01544179425135565
4,马龙鱼,迷你弯刀,0.01544179425135565
4,马龙鱼,鲨齿爪,0.013897614826220086
4,马龙鱼,刺刀,0
4,马龙鱼,双管霰弹枪,0
4,马龙鱼,填弹杆,0
4,马龙鱼,手雷,0
4,马龙鱼,打火机,0
4,马龙鱼,步枪,0
4,马龙鱼,沙滩充气球,0
4,马龙鱼,流星索,0
4,马龙鱼,海底热泉,0
