order,node_index,signature
0,1,"舱底蠕虫,手斧,淬锋钢,火药角,双管霰弹枪"
1,4,"火药角,双管霰弹枪,弹簧刀,葡萄弹,手斧"
2,7,"葡萄弹,淬锋钢,手斧,狼筅,左轮手枪"
3,8,"水草,独角鲸,弹簧刀,马龙鱼,淬锋钢"
4,15,"珊瑚,水母,雪怪蟹,毒须鲶,绵鳚,水草"
5,18,"独角鲸,鲨齿爪,手斧,靴里剑,淬锋钢"
6,19,"舱底蠕虫,手斧,葡萄弹,弹簧刀,左轮手枪,淬锋钢"
7,21,"绵鳚,步枪,填弹杆,手雷"
8,28,"舱底蠕虫,流星索,手斧,淬锋钢,弯刀"
9,31,"水母,迷幻蝠鲼,水草,淬锋钢,弯刀"
10,32,"靴里剑,手斧,弹簧刀,武士刀,淬锋钢"
11,36,"舱底蠕虫,手斧,弹簧刀,马龙鱼,淬锋钢"
12,40,"靴里剑,火药角,手雷,手斧,流星索,葡萄弹"
13,43,"淬锋钢,弹簧刀,马龙鱼,沙滩充气球"
14,45,"雪怪蟹,毒须鲶,绵鳚,水草,救生圈"
15,47,"毒须鲶,绵鳚,迷幻蝠鲼,皮皮虾,水草,海螺壳"
16,52,"淬锋钢,飞鱼,水母,马龙鱼,水草"
17,53,"水草,沙滩充气球,绵鳚,毒须鲶,藏刃匕首"
18,55,"手斧,弹簧刀,独角鲸,沙滩充气球,淬锋钢"
19,56,"藏刃匕首,舱底蠕虫,毒须鲶,淬锋钢,沙滩充气球"
20,57,"燃烧响炮,流星索,皮皮虾,鹦鹉皮特,绵鳚,打火机"
21,61,"救生圈,淬锋钢,火药角,步枪"
22,63,"狼筅,火药角,手雷,葡萄弹,手斧"
23,73,"马龙鱼,弹簧刀,飞鱼,淬锋钢,雪怪蟹"
24,75,"救生圈,马龙鱼,水草,淬锋钢"
25,74,"流星索,手斧,鲨齿爪,葡萄弹,靴里剑"
26,41,"打火机,绵鳚,燃烧响炮,火炮,葡萄弹"
