combo_key,representative_signature,cluster_size
"三花,左轮手枪,手斧,靴里剑,鲨齿爪","靴里剑,三花,左轮手枪,手斧,鲨齿爪",1
"双管霰弹枪,手斧,淬锋钢,火药角,舱底蠕虫","舱底蠕虫,手斧,淬锋钢,火药角,双管霰弹枪",1
"打火机,流星索,皮皮虾,绵鳚,迷幻蝠鲼,鹦鹉皮特","打火机,绵鳚,鹦鹉皮特,迷幻蝠鲼,皮皮虾,流星索",2
"救生圈,淬锋钢,飞鱼,马龙鱼","马龙鱼,救生圈,飞鱼,淬锋钢",1
"双管霰弹枪,弹簧刀,手斧,火药角,葡萄弹","火药角,双管霰弹枪,弹簧刀,葡萄弹,手斧",1
"刺刀,宠物石,手斧,迷你弯刀,鲨齿爪","宠物石,鲨齿爪,迷你弯刀,刺刀,手斧",1
"刺刀,手斧,迷你弯刀,靴里剑,鲨齿爪","手斧,鲨齿爪,靴里剑,迷你弯刀,刺刀",1
"左轮手枪,手斧,淬锋钢,狼筅,葡萄弹","葡萄弹,淬锋钢,手斧,狼筅,左轮手枪",1
"弹簧刀,水草,淬锋钢,独角鲸,马龙鱼","水草,独角鲸,弹簧刀,马龙鱼,淬锋钢",1
"三花,手斧,流星索,靴里剑,鲨齿爪","靴里剑,三花,手斧,鲨齿爪,流星索",1
"弹簧刀,淬锋钢,独角鲸,珊瑚,马龙鱼","珊瑚,马龙鱼,弹簧刀,独角鲸,淬锋钢",1
"刺刀,左轮手枪,手斧,淬锋钢,葡萄弹,靴里剑","靴里剑,葡萄弹,手斧,左轮手枪,刺刀,淬锋钢",1
"弯刀,弹簧刀,手斧,流星索,淬锋钢","手斧,流星索,弹簧刀,弯刀,淬锋钢",1
"三花,手斧,独角鲸,靴里剑,鲨齿爪","靴里剑,三花,手斧,独角鲸,鲨齿爪",1
"刺刀,左轮手枪,手斧,舱底蠕虫,鲨齿爪","舱底蠕虫,鲨齿爪,手斧,左轮手枪,刺刀",1
"毒须鲶,水母,水草,珊瑚,绵鳚,雪怪蟹","珊瑚,水母,雪怪蟹,毒须鲶,绵鳚,水草",2
"双管霰弹枪,弹簧刀,淬锋钢,火药角,葡萄弹","淬锋钢,火药角,双管霰弹枪,弹簧刀,葡萄弹",1
"填弹杆,手雷,步枪,葡萄弹","葡萄弹,步枪,填弹杆,手雷",2
"手斧,淬锋钢,独角鲸,靴里剑,鲨齿爪","独角鲸,鲨齿爪,手斧,靴里剑,淬锋钢",1
"左轮手枪,弹簧刀,手斧,淬锋钢,舱底蠕虫,葡萄弹","舱底蠕虫,手斧,葡萄弹,弹簧刀,左轮手枪,淬锋钢",1
"填弹杆,手雷,步枪,淬锋钢","淬锋钢,步枪,填弹杆,手雷",1
"填弹杆,手雷,步枪,绵鳚","绵鳚,步枪,填弹杆,手雷",1
"宠物石,手斧,迷你弯刀,靴里剑,鲨齿爪","宠物石,鲨齿爪,迷你弯刀,靴里剑,手斧",1
"宠物石,手斧,淬锋钢,靴里剑,鲨齿爪","鲨齿爪,手斧,宠物石,淬锋钢,靴里剑",1
"左轮手枪,淬锋钢,舱底蠕虫,葡萄弹,鲨齿爪","舱底蠕虫,鲨齿爪,葡萄弹,左轮手枪,淬锋钢",1
"左轮手枪,手斧,淬锋钢,舱底蠕虫,鲨齿爪","舱底蠕虫,鲨齿爪,手斧,左轮手枪,淬锋钢",1
"打火机,火炮,燃烧响炮,珊瑚,绵鳚","打火机,绵鳚,珊瑚,火炮,燃烧响炮",1
"填弹杆,手雷,步枪,靴里剑","手雷,填弹杆,步枪,靴里剑",1
"弯刀,手斧,流星索,淬锋钢,舱底蠕虫","舱底蠕虫,流星索,手斧,淬锋钢,弯刀",1
"填弹杆,手斧,手雷,步枪","步枪,填弹杆,手雷,手斧",1
"打火机,流星索,燃烧响炮,皮皮虾,绵鳚,迷幻蝠鲼","燃烧响炮,流星索,皮皮虾,迷幻蝠鲼,绵鳚,打火机",2
"弯刀,水母,水草,淬锋钢,迷幻蝠鲼","水母,迷幻蝠鲼,水草,淬锋钢,弯刀",1
"弹簧刀,手斧,武士刀,淬锋钢,靴里剑","靴里剑,手斧,弹簧刀,武士刀,淬锋钢",1
"左轮手枪,手斧,流星索,淬锋钢,葡萄弹,靴里剑","靴里剑,流星索,淬锋钢,手斧,葡萄弹,左轮手枪",2
"刺刀,弹簧刀,手斧,武士刀,淬锋钢","手斧,弹簧刀,武士刀,刺刀,淬锋钢",1
"左轮手枪,弹簧刀,水草,淬锋钢,马龙鱼","水草,淬锋钢,马龙鱼,弹簧刀,左轮手枪",1
"弹簧刀,手斧,淬锋钢,舱底蠕虫,马龙鱼","舱底蠕虫,手斧,弹簧刀,马龙鱼,淬锋钢",1
"手斧,淬锋钢,绵鳚,舱底蠕虫,马龙鱼","舱底蠕虫,手斧,淬锋钢,绵鳚,马龙鱼",1
"左轮手枪,手斧,葡萄弹,靴里剑,鲨齿爪","鲨齿爪,左轮手枪,葡萄弹,手斧,靴里剑",3
"刺刀,左轮手枪,手斧,靴里剑,鲨齿爪","鲨齿爪,左轮手枪,刺刀,手斧,靴里剑",1
"手斧,手雷,流星索,火药角,葡萄弹,靴里剑","手斧,靴里剑,葡萄弹,流星索,火药角,手雷",2
"打火机,火炮,燃烧响炮,绵鳚,葡萄弹","葡萄弹,火炮,打火机,绵鳚,燃烧响炮",4
"打火机,火炮,火药角,燃烧响炮,绵鳚","打火机,火药角,火炮,绵鳚,燃烧响炮",4
"弹簧刀,沙滩充气球,淬锋钢,马龙鱼","沙滩充气球,淬锋钢,马龙鱼,弹簧刀",2
"打火机,火炮,燃烧响炮,绵鳚,靴里剑","靴里剑,火炮,打火机,绵鳚,燃烧响炮",1
"救生圈,毒须鲶,水草,绵鳚,雪怪蟹","雪怪蟹,毒须鲶,绵鳚,水草,救生圈",1
"救生圈,淬锋钢,藏刃匕首,马龙鱼","救生圈,藏刃匕首,淬锋钢,马龙鱼",1
"毒须鲶,水草,海螺壳,皮皮虾,绵鳚,迷幻蝠鲼","水草,绵鳚,毒须鲶,迷幻蝠鲼,皮皮虾,海螺壳",3
"弹簧刀,手斧,武士刀,淬锋钢,舱底蠕虫","舱底蠕虫,手斧,弹簧刀,武士刀,淬锋钢",1
"打火机,毒须鲶,海底热泉,燃烧响炮,绵鳚","毒须鲶,海底热泉,绵鳚,打火机,燃烧响炮",1
"打火机,海底热泉,燃烧响炮,绵鳚,葡萄弹","燃烧响炮,葡萄弹,打火机,绵鳚,海底热泉",1
"毒须鲶,水母,水草,珍珠,绵鳚,雪怪蟹","水草,绵鳚,毒须鲶,雪怪蟹,水母,珍珠",2
"水母,水草,淬锋钢,飞鱼,马龙鱼","淬锋钢,飞鱼,水母,马龙鱼,水草",1
