from_sig,to_sig,weight,games
"枪套,燃烧响炮,珊瑚,标枪,小冰镐,绵鳚,加速烙刀,打火机","燃烧响炮,珊瑚,枪套,藏刃匕首,标枪,小冰镐,绵鳚,加速烙刀",0.15999999999999992,100
"枪套,燃烧响炮,珊瑚,标枪,小冰镐,绵鳚,加速烙刀,打火机","燃烧响炮,打火机,标枪,绵鳚,加速烙刀,珊瑚,火炮",1,100
"湿件战服,淬锋钢,套娃,定制准镜,连发步枪,填弹杆,燃烧响炮","湿件战服,淬锋钢,套娃,集成式HUD,连发步枪,填弹杆,燃烧响炮",0.35999999999999988,100
"牌桌,淬锋钢,水车,吸血章鱼,潜水配重,六分仪","吸血章鱼,水车,潜水配重,六分仪,拍立蚌,牌桌",0.47999999999999998,100
"牌桌,淬锋钢,水车,吸血章鱼,潜水配重,六分仪","集成式HUD,吸血章鱼,水车,潜水配重,六分仪,牌桌",0.15999999999999992,100
"牌桌,淬锋钢,水车,吸血章鱼,潜水配重,六分仪","烈酒杯,六分仪,牌桌,淬锋钢,水车,吸血章鱼",0.93999999999999995,100
"牌桌,淬锋钢,水车,吸血章鱼,潜水配重,六分仪","六分仪,牌桌,拍立蚌,淬锋钢,水车,吸血章鱼",0.67999999999999994,100
"燃烧响炮,大钢弩,套娃,燃烧子弹,打火机,篝火,加速烙刀","篝火,毒须鲶,燃烧子弹,燃烧响炮,绵鳚,加速烙刀,大钢弩",0.56000000000000005,100
"大钢弩,枪套,打火机,绵鳚,燃烧响炮,燃烧子弹,毒须鲶,篝火","篝火,毒须鲶,燃烧子弹,燃烧响炮,绵鳚,加速烙刀,大钢弩",1,100
"篝火,毒须鲶,燃烧子弹,燃烧响炮,绵鳚,加速烙刀,大钢弩","燃烧响炮,大钢弩,套娃,燃烧子弹,打火机,绵鳚,毒须鲶,篝火",1,100
"枪套,加速烙刀,绵鳚,篝火,打火机,大钢弩,燃烧响炮","篝火,毒须鲶,燃烧子弹,燃烧响炮,绵鳚,加速烙刀,大钢弩",1,100
"加速烙刀,绵鳚,篝火,打火机,燃烧子弹,燃烧响炮,大钢弩","篝火,毒须鲶,燃烧子弹,燃烧响炮,绵鳚,加速烙刀,大钢弩",1,100
"篝火,毒须鲶,燃烧子弹,燃烧响炮,绵鳚,加速烙刀,大钢弩","篝火,毒须鲶,燃烧子弹,打火机,绵鳚,珊瑚,燃烧响炮,大钢弩",1,100
"加速烙刀,绵鳚,篝火,打火机,燃烧子弹,拍立蚌,大钢弩","篝火,毒须鲶,燃烧子弹,燃烧响炮,绵鳚,加速烙刀,大钢弩",1,100
"加速烙刀,绵鳚,篝火,打火机,燃烧子弹,套娃,大钢弩","篝火,毒须鲶,燃烧子弹,燃烧响炮,绵鳚,加速烙刀,大钢弩",1,100
"加速烙刀,绵鳚,篝火,打火机,燃烧子弹,流星索,大钢弩","篝火,毒须鲶,燃烧子弹,燃烧响炮,绵鳚,加速烙刀,大钢弩",0.82000000000000006,100
"篝火,燃烧响炮,燃烧子弹,藏刃匕首,绵鳚,加速烙刀,大钢弩","篝火,毒须鲶,燃烧子弹,燃烧响炮,绵鳚,加速烙刀,大钢弩",0.85999999999999988,100
"大钢弩,鹦鹉皮特,绵鳚,燃烧响炮,燃烧子弹,加速烙刀,篝火","篝火,毒须鲶,燃烧子弹,燃烧响炮,绵鳚,加速烙刀,大钢弩",1,100
"篝火,毒须鲶,燃烧子弹,燃烧响炮,绵鳚,加速烙刀,大钢弩","大钢弩,鹦鹉皮特,绵鳚,燃烧响炮,加速烙刀,篝火,打火机",0.43999999999999995,100
"篝火,毒须鲶,燃烧子弹,燃烧响炮,绵鳚,加速烙刀,大钢弩","大钢弩,鹦鹉皮特,绵鳚,加速烙刀,燃烧子弹,打火机,篝火",1,100
"小冰镐,皮皮虾,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,珊瑚,拍立蚌","拍立蚌,鱼饵,潜水配重,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐",0.14000000000000012,1000
"拍立蚌,鱼饵,潜水配重,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐","小冰镐,拍立蚌,珍珠,水母,雪怪蟹,元素深水炸弹,绵鳚,珊瑚,鱼饵",0.34000000000000008,100
"拍立蚌,鱼饵,潜水配重,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐","小冰镐,珊瑚,救生圈,拍立蚌,水母,雪怪蟹,元素深水炸弹,绵鳚",0.71999999999999997,100
