rank,item,generality
1,绵鳚,0.65529455633166922
2,小冰镐,0.43454598142983103
3,燃烧响炮,0.35474421437326148
4,潜水配重,0.33490317416659732
5,加速烙刀,0.30938224352673516
6,雪怪蟹,0.28106832728613651
7,打火机,0.27421843445023542
8,水母,0.2656162210344637
9,元素深水炸弹,0.26504878152879208
10,拍立蚌,0.24574686199298482
11,珊瑚,0.23139390519075351
12,大钢弩,0.20646483742137339
13,枪套,0.20552758496297316
14,淬锋钢,0.19728319133888406
15,篝火,0.18046190001524315
16,皮皮虾,0.1432437459387832
17,燃烧子弹,0.1428113051562242
18,烈酒杯,0.14207674632999284
19,水车,0.13015708465614806
20,迷幻蝠鲼,0.11939998052443049
21,流星索,0.10081576848116965
22,十手,0.086251029154405134
23,水草,0.081700045765006599
24,火药角,0.073764480939501414
25,毒须鲶,0.073385011299166691
26,藏刃匕首,0.069912772592139918
27,六分仪,0.069475270092842475
28,牌桌,0.066519353200845149
29,吸血章鱼,0.064548414202860463
30,飞鱼,0.057046744231872559
31,海螺壳,0.056100977945033763
32,炮弹,0.050179600755978118
33,减速烙刀,0.048295449960335052
34,套娃,0.046268224776535194
35,珍珠,0.0429065887744014
36,理查森先生,0.042631801715775693
37,湿件战服,0.037998675169223402
38,马龙鱼,0.036881442909731457
39,鱼饵,0.033516050307163252
40,深潜器,0.02969025983517137
41,带刃悬浮板,0.025855038622720705
42,盐钳海盗,0.024481211302017917
43,蔻森娜纹章,0.024096054534384796
44,沙滩充气球,0.021687404392355881
45,锁镰,0.02129228072979223
46,弹簧刀,0.018935662100711358
47,填弹杆,0.018194040459706202
48,船长舱,0.017120760068147098
49,风暴瓶,0.016505134958418047
50,龙涎香,0.015023958213546348
51,鱼雷,0.014184298060280922
52,手斧,0.013327099944531406
53,手雷,0.011996935954332181
54,码头缆索,0.011989434756218185
55,鳐鲨,0.011256954312776178
56,海影宝驹,0.010954377252755599
57,抛石机,0.010004564277959089
58,舱底蠕虫,0.0089025341149805894
59,步枪,0.008771929824561403
60,船舵,0.0076169324155409002
61,消音器,0.0074734908750525011
62,葡萄弹,0.0073877173768098405
63,靴里剑,0.0072950817590716147
64,集成式HUD,0.0071575256008091408
65,鸦巢,0.0070995918954942002
66,珊瑚护甲,0.0069250813601790147
67,独角鲸,0.0055032738019262332
68,定制准镜,0.0053515410914336571
69,抓钩,0.0052961929743270504
70,狼筅,0.005175006143831597
71,潜行滑翔机,0.0039360039357137951
72,鹦鹉皮特,0.0033761993132898215
73,食人鱼,0.0027697835528917628
74,三花,0.0026598305887502558
75,星盘,0.0024647851413113105
76,鲨齿爪,0.0019331268743238463
77,左轮手枪,0.0016403594061138904
78,恶鬼面具,0.0014275095057066181
79,飞镖发射器,0.0013641369709202738
80,标枪,0.001161037161756064
81,刺刀,0.0011534906338662545
82,手里剑,0.0010053526332478645
83,船首像,0.00073399954603297821
84,河豚,0.00066588896041891909
85,迷你弯刀,0.00053094534943199994
86,宠物石,0.00029580836510917363
87,救生圈,0.00027429502946487013
88,幽渊鮟鱇,0.00027174739761225521
89,弯刀,0.00027090867107641491
90,蝶剑,0.00012190890198438672
91,伪装,0
91,双管霰弹枪,0
91,喷射摩托,0
91,旗舰,0
91,星图,0
91,木桶,0
91,橘利安,0
91,武士刀,0
91,海底热泉,0
91,海狗沙龙,0
91,深海弯刀,0
91,渔网,0
91,温馨海湾,0
91,港口,0
91,潜艇,0
91,火枪,0
91,火炮,0
91,赛博铁尺,0
91,连发步枪,0
91,通缉海报,0
91,钓鱼竿,0
91,铲子,0
91,锁匣,0
91,鱼叉,0
