peel_index,phase,node_index,signature
0,sink,1,"湿件战服,淬锋钢,套娃,集成式HUD,连发步枪,填弹杆,燃烧响炮"
1,sink,5,"蔻森娜纹章,恶鬼面具,燃烧响炮,绵鳚,打火机,燃烧子弹,套娃,靴里剑,流星索"
2,sink,7,"星盘,枪套,吸血章鱼,六分仪,牌桌,潜水配重,淬锋钢"
3,sink,13,"六分仪,潜水配重,鱼雷,炮弹,烈酒杯,定制准镜,大钢弩"
4,sink,28,"烈酒杯,六分仪,牌桌,淬锋钢,水车,吸血章鱼"
5,sink,29,"理查森先生,小冰镐,火药角,双管霰弹枪,水车,淬锋钢,珊瑚"
6,sink,30,"火药角,双管霰弹枪,水车,淬锋钢,加速烙刀,珊瑚"
7,sink,32,"恶鬼面具,小冰镐,绵鳚,湿件战服,打火机,燃烧子弹,燃烧响炮,蔻森娜纹章"
8,sink,40,"枪套,小冰镐,加速烙刀,绵鳚,潜水配重,藏刃匕首,打火机,大钢弩"
9,sink,51,"大钢弩,炮弹,鱼雷,潜水配重,水车,拍立蚌"
10,sink,27,"大钢弩,炮弹,迷幻蝠鲼,潜水配重,水车,拍立蚌,小冰镐"
11,sink,58,"幽渊鮟鱇,火药角,烈酒杯,绵鳚,十手,皮皮虾,流星索,拍立蚌,燃烧响炮"
12,sink,14,"火药角,烈酒杯,拍立蚌,皮皮虾,十手,绵鳚,迷幻蝠鲼,幽渊鮟鱇,流星索"
13,sink,64,"抛石机,绵鳚,篝火,打火机,燃烧子弹,大钢弩"
14,sink,69,"小冰镐,珊瑚,救生圈,拍立蚌,水母,雪怪蟹,元素深水炸弹,绵鳚"
15,sink,68,"水草,小冰镐,救生圈,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚"
16,sink,70,"烈酒杯,星盘,吸血章鱼,六分仪,潜水配重,沙滩充气球,淬锋钢"
17,sink,36,"牌桌,六分仪,烈酒杯,沙滩充气球,潜水配重,吸血章鱼,淬锋钢"
18,sink,35,"淬锋钢,牌桌,枪套,沙滩充气球,潜水配重,吸血章鱼,六分仪"
19,sink,73,"枪套,篝火,毒须鲶,鹦鹉皮特,燃烧响炮,绵鳚,打火机,大钢弩"
20,sink,76,"燃烧响炮,珊瑚,枪套,藏刃匕首,标枪,小冰镐,绵鳚,加速烙刀"
21,sink,77,"流星索,填弹杆,步枪,套娃,水车,淬锋钢"
22,sink,47,"流星索,填弹杆,步枪,水车,小冰镐,藏刃匕首"
23,sink,49,"流星索,填弹杆,步枪,水车,淬锋钢,拍立蚌"
24,sink,87,"枪套,燃烧响炮,加速烙刀,绵鳚,潜水配重,水母,河豚,燃烧子弹"
25,sink,86,"枪套,燃烧响炮,加速烙刀,绵鳚,潜水配重,水母,打火机,河豚"
26,sink,89,"珊瑚,潜水配重,元素深水炸弹,绵鳚,风暴瓶,雪怪蟹,流星索,小冰镐"
27,sink,91,"打火机,加速烙刀,绵鳚,海底热泉,燃烧子弹,燃烧响炮,篝火"
28,sink,92,"打火机,加速烙刀,绵鳚,海底热泉,枪套,篝火,燃烧响炮"
29,sink,94,"海底热泉,绵鳚,加速烙刀,珊瑚,打火机,篝火,燃烧响炮"
30,sink,95,"打火机,绵鳚,加速烙刀,燃烧子弹,燃烧响炮,篝火,海影宝驹"
31,sink,97,"打火机,绵鳚,加速烙刀,燃烧响炮,篝火,枪套,海影宝驹"
32,sink,53,"燃烧响炮,绵鳚,套娃,燃烧子弹,打火机,篝火,加速烙刀,枪套"
33,sink,22,"珊瑚护甲,篝火,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀"
34,sink,100,"飞鱼,海狗沙龙,绵鳚,迷幻蝠鲼,皮皮虾,鳐鲨,食人鱼"
35,sink,99,"飞鱼,海狗沙龙,绵鳚,迷幻蝠鲼,吸血章鱼,皮皮虾,鳐鲨"
36,sink,101,"六分仪,牌桌,拍立蚌,淬锋钢,水车,吸血章鱼"
37,sink,15,"集成式HUD,吸血章鱼,水车,潜水配重,六分仪,牌桌"
38,sink,11,"吸血章鱼,水车,潜水配重,六分仪,拍立蚌,牌桌"
39,sink,103,"小冰镐,淬锋钢,带刃悬浮板,潜水配重,深潜器,船长舱"
40,sink,104,"小冰镐,水车,淬锋钢,带刃悬浮板,潜水配重,深潜器"
41,sink,37,"淬锋钢,水车,套娃,带刃悬浮板,潜水配重,深潜器"
42,sink,108,"燃烧响炮,港口,鱼雷,潜水配重,拍立蚌,流星索,藏刃匕首"
43,sink,107,"港口,潜水配重,鱼雷,流星索,拍立蚌,手雷,珊瑚"
44,sink,110,"拍立蚌,码头缆索,皮皮虾,绵鳚,减速烙刀,火药角,烈酒杯,十手"
45,sink,112,"小冰镐,珊瑚,淬锋钢,元素深水炸弹,雪怪蟹,水母,潜艇"
46,sink,120,"燃烧响炮,火枪,打火机,绵鳚,加速烙刀,枪套,珊瑚,藏刃匕首"
47,sink,124,"燃烧响炮,打火机,标枪,绵鳚,加速烙刀,珊瑚,火炮"
48,sink,122,"燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀,珊瑚,火炮,枪套"
