final_rank,signature,total_points,matchup_wins,matchup_draws,matchup_losses
1,"加速烙刀,绵鳚,篝火,打火机,燃烧子弹,拍立蚌,大钢弩",5586,58,0,4
2,"枪套,大钢弩,燃烧响炮,加速烙刀,绵鳚,潜水配重,水母,拍立蚌",5517,57,0,5
3,"牌桌,淬锋钢,水车,吸血章鱼,潜水配重,六分仪",5326,58,1,3
4,"六分仪,潜水配重,鱼雷,炮弹,烈酒杯,枪套,大钢弩",5251,61,0,1
5,"湿件战服,珊瑚,牌桌,淬锋钢,马龙鱼,深潜器",5092,52,0,10
6,"湿件战服,淬锋钢,套娃,定制准镜,连发步枪,填弹杆,燃烧响炮",5076,53,0,9
7,"拍立蚌,水车,淬锋钢,带刃悬浮板,潜水配重,深潜器",5049,50,0,12
8,"皮皮虾,火药角,烈酒杯,绵鳚,加速烙刀,大钢弩,拍立蚌,枪套",5040,53,0,9
9,"淬锋钢,牌桌,沙滩充气球,集成式HUD,吸血章鱼,六分仪,潜水配重",4965,54,0,8
10,"小冰镐,皮皮虾,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,珊瑚,拍立蚌",4941,54,0,8
11,"抛石机,绵鳚,篝火,燃烧响炮,打火机,大钢弩",4803,49,0,13
12,"加速烙刀,小冰镐,烈酒杯,炮弹,潜水配重,皮皮虾,大钢弩,枪套",4801,51,1,10
13,"火药角,鱼雷,珊瑚,潜水配重,水车,套娃,小冰镐",4786,50,0,12
14,"抛石机,绵鳚,潜水配重,水母,枪套,大钢弩,燃烧响炮",4764,50,0,12
15,"淬锋钢,带刃悬浮板,潜水配重,船长舱,鸦巢",4692,48,0,14
16,"十手,理查森先生,迷幻蝠鲼,皮皮虾,火药角,烈酒杯,水车,拍立蚌",4379,43,3,16
17,"小冰镐,流星索,手雷,淬锋钢,带刃悬浮板,潜水配重,船长舱",4315,45,0,17
18,"套娃,水车,拍立蚌,毒须鲶,潜水配重,炮弹,鱼雷",4153,44,0,18
19,"烈酒杯,炮弹,流星索,锁镰,皮皮虾,迷幻蝠鲼,幽渊鮟鱇,十手,拍立蚌",3984,41,0,21
20,"水草,毒须鲶,潜水配重,水车,拍立蚌,小冰镐,加速烙刀",3748,40,0,22
21,"星盘,海影宝驹,迷幻蝠鲼,吸血章鱼,六分仪,潜水配重,淬锋钢",3740,36,1,25
22,"标枪,小冰镐,绵鳚,加速烙刀,燃烧响炮,烈酒杯,大钢弩",3709,38,2,22
23,"流星索,填弹杆,步枪,水车,套娃,小冰镐",3651,36,0,26
24,"牌桌,淬锋钢,水车,马龙鱼,深潜器",3594,38,1,23
25,"恶鬼面具,枪套,小冰镐,绵鳚,打火机,燃烧子弹,套娃,燃烧响炮,蔻森娜纹章",3582,40,1,21
26,"水草,毒须鲶,雪怪蟹,元素深水炸弹,潜水配重,水车,小冰镐",3552,34,1,27
27,"淬锋钢,套娃,水车,连发步枪,填弹杆,燃烧响炮",3487,35,1,26
28,"枪套,燃烧响炮,珊瑚,标枪,小冰镐,绵鳚,加速烙刀,打火机",3437,33,1,28
29,"小冰镐,救生圈,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,水草",3424,33,0,29
30,"枪套,打火机,珊瑚,潜水配重,绵鳚,加速烙刀,燃烧响炮,海影宝驹",3416,34,0,28
31,"大钢弩,炮弹,潜水配重,水车,小冰镐,珊瑚护甲",3258,33,0,29
32,"藏刃匕首,船舵,绵鳚,加速烙刀,抛石机,燃烧响炮",3233,31,1,30
33,"藏刃匕首,船舵,水车,小冰镐,加速烙刀,珊瑚",3227,31,0,31
34,"飞鱼,海狗沙龙,绵鳚,鳐鲨,迷幻蝠鲼,皮皮虾,盐钳海盗",3176,32,0,30
35,"拍立蚌,雪怪蟹,风暴瓶,绵鳚,元素深水炸弹,小冰镐,打火机,燃烧响炮",3110,30,0,32
36,"潜水配重,水车,拍立蚌,淬锋钢,六分仪,迷你弯刀,消音器",3024,28,0,34
37,"小冰镐,加速烙刀,珊瑚,武士刀,水车,淬锋钢",2563,23,0,39
38,"篝火,风暴瓶,雪怪蟹,毒须鲶,绵鳚,小冰镐,燃烧响炮,流星索",2483,24,0,38
39,"湿件战服,船首像,小冰镐,藏刃匕首,潜水配重,带刃悬浮板,淬锋钢",2424,19,0,43
40,"燃烧响炮,港口,绵鳚,鱼雷,潜水配重,拍立蚌,手雷",2418,20,0,42
41,"淬锋钢,旗舰,船长舱,潜水配重,六分仪",2363,22,1,39
42,"小冰镐,鳐鲨,珍珠,水母,雪怪蟹,元素深水炸弹,绵鳚,水草",2359,21,0,41
43,"枪套,燃烧响炮,加速烙刀,绵鳚,潜水配重,珍珠,水母,河豚",2343,21,0,41
44,"珊瑚,绵鳚,打火机,燃烧子弹,火枪,篝火,加速烙刀",2292,21,0,41
45,"珊瑚,淬锋钢,迷幻蝠鲼,套娃,水车,旗舰",2094,18,0,44
46,"小冰镐,弹簧刀,武士刀,水车,淬锋钢,码头缆索",2010,20,0,42
47,"弯刀,水车,淬锋钢,珊瑚,迷幻蝠鲼,海影宝驹",1987,20,0,42
48,"飞鱼,打火机,绵鳚,加速烙刀,喷射摩托,燃烧响炮,枪套",1985,18,0,44
49,"淬锋钢,鸦巢,定制准镜,旗舰,潜水配重,蔻森娜纹章",1944,16,0,46
50,"武士刀,水车,淬锋钢,盐钳海盗,迷幻蝠鲼,理查森先生,小冰镐",1930,19,0,43
51,"藏刃匕首,燃烧响炮,燃烧子弹,小冰镐,绵鳚,加速烙刀,鲨齿爪,枪套",1753,14,1,47
52,"飞鱼,打火机,绵鳚,抛石机,喷射摩托,燃烧响炮",1685,16,0,46
53,"鳐鲨,飞鱼,吸血章鱼,潜行滑翔机,绵鳚,马龙鱼",1432,14,0,48
54,"火药角,双管霰弹枪,水车,淬锋钢,珊瑚,六分仪",1382,13,0,49
55,"藏刃匕首,抛石机,飞鱼,燃烧响炮,小冰镐,绵鳚,鲨齿爪",1286,9,0,53
56,"水草,码头缆索,潜水配重,水车,弯刀,淬锋钢",1160,10,0,52
57,"珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,弯刀,淬锋钢",815,5,0,57
