rank,anchor,specialty
1,炼金梨缶,1
1,蜡烛,1
1,颠茄,1
4,地窖,0.99912780599517659
5,曲颈甑,0.99409499953109637
6,红宝石,0.99314174483136541
7,水蛭,0.98968449664845293
8,火焰药水,0.98677049620398727
9,腐朽圣像,0.98204841363288353
10,展示玻璃球,0.98197907303675702
11,毒液,0.9777210744322492
12,永恒火炬,0.9666231857566483
13,香炉,0.9617550399789323
14,煅烧釜,0.9605623511821525
15,剑杖,0.95663551707141059
16,真菌孢子,0.93308197489379263
17,地刺陷阱,0.92878244995863291
18,鳄鱼眼泪,0.90442678412819011
19,倒刺利爪,0.89711113716505864
20,翡翠,0.89674468788476946
21,折射棱镜,0.86488510473653735
22,瓶装闪电,0.84188610922784868
23,生命导体,0.82019446971911492
24,手术刀,0.76368658301629899
25,魔法飞毯,0.73605383447234851
26,硫磺,0.68745835698894753
27,彩虹药水,0.63964255935174319
28,笔与墨,0.63287733765895637
29,和平铸箱,0.59932049116804098
30,萤火虫,0.56386822895475419
31,嗅盐,0.51863573329047408
32,云精灵,0.5085983909993449
33,毒液注射,0.47666491989011317
34,剧毒药水,0.46672840906675434
35,塔兹迪亚匕首,0.4607985328460607
36,毒芹,0.44119234903919957
37,飞蛾粉末,0.43159477519633427
38,毒蜥,0.42298503677286831
39,再生药水,0.41309765594691539
40,贤者之石,0.40566012947463298
41,黑曜石碎片,0.39602334508857873
42,研钵与研杵,0.34968819239751808
43,没药,0.34847016305074469
44,贪婪渡鸦,0.34015007897316907
45,碎瓶,0.33089944250300485
46,时间之砂,0.31971543208746478
47,黑玫瑰,0.31382333064124163
48,蛇怪之牙,0.23887863539488027
49,青苔,0.22096619484049163
50,熏香,0.16706115006745237
51,拆信刀,0.1447152902541545
52,昏睡药水,0.14074392100453342
53,离子闪电,0.036512518667251061
54,空白石碑,0.030501301674356312
55,猫头鹰奥利,0.015748972618378834
