index,signature
0,"红宝石,火焰药水,彩虹药水,鳄鱼眼泪,香炉,煅烧釜,云精灵"
1,"毒芹,炼金梨缶,剧毒药水,毒液注射,翡翠,水蛭"
2,"真菌孢子,蜡烛,地刺陷阱,鳄鱼眼泪,彩虹药水,倒刺利爪,毒液"
3,"萤火虫,嗅盐,熏香,蜡烛,彩虹药水,红宝石,香炉"
4,"蜡烛,红宝石,香炉,煅烧釜,云精灵,火焰药水"
5,"香炉,剑杖,翡翠,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液"
6,"真菌孢子,倒刺利爪,毒液,彩虹药水,蜡烛,翡翠,毒液注射"
7,"火焰药水,红宝石,香炉,瓶装闪电,彩虹药水,煅烧釜,云精灵"
8,"真菌孢子,蜡烛,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液,香炉"
9,"彩虹药水,炼金梨缶,毒芹,翡翠,水蛭,毒液注射"
10,"和平铸箱,真菌孢子,笔与墨,毒液,翡翠,腐朽圣像"
11,"真菌孢子,蜡烛,火焰药水,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液"
12,"拆信刀,香炉,蜡烛,倒刺利爪,地刺陷阱,手术刀,蛇怪之牙"
13,"瓶装闪电,彩虹药水,蜡烛,贤者之石,火焰药水,红宝石,香炉"
14,"贤者之石,翡翠,毒液注射,生命导体,笔与墨,毒液,真菌孢子"
15,"剑杖,翡翠,地刺陷阱,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液"
16,"鳄鱼眼泪,萤火虫,红宝石,煅烧釜,嗅盐,飞蛾粉末,彩虹药水"
17,"真菌孢子,地刺陷阱,毒蜥,剑杖,翡翠,倒刺利爪,毒液"
18,"真菌孢子,笔与墨,毒液,翡翠,和平铸箱,曲颈甑"
19,"翡翠,腐朽圣像,和平铸箱,真菌孢子,倒刺利爪,毒液"
20,"瓶装闪电,萤火虫,煅烧釜,嗅盐,彩虹药水,红宝石,香炉"
21,"地刺陷阱,翡翠,真菌孢子,倒刺利爪,毒液,鳄鱼眼泪,蜡烛"
22,"地刺陷阱,蜡烛,真菌孢子,倒刺利爪,毒液,毒液注射,鳄鱼眼泪"
23,"彩虹药水,火焰药水,瓶装闪电,红宝石,昏睡药水,永恒火炬,鳄鱼眼泪"
24,"真菌孢子,翡翠,剧毒药水,地窖,毒液,腐朽圣像"
25,"地刺陷阱,翡翠,真菌孢子,彩虹药水,倒刺利爪,毒液,香炉,鳄鱼眼泪"
26,"瓶装闪电,红宝石,蜡烛,香炉,火焰药水,硫磺,碎瓶"
27,"拆信刀,蜡烛,倒刺利爪,地刺陷阱,彩虹药水,手术刀,蛇怪之牙"
28,"真菌孢子,翡翠,剧毒药水,笔与墨,地窖,毒液,彩虹药水"
29,"碎瓶,红宝石,蜡烛,香炉,火焰药水,塔兹迪亚匕首,硫磺"
30,"翡翠,真菌孢子,剧毒药水,地窖,毒液,笔与墨,毒蜥"
31,"火焰药水,瓶装闪电,香炉,红宝石,煅烧釜,展示玻璃球"
32,"展示玻璃球,瓶装闪电,红宝石,永恒火炬,彩虹药水,火焰药水"
33,"地刺陷阱,毒蜥,翡翠,水蛭,真菌孢子,倒刺利爪,毒液"
34,"真菌孢子,倒刺利爪,毒液,彩虹药水,翡翠,地刺陷阱,腐朽圣像"
35,"彩虹药水,瓶装闪电,香炉,红宝石,煅烧釜,展示玻璃球"
36,"彩虹药水,翡翠,地刺陷阱,鳄鱼眼泪,真菌孢子,毒液注射,倒刺利爪,毒液"
37,"折射棱镜,地刺陷阱,毒液注射,翡翠,倒刺利爪,毒液,鳄鱼眼泪"
38,"真菌孢子,香炉,倒刺利爪,毒液,鳄鱼眼泪,彩虹药水,翡翠,毒液注射"
39,"拆信刀,蜡烛,红宝石,倒刺利爪,地刺陷阱,手术刀,蛇怪之牙"
40,"彩虹药水,香炉,红宝石,永恒火炬,瓶装闪电,萤火虫,火焰药水"
41,"折射棱镜,地刺陷阱,真菌孢子,倒刺利爪,毒液,彩虹药水,翡翠"
42,"地刺陷阱,折射棱镜,真菌孢子,毒液注射,翡翠,倒刺利爪,毒液"
43,"昏睡药水,红宝石,鳄鱼眼泪,萤火虫,瓶装闪电,煅烧釜,彩虹药水"
44,"曲颈甑,真菌孢子,毒液注射,地刺陷阱,倒刺利爪,毒液,翡翠"
45,"鳄鱼眼泪,曲颈甑,真菌孢子,地刺陷阱,倒刺利爪,毒液,翡翠"
46,"红宝石,碎瓶,蜡烛,火焰药水,塔兹迪亚匕首,彩虹药水,香炉"
47,"曲颈甑,真菌孢子,地刺陷阱,倒刺利爪,毒液,翡翠,毒蜥"
48,"鳄鱼眼泪,毒蜥,彩虹药水,地刺陷阱,翡翠,真菌孢子,倒刺利爪,毒液"
49,"鳄鱼眼泪,拆信刀,地刺陷阱,倒刺利爪,毒液,毒液注射,翡翠,真菌孢子"
50,"鳄鱼眼泪,地刺陷阱,倒刺利爪,毒液,毒液注射,香炉,翡翠,真菌孢子"
51,"真菌孢子,倒刺利爪,毒液,颠茄,翡翠,毒蜥,毒液注射"
52,"瓶装闪电,红宝石,彩虹药水,蜡烛,香炉,火焰药水,硫磺"
53,"水蛭,翡翠,地刺陷阱,真菌孢子,毒液注射,倒刺利爪,毒液"
54,"彩虹药水,翡翠,地刺陷阱,水蛭,真菌孢子,倒刺利爪,毒液"
55,"香炉,鳄鱼眼泪,火焰药水,彩虹药水,昏睡药水,红宝石,永恒火炬"
56,"香炉,红宝石,瓶装闪电,永恒火炬,鳄鱼眼泪,昏睡药水,彩虹药水"
57,"蜡烛,碎瓶,贤者之石,火焰药水,彩虹药水,红宝石,香炉"
58,"真菌孢子,倒刺利爪,毒液,蜡烛,鳄鱼眼泪,毒液注射,翡翠"
59,"蜡烛,贤者之石,鳄鱼眼泪,火焰药水,彩虹药水,红宝石,香炉"
60,"水蛭,真菌孢子,翡翠,彩虹药水,炼金梨缶,毒芹"
61,"煅烧釜,鳄鱼眼泪,瓶装闪电,红宝石,昏睡药水,彩虹药水,香炉"
62,"彩虹药水,煅烧釜,昏睡药水,火焰药水,鳄鱼眼泪,红宝石,香炉"
63,"翡翠,真菌孢子,黑玫瑰,毒液注射,腐朽圣像,笔与墨,毒液"
64,"生命导体,黑玫瑰,笔与墨,毒液,真菌孢子,毒液注射,翡翠"
65,"煅烧釜,香炉,红宝石,彩虹药水,萤火虫,火焰药水,瓶装闪电"
66,"生命导体,翡翠,笔与墨,毒液,毒蜥,毒液注射,真菌孢子"
67,"鳄鱼眼泪,毒液注射,真菌孢子,翡翠,地刺陷阱,笔与墨,倒刺利爪,毒液"
68,"毒液注射,真菌孢子,毒蜥,翡翠,地刺陷阱,笔与墨,倒刺利爪,毒液"
69,"碎瓶,香炉,蜡烛,红宝石,瓶装闪电,火焰药水,彩虹药水"
70,"火焰药水,塔兹迪亚匕首,碎瓶,香炉,蜡烛,红宝石,瓶装闪电"
71,"碎瓶,地刺陷阱,蜡烛,火焰药水,红宝石,香炉,瓶装闪电"
72,"鳄鱼眼泪,真菌孢子,翡翠,腐朽圣像,地刺陷阱,倒刺利爪,毒液"
73,"笔与墨,颠茄,云精灵,翡翠,毒液注射,贤者之石,真菌孢子"
74,"翡翠,真菌孢子,倒刺利爪,毒液,腐朽圣像,地刺陷阱,毒液注射"
75,"彩虹药水,香炉,蜡烛,碎瓶,萤火虫,红宝石,火焰药水"
76,"瓶装闪电,彩虹药水,香炉,蜡烛,萤火虫,红宝石,火焰药水"
77,"碎瓶,蜡烛,香炉,萤火虫,火焰药水,红宝石,瓶装闪电"
78,"真菌孢子,颠茄,翡翠,毒蜥,水蛭,毒液注射"
79,"碎瓶,香炉,蜡烛,蛇怪之牙,红宝石,瓶装闪电,火焰药水"
80,"倒刺利爪,蛇怪之牙,手术刀,贤者之石,拆信刀,地刺陷阱,魔法飞毯"
81,"魔法飞毯,蛇怪之牙,地刺陷阱,曲颈甑,拆信刀,手术刀"
82,"蛇怪之牙,倒刺利爪,手术刀,贤者之石,地刺陷阱,瓶装闪电,魔法飞毯"
83,"昏睡药水,彩虹药水,煅烧釜,鳄鱼眼泪,红宝石,香炉,萤火虫"
