final_rank,signature,total_points,matchup_wins,matchup_draws,matchup_losses
1,"碎瓶,香炉,蜡烛,红宝石,瓶装闪电,火焰药水,彩虹药水",2389,24,0,0
2,"彩虹药水,香炉,红宝石,永恒火炬,瓶装闪电,萤火虫,火焰药水",2220,23,0,1
3,"煅烧釜,香炉,红宝石,彩虹药水,萤火虫,火焰药水,瓶装闪电",2208,22,0,2
4,"蜡烛,红宝石,香炉,煅烧釜,云精灵,火焰药水",2081,21,0,3
5,"展示玻璃球,瓶装闪电,红宝石,永恒火炬,彩虹药水,火焰药水",1904,20,0,4
6,"彩虹药水,瓶装闪电,香炉,红宝石,煅烧釜,展示玻璃球",1892,19,0,5
7,"拆信刀,蜡烛,倒刺利爪,地刺陷阱,彩虹药水,手术刀,蛇怪之牙",1742,18,0,6
8,"真菌孢子,蜡烛,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液,香炉",1697,17,0,7
9,"地刺陷阱,翡翠,真菌孢子,彩虹药水,倒刺利爪,毒液,香炉,鳄鱼眼泪",1414,14,0,10
10,"鳄鱼眼泪,曲颈甑,真菌孢子,地刺陷阱,倒刺利爪,毒液,翡翠",1286,13,0,11
11,"地刺陷阱,毒蜥,翡翠,水蛭,真菌孢子,倒刺利爪,毒液",1214,13,0,11
12,"鳄鱼眼泪,真菌孢子,翡翠,腐朽圣像,地刺陷阱,倒刺利爪,毒液",1187,12,0,12
13,"香炉,剑杖,翡翠,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液",1160,13,0,11
14,"魔法飞毯,蛇怪之牙,地刺陷阱,曲颈甑,拆信刀,手术刀",987,9,1,14
15,"彩虹药水,炼金梨缶,毒芹,翡翠,水蛭,毒液注射",986,9,0,15
16,"蛇怪之牙,倒刺利爪,手术刀,贤者之石,地刺陷阱,瓶装闪电,魔法飞毯",885,9,0,15
17,"折射棱镜,地刺陷阱,毒液注射,翡翠,倒刺利爪,毒液,鳄鱼眼泪",743,8,0,16
18,"真菌孢子,颠茄,翡翠,毒蜥,水蛭,毒液注射",708,6,0,18
19,"真菌孢子,倒刺利爪,毒液,颠茄,翡翠,毒蜥,毒液注射",700,7,0,17
20,"真菌孢子,翡翠,剧毒药水,笔与墨,地窖,毒液,彩虹药水",598,4,1,19
21,"笔与墨,颠茄,云精灵,翡翠,毒液注射,贤者之石,真菌孢子",580,5,1,18
22,"真菌孢子,笔与墨,毒液,翡翠,和平铸箱,曲颈甑",463,5,0,19
23,"真菌孢子,翡翠,剧毒药水,地窖,毒液,腐朽圣像",428,3,1,20
24,"和平铸箱,真菌孢子,笔与墨,毒液,翡翠,腐朽圣像",372,3,0,21
25,"生命导体,黑玫瑰,笔与墨,毒液,真菌孢子,毒液注射,翡翠",156,1,0,23
