combo_key,representative_signature,cluster_size
"云精灵,彩虹药水,火焰药水,煅烧釜,红宝石,香炉,鳄鱼眼泪","红宝石,火焰药水,彩虹药水,鳄鱼眼泪,香炉,煅烧釜,云精灵",1
"剧毒药水,毒液注射,毒芹,水蛭,炼金梨缶,翡翠","毒芹,炼金梨缶,剧毒药水,毒液注射,翡翠,水蛭",1
"倒刺利爪,地刺陷阱,彩虹药水,毒液,真菌孢子,蜡烛,鳄鱼眼泪","真菌孢子,蜡烛,地刺陷阱,鳄鱼眼泪,彩虹药水,倒刺利爪,毒液",1
"嗅盐,彩虹药水,熏香,红宝石,萤火虫,蜡烛,香炉","萤火虫,嗅盐,熏香,蜡烛,彩虹药水,红宝石,香炉",1
"云精灵,火焰药水,煅烧釜,红宝石,蜡烛,香炉","蜡烛,红宝石,香炉,煅烧釜,云精灵,火焰药水",1
"倒刺利爪,剑杖,毒液,真菌孢子,翡翠,香炉,鳄鱼眼泪","香炉,剑杖,翡翠,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液",1
"倒刺利爪,彩虹药水,毒液,毒液注射,真菌孢子,翡翠,蜡烛","真菌孢子,倒刺利爪,毒液,彩虹药水,蜡烛,翡翠,毒液注射",1
"云精灵,彩虹药水,火焰药水,煅烧釜,瓶装闪电,红宝石,香炉","火焰药水,红宝石,香炉,瓶装闪电,彩虹药水,煅烧釜,云精灵",1
"倒刺利爪,地刺陷阱,毒液,真菌孢子,蜡烛,香炉,鳄鱼眼泪","真菌孢子,蜡烛,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液,香炉",1
"彩虹药水,毒液注射,毒芹,水蛭,炼金梨缶,翡翠","彩虹药水,炼金梨缶,毒芹,翡翠,水蛭,毒液注射",1
"和平铸箱,毒液,真菌孢子,笔与墨,翡翠,腐朽圣像","和平铸箱,真菌孢子,笔与墨,毒液,翡翠,腐朽圣像",1
"倒刺利爪,地刺陷阱,毒液,火焰药水,真菌孢子,蜡烛,鳄鱼眼泪","真菌孢子,蜡烛,火焰药水,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液",1
"倒刺利爪,地刺陷阱,手术刀,拆信刀,蛇怪之牙,蜡烛,香炉","拆信刀,香炉,蜡烛,倒刺利爪,地刺陷阱,手术刀,蛇怪之牙",1
"彩虹药水,火焰药水,瓶装闪电,红宝石,蜡烛,贤者之石,香炉","瓶装闪电,彩虹药水,蜡烛,贤者之石,火焰药水,红宝石,香炉",1
"毒液,毒液注射,生命导体,真菌孢子,笔与墨,翡翠,贤者之石","贤者之石,翡翠,毒液注射,生命导体,笔与墨,毒液,真菌孢子",1
"倒刺利爪,剑杖,地刺陷阱,毒液,真菌孢子,翡翠,鳄鱼眼泪","剑杖,翡翠,地刺陷阱,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液",1
"嗅盐,彩虹药水,煅烧釜,红宝石,萤火虫,飞蛾粉末,鳄鱼眼泪","鳄鱼眼泪,萤火虫,红宝石,煅烧釜,嗅盐,飞蛾粉末,彩虹药水",1
"倒刺利爪,剑杖,地刺陷阱,毒液,毒蜥,真菌孢子,翡翠","真菌孢子,地刺陷阱,毒蜥,剑杖,翡翠,倒刺利爪,毒液",1
"和平铸箱,曲颈甑,毒液,真菌孢子,笔与墨,翡翠","真菌孢子,笔与墨,毒液,翡翠,和平铸箱,曲颈甑",1
