final_rank,signature,total_points,matchup_wins,matchup_draws,matchup_losses
1,"救生圈,淬锋钢,步枪,填弹杆,手雷",1359,14,0,2
2,"燃烧响炮,淬锋钢,火药角,火炮,绵鳚,打火机,珊瑚",1263,13,0,3
3,"手雷,填弹杆,步枪,手斧,葡萄弹,流星索",1193,13,0,3
4,"靴里剑,流星索,手斧,葡萄弹,弹簧刀,左轮手枪,鲨齿爪",1061,11,0,5
5,"舱底蠕虫,手斧,淬锋钢,飞鱼,鲨齿爪,马龙鱼",1050,10,0,6
6,"海螺壳,水草,珊瑚,打火机,绵鳚,海底热泉,燃烧响炮",1035,10,0,6
7,"流星索,鲨齿爪,手斧,弹簧刀,武士刀,刺刀",995,10,0,6
8,"打火机,绵鳚,迷幻蝠鲼,鹦鹉皮特,皮皮虾,水草,海螺壳,燃烧响炮",973,10,0,6
9,"舱底蠕虫,手斧,淬锋钢,弹簧刀,马龙鱼,沙滩充气球",826,8,0,8
10,"珊瑚,鱼饵,水母,雪怪蟹,毒须鲶,绵鳚,水草,海螺壳",744,6,0,10
11,"手斧,火药角,手雷,葡萄弹,弹簧刀,马龙鱼,淬锋钢",693,7,0,9
12,"靴里剑,手斧,淬锋钢,葡萄弹,绵鳚,火药角,步枪",597,7,0,9
13,"手斧,鲨齿爪,火药角,双管霰弹枪,弹簧刀,葡萄弹",498,5,0,11
14,"舱底蠕虫,流星索,手斧,鲨齿爪,弯刀,淬锋钢",437,4,0,12
15,"珊瑚,迷幻蝠鲼,马龙鱼,弹簧刀,弯刀,淬锋钢",387,3,0,13
16,"钓鱼竿,毒须鲶,绵鳚,沙滩充气球,水草,珊瑚",260,3,0,13
17,"珍珠,水草,海螺壳,珊瑚护甲,绵鳚,迷幻蝠鲼,皮皮虾",229,2,0,14
