item_rank,item,anchor,alpha_ij
1,淬锋钢,救生圈,1
1,淬锋钢,星图,1
1,淬锋钢,水草,1
1,淬锋钢,珊瑚,1
1,淬锋钢,舱底蠕虫,1
1,淬锋钢,飞鱼,1
1,淬锋钢,马龙鱼,1
1,淬锋钢,龙涎香,1
1,淬锋钢,火药角,0.98537093176187363
1,淬锋钢,木桶,0.98262798146722485
1,淬锋钢,湿件战服,0.98262798146722485
1,淬锋钢,食人鱼,0.97861905411350758
1,淬锋钢,手里剑,0.96317725986215197
1,淬锋钢,渔网,0.96008890101188082
1,淬锋钢,鱼饵,0.87646564598915466
1,淬锋钢,水母,0.84293489275763955
1,淬锋钢,铲子,0.83695281952245049
1,淬锋钢,海螺壳,0.80080085415751201
1,淬锋钢,弯刀,0.77416841564008043
1,淬锋钢,珍珠,0.69835048845140235
1,淬锋钢,抓钩,0.68912604820125056
1,淬锋钢,沙滩充气球,0.68739945197589281
1,淬锋钢,弹簧刀,0.65889422374161588
1,淬锋钢,温馨海湾,0.61912016391351665
1,淬锋钢,步枪,0.58151980468928732
1,淬锋钢,打火机,0.51957574025745612
1,淬锋钢,宠物石,0.51115936945437668
1,淬锋钢,珊瑚护甲,0.48885311372489731
1,淬锋钢,手雷,0.48387965271926592
1,淬锋钢,双管霰弹枪,0.47314455673833328
1,淬锋钢,雪怪蟹,0.45617555206651389
1,淬锋钢,毒须鲶,0.43695765518730567
1,淬锋钢,流星索,0.41717253840256674
1,淬锋钢,填弹杆,0.4012760806136374
1,淬锋钢,火炮,0.35881114642240941
1,淬锋钢,独角鲸,0.17429517453481577
1,淬锋钢,鲨齿爪,0.17429517453481574
1,淬锋钢,左轮手枪,0.17359291779271244
1,淬锋钢,藏刃匕首,0.15012632696837455
1,淬锋钢,海底热泉,0.13897614826220084
1,淬锋钢,迷幻蝠鲼,0.12171197221964269
1,淬锋钢,燃烧响炮,0.1146553223163157
1,淬锋钢,绵鳚,0.088018227232727203
1,淬锋钢,武士刀,0.065763876694008766
1,淬锋钢,狼筅,0.05612498295204265
1,淬锋钢,手斧,0.054432324736028666
1,淬锋钢,刺刀,0.039707470932057384
1,淬锋钢,钓鱼竿,0.03474403706555021
1,淬锋钢,葡萄弹,0.033159221339753187
1,淬锋钢,迷你弯刀,0.030979203327797092
1,淬锋钢,三花,0
1,淬锋钢,皮皮虾,0
1,淬锋钢,靴里剑,0
1,淬锋钢,鹦鹉皮特,0
2,手斧,三花,1
2,手斧,刺刀,1
2,手斧,宠物石,1
2,手斧,左轮手枪,1
2,手斧,武士刀,1
2,手斧,迷你弯刀,1
