peel_index,phase,node_index,signature
0,sink,0,"鲨齿爪,火药角,双管霰弹枪,弹簧刀,葡萄弹,靴里剑"
1,sink,17,"珊瑚,淬锋钢,火药角,双管霰弹枪,弹簧刀,葡萄弹,手斧"
2,sink,24,"手雷,填弹杆,步枪,弹簧刀,葡萄弹,手斧"
3,sink,27,"珊瑚,迷幻蝠鲼,马龙鱼,弹簧刀,弯刀,淬锋钢"
4,sink,29,"舱底蠕虫,手斧,鲨齿爪,绵鳚,弯刀,淬锋钢"
5,sink,30,"舱底蠕虫,流星索,手斧,鲨齿爪,弯刀,淬锋钢"
6,sink,39,"珊瑚,淬锋钢,飞鱼,弹簧刀,马龙鱼,救生圈"
7,sink,36,"湿件战服,马龙鱼,弹簧刀,飞鱼,淬锋钢,珊瑚"
8,sink,40,"淬锋钢,飞鱼,弹簧刀,马龙鱼,水草,救生圈"
9,sink,41,"水草,绵鳚,毒须鲶,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,海螺壳"
10,sink,8,"珊瑚,珍珠,水母,雪怪蟹,毒须鲶,绵鳚,水草,海螺壳"
11,sink,44,"毒须鲶,飞鱼,手斧,淬锋钢,绵鳚,马龙鱼,水草"
12,sink,50,"水草,马龙鱼,绵鳚,皮皮虾,迷幻蝠鲼,飞鱼,淬锋钢"
13,sink,53,"手斧,沙滩充气球,马龙鱼,弹簧刀,藏刃匕首,毒须鲶"
14,sink,56,"湿件战服,马龙鱼,弹簧刀,飞鱼,淬锋钢,水草"
15,sink,58,"燃烧响炮,葡萄弹,火药角,火炮,绵鳚,珊瑚,打火机"
16,sink,59,"舱底蠕虫,手斧,淬锋钢,葡萄弹,绵鳚,火药角,步枪"
17,sink,64,"燃烧响炮,打火机,绵鳚,海底热泉,葡萄弹,狼筅"
18,sink,63,"燃烧响炮,打火机,绵鳚,海底热泉,狼筅,海螺壳"
19,sink,2,"燃烧响炮,打火机,绵鳚,海底热泉,狼筅,珊瑚"
20,sink,71,"鲨齿爪,流星索,弹簧刀,迷你弯刀,刺刀,靴里剑,手斧"
21,sink,75,"珊瑚,水母,钓鱼竿,毒须鲶,绵鳚,水草,打火机"
22,sink,76,"钓鱼竿,毒须鲶,绵鳚,沙滩充气球,水草,珊瑚"
23,sink,3,"沙滩充气球,马龙鱼,绵鳚,毒须鲶,水草,淬锋钢"
24,sink,51,"淬锋钢,飞鱼,鲨齿爪,绵鳚,马龙鱼,水草"
25,sink,52,"沙滩充气球,马龙鱼,弹簧刀,藏刃匕首,淬锋钢,毒须鲶"
26,sink,77,"水草,珊瑚,淬锋钢,飞鱼,弹簧刀,马龙鱼,海螺壳"
27,sink,78,"鲨齿爪,水草,淬锋钢,飞鱼,弹簧刀,马龙鱼"
28,sink,15,"靴里剑,鲨齿爪,淬锋钢,飞鱼,弹簧刀,马龙鱼"
29,sink,79,"舱底蠕虫,鲨齿爪,淬锋钢,飞鱼,弹簧刀,马龙鱼"
30,source_quality,12,"淬锋钢,飞鱼,鲨齿爪,救生圈,马龙鱼"
