anchor	rr	anchor_m	swiss	deck
云精灵	292	282	9	彩虹药水,炼金梨缶,云精灵,翡翠,真菌孢子
倒刺利爪	282	144	9	地刺陷阱,蜡烛,倒刺利爪,鳄鱼眼泪,香炉
再生药水	294	61	9	翡翠,再生药水,笔与墨,毒液,毒液注射,真菌孢子
剑杖	275	275	8	彩虹药水,剑杖,毒液注射,翡翠,真菌孢子
剧毒药水	211	16	9	研钵与研杵,手术刀,剧毒药水,蛇怪之牙,拆信刀
和平铸箱	293	195	9	翡翠,和平铸箱,笔与墨,毒液,真菌孢子
嗅盐	286	15	9	彩虹药水,红宝石,香炉,萤火虫,嗅盐,鳄鱼眼泪
地刺陷阱	223	158	9	蜡烛,手术刀,蛇怪之牙,地刺陷阱,香炉
地窖	295	295	9	剧毒药水,翡翠,真菌孢子,地窖,毒液
塔兹迪亚匕首	255	107	9	鳄鱼眼泪,火焰药水,塔兹迪亚匕首,手术刀,蛇怪之牙,地刺陷阱
展示玻璃球	295	8	10	展示玻璃球,真菌孢子,笔与墨,毒液,翡翠
彩虹药水	218	82	9	手术刀,彩虹药水,蛇怪之牙,鳄鱼眼泪,香炉,地刺陷阱
手术刀	220	216	8	地刺陷阱,鳄鱼眼泪,蛇怪之牙,研钵与研杵,手术刀
折射棱镜	253	248	9	鳄鱼眼泪,香炉,毒液注射,折射棱镜,彩虹药水
拆信刀	245	72	10	地刺陷阱,拆信刀,蛇怪之牙,研钵与研杵,手术刀
时间之砂	295	27	10	萤火虫,时间之砂,香炉,彩虹药水,红宝石
昏睡药水	281	-1	10	翡翠,昏睡药水,毒液注射,真菌孢子,倒刺利爪,毒液
曲颈甑	217	185	10	蛇怪之牙,曲颈甑,鳄鱼眼泪,手术刀,香炉
毒液	278	278	9	毒液注射,翡翠,真菌孢子,倒刺利爪,毒液,地刺陷阱
毒液注射	285	118	9	真菌孢子,地刺陷阱,翡翠,毒液注射,倒刺利爪,毒液
毒芹	283	124	9	毒芹,毒液注射,翡翠,真菌孢子,倒刺利爪,毒液
毒蜥	256	39	10	鳄鱼眼泪,拆信刀,地刺陷阱,毒蜥,蛇怪之牙,手术刀
水蛭	295	295	10	毒液注射,水蛭,翡翠,倒刺利爪,毒液
永恒火炬	291	290	10	火焰药水,香炉,红宝石,瓶装闪电,永恒火炬
没药	286	5	9	翡翠,没药,笔与墨,毒液,毒蜥,真菌孢子
火焰药水	279	18	9	火焰药水,毒液注射,真菌孢子,倒刺利爪,毒液,翡翠
炼金梨缶	278	278	9	毒芹,炼金梨缶,云精灵,翡翠,真菌孢子
煅烧釜	293	290	9	红宝石,彩虹药水,鳄鱼眼泪,香炉,煅烧釜
熏香	292	29	10	熏香,萤火虫,香炉,彩虹药水,鳄鱼眼泪,红宝石
猫头鹰奥利	249	9	9	翡翠,真菌孢子,笔与墨,毒液,猫头鹰奥利,毒蜥
瓶装闪电	281	269	9	彩虹药水,炼金梨缶,瓶装闪电,翡翠,真菌孢子
生命导体	295	5	10	生命导体,笔与墨,毒液,真菌孢子,翡翠
真菌孢子	287	287	10	真菌孢子,倒刺利爪,毒液,翡翠,毒液注射,地刺陷阱
研钵与研杵	221	208	9	倒刺利爪,蛇怪之牙,研钵与研杵,手术刀,地刺陷阱
硫磺	278	33	10	彩虹药水,硫磺,香炉,红宝石,瓶装闪电,鳄鱼眼泪
碎瓶	284	269	9	真菌孢子,彩虹药水,炼金梨缶,碎瓶,翡翠
离子闪电	247	20	9	翡翠,毒液注射,离子闪电,笔与墨,毒液,真菌孢子
空白石碑	295	3	10	真菌孢子,笔与墨,毒液,空白石碑,翡翠
笔与墨	277	277	9	毒液注射,彩虹药水,真菌孢子,翡翠,笔与墨,毒液
红宝石	265	265	9	香炉,彩虹药水,火焰药水,红宝石,萤火虫,瓶装闪电
翡翠	287	276	10	翡翠,真菌孢子,地刺陷阱,倒刺利爪,毒液,毒液注射
腐朽圣像	295	272	10	真菌孢子,翡翠,腐朽圣像,倒刺利爪,毒液
萤火虫	284	271	10	红宝石,瓶装闪电,火焰药水,彩虹药水,萤火虫,香炉
蛇怪之牙	259	166	10	蜡烛,香炉,火焰药水,红宝石,蛇怪之牙
蜡烛	276	275	9	瓶装闪电,红宝石,彩虹药水,蜡烛,香炉
贤者之石	284	72	10	翡翠,真菌孢子,贤者之石,倒刺利爪,毒液,毒液注射
贪婪渡鸦	235	176	10	手术刀,蛇怪之牙,贪婪渡鸦,地刺陷阱,香炉
青苔	288	16	10	青苔,倒刺利爪,毒液,毒液注射,翡翠,真菌孢子
颠茄	287	285	9	颠茄,翡翠,真菌孢子,笔与墨,毒液
飞蛾粉末	293	10	9	香炉,飞蛾粉末,红宝石,彩虹药水,萤火虫,鳄鱼眼泪
香炉	274	274	10	彩虹药水,红宝石,瓶装闪电,萤火虫,火焰药水,香炉
魔法飞毯	225	141	9	魔法飞毯,蛇怪之牙,拆信刀,地刺陷阱,手术刀
鳄鱼眼泪	281	278	10	彩虹药水,炼金梨缶,鳄鱼眼泪,香炉,红宝石
黑曜石碎片	278	246	9	真菌孢子,翡翠,彩虹药水,炼金梨缶,黑曜石碎片
黑玫瑰	291	77	10	真菌孢子,黑玫瑰,毒液注射,笔与墨,毒液,翡翠
