anchor	rr	anchor_m	swiss	deck
三花	276	5	11	篝火,打火机,燃烧子弹,三花,燃烧响炮,绵鳚,珊瑚,大钢弩
伪装	290	0	11	大钢弩,小冰镐,篝火,伪装,燃烧响炮,绵鳚,打火机
元素深水炸弹	194	193	10	盐钳海盗,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,水车,拍立蚌
六分仪	230	64	10	六分仪,大钢弩,吸血章鱼,拍立蚌,潜水配重,炮弹,烈酒杯,枪套
减速烙刀	242	106	11	火药角,烈酒杯,减速烙刀,绵鳚,大钢弩,皮皮虾,拍立蚌,枪套
刺刀	246	55	11	船首像,潜水配重,带刃悬浮板,淬锋钢,小冰镐,刺刀,手斧,舱底蠕虫
加速烙刀	271	270	11	大钢弩,救生圈,潜水配重,绵鳚,加速烙刀,枪套,烈酒杯
十手	197	69	11	枪套,大钢弩,绵鳚,十手,火药角,烈酒杯,皮皮虾,燃烧响炮,拍立蚌
双管霰弹枪	244	244	10	淬锋钢,水车,火药角,双管霰弹枪,鸦巢
吸血章鱼	248	28	11	燃烧响炮,淬锋钢,燃烧子弹,打火机,篝火,吸血章鱼,枪套,大钢弩
喷射摩托	273	272	11	小冰镐,喷射摩托,理查森先生,潜行滑翔机,潜水配重,飞鱼
填弹杆	253	253	11	小冰镐,套娃,水车,步枪,填弹杆,流星索
大钢弩	195	129	10	皮皮虾,潜水配重,炮弹,烈酒杯,救生圈,大钢弩,枪套,理查森先生
套娃	228	64	10	救生圈,藏刃匕首,套娃,带刃悬浮板,潜水配重,深潜器,淬锋钢
定制准镜	260	15	9	定制准镜,吸血章鱼,淬锋钢,六分仪,潜水配重,沙滩充气球,牌桌
宠物石	245	19	10	救生圈,加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,宠物石
小冰镐	232	106	10	小冰镐,海螺壳,珊瑚,绵鳚,元素深水炸弹,雪怪蟹,毒须鲶,救生圈
左轮手枪	283	96	11	救生圈,枪套,燃烧响炮,加速烙刀,绵鳚,打火机,燃烧子弹,左轮手枪
带刃悬浮板	258	258	11	鸦巢,淬锋钢,带刃悬浮板,潜水配重,船长舱
幽渊鮟鱇	222	213	11	救生圈,拍立蚌,幽渊鮟鱇,十手,火药角,烈酒杯,皮皮虾,燃烧响炮
弯刀	237	230	10	淬锋钢,水车,弯刀,理查森先生,珊瑚,码头缆索
弹簧刀	235	38	9	弹簧刀,小冰镐,绵鳚,燃烧响炮,燃烧子弹,打火机,篝火,大钢弩
恶鬼面具	205	197	10	恶鬼面具,蔻森娜纹章,淬锋钢,打火机,湿件战服,绵鳚,小冰镐,燃烧响炮
手斧	241	137	10	篝火,大钢弩,燃烧响炮,手斧,枪套,打火机,绵鳚,小冰镐
手里剑	276	8	11	手里剑,大钢弩,珊瑚,篝火,打火机,燃烧子弹,燃烧响炮,绵鳚
手雷	271	68	11	救生圈,手雷,燃烧响炮,枪套,打火机,加速烙刀,篝火
打火机	280	221	11	大钢弩,篝火,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀
抓钩	222	63	11	大钢弩,绵鳚,枪套,火药角,烈酒杯,抓钩,十手,皮皮虾,拍立蚌
抛石机	249	249	11	枪套,燃烧响炮,潜水配重,绵鳚,大钢弩,小冰镐,抛石机
拍立蚌	213	88	10	十手,火药角,烈酒杯,枪套,流星索,皮皮虾,绵鳚,大钢弩,拍立蚌
救生圈	288	175	12	加速烙刀,绵鳚,篝火,打火机,燃烧子弹,救生圈,燃烧响炮
旗舰	232	227	10	鱼雷,拍立蚌,燃烧响炮,绵鳚,旗舰,蔻森娜纹章,淬锋钢
星图	233	51	10	救生圈,燃烧响炮,星图,打火机,篝火,加速烙刀
星盘	224	215	10	拍立蚌,大钢弩,燃烧响炮,绵鳚,加速烙刀,烈酒杯,星盘
木桶	294	27	11	小冰镐,淬锋钢,木桶,马龙鱼,湿件战服,深潜器
枪套	228	190	10	打火机,绵鳚,大钢弩,加速烙刀,篝火,燃烧响炮,枪套
标枪	255	254	11	燃烧响炮,加速烙刀,绵鳚,大钢弩,小冰镐,标枪,烈酒杯
橘利安	258	-15	11	加速烙刀,篝火,打火机,燃烧子弹,拍立蚌,橘利安,燃烧响炮
步枪	216	216	10	小冰镐,水车,套娃,流星索,填弹杆,步枪
武士刀	259	249	11	船首像,舱底蠕虫,手斧,手里剑,弹簧刀,武士刀,刺刀,淬锋钢
毒须鲶	285	153	11	篝火,毒须鲶,打火机,燃烧子弹,燃烧响炮,绵鳚,珊瑚,救生圈
水母	222	171	10	水草,潜水配重,水母,枪套,大钢弩,绵鳚,加速烙刀,燃烧响炮
水草	247	147	10	小冰镐,水草,潜水配重,雪怪蟹,元素深水炸弹,绵鳚,珊瑚,救生圈
水车	238	238	11	小冰镐,水车,淬锋钢,带刃悬浮板,潜水配重,深潜器
沙滩充气球	223	85	11	六分仪,潜水配重,大钢弩,枪套,沙滩充气球,吸血章鱼,烈酒杯
河豚	292	150	11	河豚,燃烧子弹,打火机,篝火,燃烧响炮,绵鳚,大钢弩
流星索	241	50	10	打火机,绵鳚,加速烙刀,枪套,珊瑚,流星索,救生圈,燃烧响炮
海底热泉	270	217	11	海底热泉,绵鳚,打火机,理查森先生,篝火,燃烧响炮,大钢弩
海影宝驹	287	286	11	六分仪,淬锋钢,船舵,沙滩充气球,吸血章鱼,海影宝驹
海狗沙龙	217	217	11	流星索,鱼雷,独角鲸,迷幻蝠鲼,皮皮虾,绵鳚,海狗沙龙
海螺壳	193	94	11	皮皮虾,迷幻蝠鲼,绵鳚,元素深水炸弹,雪怪蟹,小冰镐,拍立蚌,珍珠,海螺壳
消音器	275	31	10	大钢弩,绵鳚,燃烧响炮,燃烧子弹,打火机,篝火,小冰镐,消音器
淬锋钢	261	103	10	淬锋钢,沙滩充气球,潜水配重,六分仪,吸血章鱼,消音器,牌桌
深海弯刀	258	35	10	加速烙刀,篝火,打火机,燃烧子弹,深海弯刀,绵鳚,燃烧响炮
深潜器	231	206	11	沙滩充气球,船舵,吸血章鱼,六分仪,深潜器,淬锋钢
渔网	213	77	10	十手,皮皮虾,枪套,大钢弩,烈酒杯,炮弹,潜水配重,渔网
温馨海湾	215	115	11	温馨海湾,珍珠,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
港口	231	228	11	葡萄弹,港口,绵鳚,鱼雷,燃烧响炮,流星索,手雷
湿件战服	234	90	10	流星索,手斧,小冰镐,飞鱼,潜水配重,带刃悬浮板,淬锋钢,湿件战服
潜水配重	248	225	10	小冰镐,淬锋钢,枪套,深潜器,带刃悬浮板,潜水配重,湿件战服
潜艇	250	233	11	燃烧响炮,淬锋钢,燃烧子弹,潜艇,湿件战服,绵鳚,小冰镐
潜行滑翔机	283	283	11	燃烧响炮,燃烧子弹,潜行滑翔机,绵鳚,加速烙刀,飞鱼,打火机
火枪	281	135	11	燃烧响炮,火枪,打火机,绵鳚,珊瑚,潜水配重,枪套,大钢弩
火炮	226	226	11	流星索,鱼雷,手斧,打火机,炮弹,火炮,绵鳚,燃烧响炮
火药角	213	213	9	皮皮虾,火药角,烈酒杯,枪套,理查森先生,救生圈,大钢弩,十手
炮弹	226	131	10	救生圈,水草,珍珠,鱼雷,炮弹,潜水配重,珊瑚,毒须鲶
烈酒杯	207	207	11	火药角,烈酒杯,枪套,大钢弩,皮皮虾,救生圈,理查森先生,潜水配重
烙刀	240	50	9	燃烧响炮,篝火,标枪,打火机,烙刀,大钢弩
燃烧响炮	288	258	11	大钢弩,绵鳚,燃烧响炮,燃烧子弹,打火机,篝火,加速烙刀
燃烧子弹	252	232	11	篝火,燃烧响炮,燃烧子弹,打火机,绵鳚,大钢弩,加速烙刀
牌桌	231	216	11	十手,牌桌,皮皮虾,烈酒杯,炮弹,流星索,救生圈,拍立蚌
独角鲸	227	216	11	湿件战服,淬锋钢,带刃悬浮板,潜水配重,独角鲸,弹簧刀,手斧,舱底蠕虫
狼筅	281	259	11	大钢弩,狼筅,篝火,打火机,珊瑚,绵鳚,燃烧响炮
珊瑚	196	96	11	小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,海影宝驹,珊瑚
珊瑚护甲	205	124	10	拍立蚌,珊瑚护甲,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,珊瑚
珍珠	213	83	11	拍立蚌,小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,珍珠
理查森先生	253	76	11	烈酒杯,加速烙刀,大钢弩,绵鳚,潜水配重,理查森先生,枪套,葡萄弹
皮皮虾	195	33	11	大钢弩,绵鳚,十手,拍立蚌,枪套,流星索,火药角,烈酒杯,皮皮虾
盐钳海盗	248	75	9	小冰镐,篝火,燃烧响炮,燃烧子弹,打火机,绵鳚,大钢弩,盐钳海盗
码头缆索	239	119	10	码头缆索,皮皮虾,绵鳚,大钢弩,十手,枪套,火药角,烈酒杯
篝火	274	274	11	大钢弩,理查森先生,绵鳚,打火机,篝火,燃烧响炮,燃烧子弹,套娃
绵鳚	262	186	11	燃烧响炮,篝火,加速烙刀,大钢弩,绵鳚,打火机,烈酒杯
