anchor	rr	anchor_m	swiss	deck
云精灵	283	262	9	彩虹药水,红宝石,蜡烛,香炉,火焰药水,瓶装闪电,煅烧釜,云精灵
倒刺利爪	284	278	10	地刺陷阱,昏睡药水,蜡烛,翡翠,真菌孢子,倒刺利爪,毒液,毒液注射,鳄鱼眼泪
再生药水	267	235	10	煅烧釜,火焰药水,香炉,红宝石,再生药水,彩虹药水,鳄鱼眼泪,蜡烛
剑杖	266	255	8	昏睡药水,香炉,剑杖,彩虹药水,煅烧釜,红宝石,鳄鱼眼泪,火焰药水
剧毒药水	268	195	9	瓶装闪电,火焰药水,红宝石,煅烧釜,剧毒药水,香炉,蜡烛,彩虹药水
和平铸箱	290	37	10	和平铸箱,真菌孢子,水蛭,毒液注射,倒刺利爪,毒液,翡翠,地刺陷阱
嗅盐	248	142	9	红宝石,香炉,煅烧釜,嗅盐,彩虹药水,蜡烛,火焰药水,碎瓶
地刺陷阱	271	180	9	地刺陷阱,红宝石,香炉,煅烧釜,碎瓶,蜡烛,火焰药水,彩虹药水
地窖	275	227	9	彩虹药水,地窖,鳄鱼眼泪,煅烧釜,火焰药水,红宝石,香炉,瓶装闪电
塔兹迪亚匕首	288	245	9	碎瓶,蜡烛,彩虹药水,红宝石,火焰药水,塔兹迪亚匕首,香炉,煅烧釜
展示玻璃球	268	268	9	瓶装闪电,煅烧釜,红宝石,展示玻璃球,碎瓶,彩虹药水,鳄鱼眼泪,火焰药水
彩虹药水	284	240	10	红宝石,煅烧釜,香炉,蜡烛,彩虹药水,瓶装闪电,火焰药水,碎瓶
手术刀	282	204	10	碎瓶,蜡烛,手术刀,红宝石,香炉,煅烧釜,瓶装闪电,火焰药水
折射棱镜	261	250	9	鳄鱼眼泪,折射棱镜,昏睡药水,火焰药水,香炉,红宝石,彩虹药水,煅烧釜
拆信刀	283	236	9	香炉,煅烧釜,瓶装闪电,碎瓶,红宝石,蜡烛,拆信刀,火焰药水
时间之砂	265	154	9	时间之砂,蜡烛,火焰药水,香炉,彩虹药水,碎瓶,红宝石,萤火虫
昏睡药水	282	205	9	蜡烛,煅烧釜,昏睡药水,彩虹药水,瓶装闪电,红宝石,火焰药水,萤火虫
曲颈甑	248	233	9	曲颈甑,萤火虫,红宝石,煅烧釜,香炉,鳄鱼眼泪,彩虹药水,昏睡药水
毒液	271	249	9	翡翠,蜡烛,真菌孢子,鳄鱼眼泪,倒刺利爪,毒液,贤者之石,地刺陷阱,毒液注射
毒液注射	269	60	9	蜡烛,翡翠,彩虹药水,毒液注射,鳄鱼眼泪,倒刺利爪,毒液,地刺陷阱,真菌孢子
毒芹	289	93	10	蜡烛,毒液注射,彩虹药水,翡翠,毒芹,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
毒蜥	283	44	9	鳄鱼眼泪,真菌孢子,倒刺利爪,毒液,翡翠,毒液注射,毒蜥,地刺陷阱,蜡烛
水蛭	260	260	9	水蛭,嗅盐,真菌孢子,鳄鱼眼泪,翡翠,倒刺利爪,毒液,地刺陷阱,毒液注射
永恒火炬	282	263	9	碎瓶,香炉,瓶装闪电,火焰药水,蜡烛,红宝石,永恒火炬,彩虹药水
没药	263	90	9	碎瓶,煅烧釜,没药,红宝石,火焰药水,香炉,瓶装闪电,蜡烛
火焰药水	284	262	10	蜡烛,彩虹药水,香炉,煅烧釜,火焰药水,瓶装闪电,红宝石,碎瓶
炼金梨缶	255	255	9	真菌孢子,翡翠,毒液注射,贤者之石,水蛭,彩虹药水,炼金梨缶,毒芹
煅烧釜	264	264	9	香炉,瓶装闪电,彩虹药水,红宝石,蜡烛,煅烧釜,云精灵,火焰药水
熏香	242	171	8	熏香,火焰药水,煅烧釜,香炉,蜡烛,红宝石,萤火虫,彩虹药水
猫头鹰奥利	282	7	9	曲颈甑,鳄鱼眼泪,香炉,猫头鹰奥利,瓶装闪电,彩虹药水,煅烧釜,红宝石
瓶装闪电	274	238	9	碎瓶,蜡烛,瓶装闪电,红宝石,香炉,煅烧釜,彩虹药水,火焰药水
生命导体	293	217	9	贤者之石,毒液注射,翡翠,腐朽圣像,真菌孢子,笔与墨,毒液,生命导体
真菌孢子	291	184	10	鳄鱼眼泪,翡翠,真菌孢子,毒液注射,蜡烛,倒刺利爪,毒液,昏睡药水,地刺陷阱
研钵与研杵	204	135	9	研钵与研杵,魔法飞毯,拆信刀,倒刺利爪,手术刀,地刺陷阱,蛇怪之牙,猫头鹰奥利
硫磺	273	214	10	火焰药水,煅烧釜,彩虹药水,硫磺,蜡烛,香炉,碎瓶,红宝石
碎瓶	287	274	10	火焰药水,彩虹药水,碎瓶,红宝石,煅烧釜,蜡烛,香炉,瓶装闪电
离子闪电	218	10	8	煅烧釜,鳄鱼眼泪,萤火虫,瓶装闪电,火焰药水,红宝石,彩虹药水,离子闪电,香炉
空白石碑	248	11	9	瓶装闪电,鳄鱼眼泪,彩虹药水,红宝石,空白石碑,香炉,萤火虫,煅烧釜
笔与墨	255	52	10	水蛭,笔与墨,倒刺利爪,毒液,腐朽圣像,翡翠,真菌孢子,毒液注射
红宝石	257	257	9	昏睡药水,红宝石,彩虹药水,萤火虫,火焰药水,蜡烛,碎瓶,瓶装闪电,香炉
翡翠	290	127	10	真菌孢子,地刺陷阱,倒刺利爪,毒液,蜡烛,毒液注射,鳄鱼眼泪,翡翠,昏睡药水
腐朽圣像	280	226	10	腐朽圣像,倒刺利爪,毒液,真菌孢子,地刺陷阱,鳄鱼眼泪,翡翠,蜡烛
萤火虫	281	212	10	萤火虫,煅烧釜,蜡烛,火焰药水,碎瓶,红宝石,彩虹药水,香炉
蛇怪之牙	212	88	9	蜡烛,火焰药水,蛇怪之牙,红宝石,手术刀,瓶装闪电,彩虹药水,贤者之石,香炉
蜡烛	252	251	9	红宝石,香炉,碎瓶,彩虹药水,火焰药水,瓶装闪电,展示玻璃球,蜡烛
贤者之石	294	25	9	蜡烛,翡翠,贤者之石,毒液注射,倒刺利爪,毒液,地刺陷阱,真菌孢子,鳄鱼眼泪
贪婪渡鸦	256	196	9	红宝石,瓶装闪电,香炉,彩虹药水,鳄鱼眼泪,煅烧釜,火焰药水,贪婪渡鸦
青苔	281	189	9	彩虹药水,煅烧釜,红宝石,火焰药水,瓶装闪电,香炉,蜡烛,青苔
颠茄	294	290	10	翡翠,真菌孢子,贤者之石,水蛭,倒刺利爪,毒液,毒液注射,颠茄
飞蛾粉末	260	199	8	飞蛾粉末,煅烧釜,香炉,彩虹药水,火焰药水,蜡烛,萤火虫,红宝石
香炉	288	259	10	红宝石,瓶装闪电,煅烧釜,碎瓶,彩虹药水,香炉,火焰药水,蜡烛
魔法飞毯	272	145	9	火焰药水,彩虹药水,红宝石,煅烧釜,香炉,瓶装闪电,魔法飞毯,鳄鱼眼泪
