anchor	rr	anchor_m	swiss	deck
三花	279	7	11	加速烙刀,绵鳚,篝火,打火机,大钢弩,三花,燃烧响炮
伪装	223	21	11	伪装,珊瑚,小冰镐,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚
元素深水炸弹	188	188	11	皮皮虾,珊瑚,拍立蚌,水母,迷幻蝠鲼,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
六分仪	265	262	10	吸血章鱼,水车,潜水配重,六分仪,牌桌,淬锋钢
减速烙刀	233	233	10	枪套,火药角,烈酒杯,拍立蚌,大钢弩,皮皮虾,绵鳚,减速烙刀
刺刀	218	11	11	小冰镐,刺刀,水草,绵鳚,元素深水炸弹,雪怪蟹,水母,潜水配重,拍立蚌
加速烙刀	263	263	11	燃烧响炮,枪套,水母,潜水配重,绵鳚,加速烙刀,大钢弩,打火机
十手	283	32	11	大钢弩,十手,打火机,绵鳚,加速烙刀,篝火,燃烧响炮
双管霰弹枪	235	234	10	火药角,双管霰弹枪,水车,淬锋钢,加速烙刀,珊瑚
吸血章鱼	270	270	11	牌桌,淬锋钢,水车,吸血章鱼,潜水配重,六分仪
喷射摩托	269	249	11	飞鱼,打火机,绵鳚,加速烙刀,喷射摩托,燃烧响炮,枪套
填弹杆	244	244	11	流星索,填弹杆,步枪,水车,套娃,小冰镐
大钢弩	209	209	10	大钢弩,炮弹,潜水配重,水车,小冰镐,珊瑚护甲
套娃	280	231	11	燃烧响炮,大钢弩,套娃,燃烧子弹,打火机,篝火,加速烙刀
定制准镜	292	12	11	牌桌,定制准镜,吸血章鱼,淬锋钢,沙滩充气球,潜水配重,六分仪
宠物石	282	6	11	大钢弩,燃烧响炮,宠物石,打火机,篝火,绵鳚,加速烙刀
小冰镐	210	160	11	小冰镐,皮皮虾,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,珊瑚,拍立蚌
左轮手枪	290	1	11	加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,绵鳚,珊瑚,左轮手枪
带刃悬浮板	266	266	11	淬锋钢,带刃悬浮板,潜水配重,船长舱,鸦巢
幽渊鮟鱇	217	216	11	烈酒杯,炮弹,流星索,锁镰,皮皮虾,迷幻蝠鲼,幽渊鮟鱇,十手,拍立蚌
弯刀	247	43	10	珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,弯刀,淬锋钢
弹簧刀	255	64	9	牌桌,淬锋钢,水车,马龙鱼,弹簧刀,珊瑚
恶鬼面具	198	193	11	恶鬼面具,小冰镐,绵鳚,湿件战服,打火机,燃烧子弹,燃烧响炮,蔻森娜纹章
手斧	287	24	11	燃烧响炮,大钢弩,手斧,打火机,篝火,绵鳚,加速烙刀
手里剑	209	10	10	手里剑,小冰镐,拍立蚌,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚,水草
手雷	285	23	11	加速烙刀,篝火,绵鳚,打火机,手雷,燃烧响炮,大钢弩
打火机	259	225	10	加速烙刀,绵鳚,潜水配重,水母,大钢弩,枪套,打火机,燃烧响炮
抓钩	210	102	10	十手,皮皮虾,抓钩,藏刃匕首,锁镰,流星索,炮弹,烈酒杯,大钢弩
抛石机	278	278	11	抛石机,绵鳚,篝火,燃烧响炮,打火机,大钢弩
拍立蚌	231	198	10	十手,皮皮虾,迷幻蝠鲼,绵鳚,减速烙刀,烈酒杯,炮弹,流星索,拍立蚌
救生圈	226	200	10	小冰镐,救生圈,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,水草
旗舰	257	257	11	淬锋钢,旗舰,船长舱,潜水配重,六分仪
星图	244	138	11	篝火,加速烙刀,珊瑚,绵鳚,打火机,星图,燃烧响炮
星盘	242	133	11	烈酒杯,星盘,吸血章鱼,六分仪,潜水配重,沙滩充气球,淬锋钢
木桶	258	30	11	牌桌,马龙鱼,水车,木桶,淬锋钢
枪套	287	60	11	枪套,篝火,毒须鲶,燃烧子弹,燃烧响炮,绵鳚,打火机,大钢弩
标枪	253	252	10	枪套,燃烧响炮,珊瑚,标枪,小冰镐,绵鳚,加速烙刀,打火机
橘利安	287	1	11	绵鳚,燃烧响炮,燃烧子弹,打火机,篝火,加速烙刀,橘利安
步枪	248	248	11	流星索,填弹杆,步枪,水车,套娃,小冰镐
武士刀	237	237	11	小冰镐,弹簧刀,武士刀,水车,淬锋钢,码头缆索
毒须鲶	284	284	10	篝火,毒须鲶,燃烧子弹,打火机,绵鳚,燃烧响炮,大钢弩,枪套
水母	210	132	11	皮皮虾,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,拍立蚌,珍珠
水草	249	120	10	大钢弩,水草,潜水配重,绵鳚,加速烙刀,打火机,枪套,燃烧响炮
水车	280	280	11	六分仪,牌桌,潜水配重,吸血章鱼,水车,淬锋钢
沙滩充气球	240	233	11	六分仪,牌桌,沙滩充气球,潜水配重,吸血章鱼,枪套,淬锋钢
河豚	268	173	11	枪套,燃烧响炮,加速烙刀,绵鳚,潜水配重,水母,打火机,河豚
流星索	211	164	11	燃烧响炮,珊瑚,元素深水炸弹,绵鳚,风暴瓶,雪怪蟹,流星索,小冰镐
海底热泉	264	231	11	打火机,加速烙刀,绵鳚,海底热泉,燃烧子弹,燃烧响炮,篝火
海影宝驹	271	258	11	打火机,绵鳚,加速烙刀,燃烧子弹,燃烧响炮,篝火,海影宝驹
海狗沙龙	219	219	10	飞鱼,海狗沙龙,绵鳚,鳐鲨,迷幻蝠鲼,皮皮虾,盐钳海盗
海螺壳	190	104	9	海螺壳,拍立蚌,盐钳海盗,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
消音器	264	165	11	珊瑚,湿件战服,淬锋钢,藏刃匕首,消音器,小冰镐,弹簧刀,马龙鱼
淬锋钢	249	183	10	六分仪,牌桌,淬锋钢,水车,吸血章鱼,潜水配重
深海弯刀	228	133	9	小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,潜水配重,深海弯刀,珊瑚
深潜器	266	199	10	小冰镐,淬锋钢,带刃悬浮板,潜水配重,深潜器,船长舱
渔网	218	162	10	皮皮虾,十手,流星索,炮弹,烈酒杯,拍立蚌,牌桌,渔网
温馨海湾	250	142	11	温馨海湾,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
港口	223	223	11	燃烧响炮,港口,绵鳚,鱼雷,潜水配重,拍立蚌,手雷
湿件战服	227	187	11	湿件战服,淬锋钢,水车,马龙鱼,小冰镐,藏刃匕首
潜水配重	220	218	10	枪套,大钢弩,燃烧响炮,加速烙刀,绵鳚,潜水配重,水母,拍立蚌
潜艇	269	269	11	小冰镐,淬锋钢,绵鳚,元素深水炸弹,雪怪蟹,水母,潜艇
潜行滑翔机	264	236	11	淬锋钢,牌桌,潜行滑翔机,水车,吸血章鱼
火枪	276	193	11	珊瑚,绵鳚,打火机,燃烧子弹,火枪,篝火,加速烙刀
火炮	295	167	11	燃烧响炮,打火机,绵鳚,加速烙刀,篝火,珊瑚,火炮
火药角	268	268	11	火药角,烈酒杯,毒须鲶,枪套,加速烙刀,绵鳚,皮皮虾,大钢弩
炮弹	269	256	11	加速烙刀,小冰镐,烈酒杯,炮弹,潜水配重,皮皮虾,大钢弩,枪套
烈酒杯	253	253	11	皮皮虾,火药角,烈酒杯,绵鳚,加速烙刀,大钢弩,拍立蚌,枪套
烙刀	293	9	11	烙刀,加速烙刀,绵鳚,打火机,燃烧子弹,燃烧响炮,篝火
燃烧响炮	260	241	11	打火机,水母,潜水配重,绵鳚,加速烙刀,燃烧响炮,枪套,大钢弩
燃烧子弹	278	278	11	加速烙刀,绵鳚,篝火,打火机,燃烧子弹,拍立蚌,大钢弩
牌桌	279	265	11	六分仪,淬锋钢,牌桌,吸血章鱼,水车,潜水配重
独角鲸	203	67	10	小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,拍立蚌,独角鲸
狼筅	280	164	11	打火机,绵鳚,狼筅,篝火,燃烧响炮,燃烧子弹,大钢弩
珊瑚	211	113	9	拍立蚌,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,珊瑚,小冰镐
