anchor	rr	anchor_m	swiss	deck
三花	278	6	11	燃烧响炮,淬锋钢,燃烧子弹,打火机,篝火,绵鳚,加速烙刀,三花
伪装	291	-2	11	加速烙刀,绵鳚,篝火,打火机,燃烧子弹,燃烧响炮,伪装
元素深水炸弹	214	214	11	拍立蚌,海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,小冰镐
六分仪	230	230	11	六分仪,潜水配重,炮弹,烈酒杯,枪套,拍立蚌,大钢弩,吸血章鱼
减速烙刀	216	130	11	火药角,烈酒杯,减速烙刀,拍立蚌,枪套,皮皮虾,十手,大钢弩
刺刀	242	44	10	流星索,小冰镐,刺刀,船长舱,潜水配重,带刃悬浮板,淬锋钢
加速烙刀	226	195	10	加速烙刀,绵鳚,潜水配重,水母,拍立蚌,大钢弩,小冰镐,枪套
十手	246	99	10	十手,盐钳海盗,迷幻蝠鲼,皮皮虾,绵鳚,大钢弩,枪套,火药角,烈酒杯
双管霰弹枪	232	41	11	珊瑚,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,双管霰弹枪
吸血章鱼	190	78	11	小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,吸血章鱼,鱼饵,拍立蚌
喷射摩托	271	271	10	飞鱼,潜水配重,理查森先生,喷射摩托,淬锋钢,潜行滑翔机
填弹杆	222	222	11	流星索,填弹杆,步枪,水车,淬锋钢,小冰镐
大钢弩	246	246	11	大钢弩,打火机,篝火,标枪,绵鳚,燃烧响炮,枪套
套娃	267	174	11	小冰镐,湿件战服,淬锋钢,深潜器,潜水配重,带刃悬浮板,套娃
定制准镜	267	19	10	大钢弩,燃烧响炮,绵鳚,打火机,定制准镜,小冰镐,篝火,枪套
宠物石	280	6	11	宠物石,燃烧响炮,枪套,加速烙刀,绵鳚,潜水配重,大钢弩,打火机
小冰镐	231	92	10	大钢弩,燃烧响炮,拍立蚌,燃烧子弹,打火机,绵鳚,篝火,小冰镐
左轮手枪	282	29	11	珊瑚,篝火,绵鳚,打火机,燃烧子弹,左轮手枪,大钢弩,燃烧响炮
带刃悬浮板	260	260	11	淬锋钢,带刃悬浮板,潜水配重,鸦巢,船长舱
幽渊鮟鱇	222	159	11	十手,枪套,火药角,烈酒杯,皮皮虾,迷幻蝠鲼,幽渊鮟鱇,大钢弩
弯刀	278	278	11	海影宝驹,迷幻蝠鲼,理查森先生,淬锋钢,水车,弯刀
弹簧刀	227	218	9	小冰镐,弹簧刀,马龙鱼,水车,淬锋钢,牌桌
恶鬼面具	206	203	10	蔻森娜纹章,靴里剑,绵鳚,打火机,燃烧子弹,燃烧响炮,篝火,恶鬼面具
手斧	280	13	11	燃烧响炮,绵鳚,手斧,打火机,篝火,加速烙刀,大钢弩
手里剑	277	12	11	打火机,潜水配重,绵鳚,加速烙刀,燃烧响炮,大钢弩,枪套,手里剑
手雷	294	0	11	大钢弩,珊瑚,绵鳚,燃烧响炮,手雷,燃烧子弹,打火机,篝火
打火机	284	277	11	大钢弩,篝火,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀
抓钩	220	51	10	拍立蚌,皮皮虾,大钢弩,绵鳚,抓钩,十手,枪套,火药角,烈酒杯
抛石机	284	280	10	燃烧响炮,水母,潜水配重,绵鳚,大钢弩,抛石机,枪套
拍立蚌	208	116	11	拍立蚌,十手,流星索,炮弹,烈酒杯,绵鳚,大钢弩,枪套,皮皮虾
救生圈	287	206	11	加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,绵鳚,救生圈
旗舰	241	241	11	船长舱,淬锋钢,旗舰,潜水配重,六分仪
星图	248	119	10	枪套,吸血章鱼,星图,沙滩充气球,六分仪,淬锋钢,潜水配重
星盘	234	214	11	加速烙刀,绵鳚,潜水配重,燃烧响炮,烈酒杯,大钢弩,星盘
木桶	290	23	11	深潜器,马龙鱼,木桶,淬锋钢,小冰镐,湿件战服
枪套	243	243	10	大钢弩,流星索,加速烙刀,绵鳚,潜水配重,打火机,枪套,燃烧响炮
标枪	246	241	11	烈酒杯,大钢弩,枪套,藏刃匕首,绵鳚,加速烙刀,标枪
橘利安	295	2	11	橘利安,燃烧响炮,燃烧子弹,打火机,篝火,绵鳚,加速烙刀
步枪	222	222	11	小冰镐,套娃,水车,流星索,填弹杆,步枪
武士刀	220	192	9	淬锋钢,湿件战服,深潜器,潜水配重,带刃悬浮板,武士刀
毒须鲶	255	102	10	篝火,毒须鲶,潜水配重,枪套,燃烧响炮,绵鳚,打火机,大钢弩
