anchor	rr	anchor_m	swiss	deck
三花	233	135	9	舱底蠕虫,三花,鲨齿爪,手斧,飞鱼,淬锋钢,弹簧刀,马龙鱼
刺刀	263	256	10	舱底蠕虫,靴里剑,手斧,鲨齿爪,弹簧刀,武士刀,刺刀,淬锋钢
双管霰弹枪	233	233	8	鲨齿爪,手斧,火药角,双管霰弹枪,弹簧刀,左轮手枪,葡萄弹,靴里剑
填弹杆	206	206	9	鲨齿爪,葡萄弹,靴里剑,手斧,步枪,填弹杆,手雷
宠物石	249	154	8	鲨齿爪,绵鳚,葡萄弹,狼筅,燃烧响炮,手斧,宠物石,靴里剑
左轮手枪	241	193	9	珊瑚,马龙鱼,弹簧刀,飞鱼,手斧,鲨齿爪,左轮手枪,淬锋钢
弯刀	269	258	9	珊瑚,马龙鱼,淬锋钢,飞鱼,鲨齿爪,手斧,弯刀
弹簧刀	225	210	8	舱底蠕虫,珊瑚,手斧,鲨齿爪,飞鱼,弹簧刀,马龙鱼,淬锋钢
手斧	248	239	8	舱底蠕虫,手斧,鲨齿爪,迷你弯刀,弹簧刀,武士刀,刺刀,淬锋钢
手里剑	238	89	9	舱底蠕虫,手斧,飞鱼,淬锋钢,手里剑,鲨齿爪,弹簧刀,马龙鱼
手雷	227	227	8	手斧,火药角,手雷,绵鳚,狼筅,鲨齿爪,靴里剑,葡萄弹
打火机	262	50	10	鱼饵,珊瑚,珍珠,水母,雪怪蟹,毒须鲶,绵鳚,水草,海螺壳,打火机
抓钩	257	54	8	舱底蠕虫,手斧,淬锋钢,飞鱼,抓钩,鲨齿爪,绵鳚,马龙鱼
救生圈	260	243	9	救生圈,舱底蠕虫,鲨齿爪,淬锋钢,飞鱼,弹簧刀,马龙鱼
星图	256	70	10	藏刃匕首,手斧,弹簧刀,马龙鱼,星图,沙滩充气球,淬锋钢
木桶	263	153	10	珊瑚,淬锋钢,木桶,马龙鱼,弹簧刀,鲨齿爪,舱底蠕虫
步枪	195	195	8	珊瑚护甲,葡萄弹,手雷,填弹杆,步枪,珊瑚,淬锋钢
武士刀	258	258	9	手斧,靴里剑,鲨齿爪,左轮手枪,弹簧刀,武士刀,刺刀,葡萄弹
毒须鲶	219	196	8	海螺壳,珊瑚,鱼饵,淬锋钢,飞鱼,水母,雪怪蟹,毒须鲶,绵鳚,水草
水母	257	17	9	舱底蠕虫,淬锋钢,飞鱼,鲨齿爪,水母,弹簧刀,马龙鱼,水草
水草	246	121	10	舱底蠕虫,手斧,淬锋钢,飞鱼,鲨齿爪,绵鳚,马龙鱼,水草
沙滩充气球	232	197	9	手斧,鲨齿爪,弹簧刀,马龙鱼,淬锋钢,毒须鲶,沙滩充气球
流星索	212	94	8	珊瑚,火药角,手雷,绵鳚,步枪,填弹杆,流星索,淬锋钢
海底热泉	293	293	10	燃烧响炮,打火机,皮皮虾,迷幻蝠鲼,鹦鹉皮特,绵鳚,海底热泉,珊瑚,水草
海螺壳	280	122	10	水草,飞鱼,手斧,淬锋钢,鲨齿爪,绵鳚,马龙鱼,海螺壳
淬锋钢	258	239	10	珊瑚,马龙鱼,弹簧刀,飞鱼,鲨齿爪,淬锋钢,手斧,舱底蠕虫
渔网	270	34	9	渔网,马龙鱼,弹簧刀,飞鱼,淬锋钢,鲨齿爪,舱底蠕虫
温馨海湾	288	55	10	水草,淬锋钢,马龙鱼,弹簧刀,飞鱼,温馨海湾,珊瑚
湿件战服	268	163	9	鲨齿爪,湿件战服,手斧,淬锋钢,飞鱼,弹簧刀,马龙鱼
火炮	271	271	8	火药角,火炮,绵鳚,珊瑚护甲,打火机,珊瑚,燃烧响炮,淬锋钢
火药角	231	152	9	火药角,手雷,绵鳚,步枪,填弹杆,流星索,淬锋钢,珊瑚
燃烧响炮	288	151	10	打火机,皮皮虾,鹦鹉皮特,迷幻蝠鲼,绵鳚,海底热泉,燃烧响炮,水草,珊瑚
独角鲸	266	213	9	舱底蠕虫,手斧,鲨齿爪,独角鲸,弹簧刀,武士刀,刺刀,淬锋钢
狼筅	253	253	8	狼筅,绵鳚,鲨齿爪,弹簧刀,武士刀,刺刀,手斧
珊瑚	268	185	9	水草,淬锋钢,飞鱼,手斧,鲨齿爪,绵鳚,马龙鱼,珊瑚
珊瑚护甲	288	76	10	淬锋钢,飞鱼,水草,鲨齿爪,绵鳚,马龙鱼,珊瑚护甲
珍珠	259	63	9	水草,珍珠,马龙鱼,鲨齿爪,手斧,飞鱼,淬锋钢,舱底蠕虫
