order,node_index,signature
0,2,"火药角,火炮,绵鳚,珊瑚护甲,打火机,珊瑚,燃烧响炮,淬锋钢"
1,15,"鲨齿爪,手斧,火药角,双管霰弹枪,弹簧刀,葡萄弹,舱底蠕虫,靴里剑"
2,19,"海螺壳,珊瑚,鱼饵,淬锋钢,飞鱼,水母,雪怪蟹,毒须鲶,绵鳚,水草"
3,24,"鲨齿爪,手斧,流星索,葡萄弹,左轮手枪,弹簧刀,弯刀,淬锋钢"
4,25,"手斧,鲨齿爪,飞鱼,弹簧刀,马龙鱼,绵鳚,湿件战服"
5,28,"手斧,火药角,手雷,绵鳚,狼筅,鲨齿爪,靴里剑,葡萄弹"
6,31,"珊瑚护甲,珊瑚,火药角,手雷,绵鳚,狼筅,葡萄弹,淬锋钢"
7,34,"手斧,鲨齿爪,弹簧刀,马龙鱼,淬锋钢,毒须鲶,沙滩充气球"
8,40,"狼筅,海底热泉,绵鳚,毒须鲶,燃烧响炮,珊瑚,打火机,水草"
9,45,"珊瑚护甲,葡萄弹,手雷,填弹杆,步枪,珊瑚,淬锋钢"
10,54,"珊瑚,火药角,手雷,绵鳚,步枪,填弹杆,流星索,淬锋钢"
11,57,"火药角,火炮,绵鳚,海底热泉,水草,打火机,珊瑚,燃烧响炮"
12,62,"狼筅,绵鳚,鲨齿爪,弹簧刀,武士刀,刺刀,手斧"
13,66,"鲨齿爪,靴里剑,左轮手枪,弹簧刀,独角鲸,流星索,迷你弯刀,手斧,葡萄弹"
14,7,"舱底蠕虫,手斧,珊瑚,鲨齿爪,弹簧刀,武士刀,刺刀,淬锋钢"
15,74,"流星索,手斧,鲨齿爪,左轮手枪,弹簧刀,武士刀,刺刀,葡萄弹"
16,58,"海螺壳,打火机,海底热泉,绵鳚,迷幻蝠鲼,鹦鹉皮特,皮皮虾,水草,燃烧响炮"
17,71,"珊瑚,马龙鱼,绵鳚,鲨齿爪,手斧,飞鱼,淬锋钢,燃烧响炮"
18,4,"鲨齿爪,葡萄弹,手斧,舱底蠕虫,步枪,填弹杆,手雷"
