peel_index,phase,node_index,signature
0,sink,3,"淬锋钢,套娃,水车,弯刀,珊瑚,码头缆索"
1,sink,8,"枪套,救生圈,燃烧响炮,打火机,珊瑚,潜水配重,绵鳚,加速烙刀"
2,sink,10,"淬锋钢,水车,弯刀,理查森先生,珊瑚,码头缆索"
3,sink,14,"飞镖发射器,枪套,大钢弩,雪怪蟹,风暴瓶,绵鳚,小冰镐,燃烧响炮"
4,sink,17,"燃烧响炮,加速烙刀,绵鳚,大钢弩,小冰镐,标枪,烈酒杯"
5,sink,21,"燃烧响炮,淬锋钢,套娃,燃烧子弹,打火机,篝火,吸血章鱼,大钢弩"
6,sink,18,"燃烧响炮,淬锋钢,燃烧子弹,打火机,篝火,吸血章鱼,枪套,大钢弩"
7,sink,28,"珊瑚,潜水配重,飞鱼,喷射摩托,淬锋钢,潜行滑翔机"
8,sink,25,"小冰镐,喷射摩托,潜行滑翔机,水草,潜水配重,飞鱼"
9,sink,30,"小冰镐,水车,步枪,填弹杆,手雷,葡萄弹"
10,sink,31,"小冰镐,水车,步枪,填弹杆,手雷,流星索"
11,sink,1,"流星索,填弹杆,步枪,水车,套娃,珊瑚"
12,sink,35,"皮皮虾,潜水配重,炮弹,烈酒杯,救生圈,大钢弩,枪套,理查森先生"
13,sink,37,"理查森先生,旗舰,鸦巢,潜水配重,珊瑚,淬锋钢"
14,sink,38,"皮皮虾,潜水配重,拍立蚌,炮弹,烈酒杯,大钢弩,锁镰,流星索,枪套"
15,sink,43,"燃烧响炮,潜水配重,绵鳚,大钢弩,抛石机,枪套,藏刃匕首"
16,sink,46,"十手,救生圈,幽渊鮟鱇,迷幻蝠鲼,皮皮虾,拍立蚌,炮弹,烈酒杯"
17,sink,45,"火药角,烈酒杯,救生圈,十手,拍立蚌,幽渊鮟鱇,迷幻蝠鲼,皮皮虾"
18,sink,47,"燃烧响炮,潜水配重,绵鳚,加速烙刀,大钢弩,星盘,打火机"
19,sink,51,"恶鬼面具,打火机,左轮手枪,湿件战服,绵鳚,小冰镐,淬锋钢,燃烧响炮"
20,sink,56,"大钢弩,燃烧响炮,打火机,标枪,篝火,加速烙刀"
21,sink,62,"加速烙刀,绵鳚,篝火,打火机,救生圈,燃烧响炮,烈酒杯"
22,sink,60,"加速烙刀,绵鳚,篝火,打火机,救生圈,燃烧响炮,枪套"
23,sink,66,"大钢弩,燃烧响炮,绵鳚,潜水配重,加速烙刀,烈酒杯,星盘"
24,sink,70,"打火机,烈酒杯,加速烙刀,绵鳚,大钢弩,燃烧响炮,标枪"
25,sink,72,"船首像,舱底蠕虫,手斧,流星索,弹簧刀,武士刀,刺刀,淬锋钢"
26,sink,75,"篝火,狼筅,加速烙刀,绵鳚,打火机,燃烧子弹,燃烧响炮"
27,sink,77,"小冰镐,水车,淬锋钢,带刃悬浮板,潜水配重,深潜器"
28,sink,79,"加速烙刀,小冰镐,套娃,水车,拍立蚌,潜水配重,水草"
29,sink,80,"海底热泉,绵鳚,大钢弩,打火机,燃烧响炮,篝火,小冰镐"
30,sink,52,"海底热泉,绵鳚,打火机,理查森先生,篝火,燃烧响炮,大钢弩"
31,sink,83,"潜水配重,六分仪,淬锋钢,船舵,吸血章鱼,枪套,海影宝驹"
