final_rank,signature,total_points,matchup_wins,matchup_draws,matchup_losses
1,"大钢弩,篝火,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀",5291,55,0,1
2,"加速烙刀,绵鳚,潜水配重,水母,拍立蚌,大钢弩,枪套,流星索",5036,54,0,2
3,"枪套,流星索,大钢弩,火药角,烈酒杯,拍立蚌,潜水配重,皮皮虾,十手",5018,54,0,2
4,"燃烧响炮,枪套,抛石机,大钢弩,绵鳚,潜水配重,飞鱼",4791,49,0,7
5,"六分仪,潜水配重,炮弹,烈酒杯,枪套,拍立蚌,大钢弩,吸血章鱼",4668,53,0,3
6,"淬锋钢,带刃悬浮板,潜水配重,拍立蚌,水车,深潜器",4527,48,0,8
7,"小冰镐,湿件战服,淬锋钢,深潜器,潜水配重,带刃悬浮板,套娃",4234,45,0,11
8,"淬锋钢,带刃悬浮板,潜水配重,鸦巢,船长舱",4060,43,0,13
9,"烈酒杯,流星索,大钢弩,藏刃匕首,绵鳚,加速烙刀,标枪",3903,46,0,10
10,"淬锋钢,水车,吸血章鱼,潜水配重,六分仪,牌桌",3893,45,0,11
11,"流星索,小冰镐,火药角,鱼雷,潜水配重,水车,拍立蚌",3825,43,0,13
12,"火药角,烈酒杯,拍立蚌,流星索,抓钩,牌桌,十手,锁镰,皮皮虾",3803,42,2,12
13,"十手,枪套,火药角,烈酒杯,皮皮虾,迷幻蝠鲼,幽渊鮟鱇,大钢弩",3774,45,1,10
14,"拍立蚌,烈酒杯,炮弹,流星索,锁镰,皮皮虾,迷幻蝠鲼,幽渊鮟鱇,十手",3742,37,0,19
15,"珊瑚,小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,潜水配重,救生圈",3602,39,0,17
16,"火药角,烈酒杯,枪套,流星索,抓钩,大钢弩,牌桌,皮皮虾",3588,40,0,16
17,"拍立蚌,海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,小冰镐",3582,38,1,17
18,"皮皮虾,流星索,珊瑚,拍立蚌,火药角,烈酒杯,减速烙刀,锁镰,十手",3431,37,0,19
19,"拍立蚌,十手,火药角,烈酒杯,鱼雷,皮皮虾,迷幻蝠鲼,幽渊鮟鱇",3427,39,2,15
20,"加速烙刀,藏刃匕首,燃烧响炮,水车,套娃,枪套,小冰镐",3412,35,0,21
21,"小冰镐,流星索,船长舱,潜水配重,带刃悬浮板,深潜器",3294,35,0,21
22,"加速烙刀,绵鳚,潜水配重,燃烧响炮,烈酒杯,大钢弩,星盘",3283,38,0,18
23,"小冰镐,船舵,绵鳚,藏刃匕首,大钢弩,抛石机",3216,34,2,20
24,"大钢弩,枪套,马龙鱼,水母,飞鱼,潜水配重,鳐鲨",3156,32,2,22
25,"加速烙刀,小冰镐,船舵,水车,打火机,珊瑚",3111,33,0,23
26,"大钢弩,烈酒杯,加速烙刀,绵鳚,潜水配重,水母,河豚",2903,28,2,26
27,"燃烧响炮,小冰镐,潜水配重,绵鳚,加速烙刀,枪套,打火机,海影宝驹",2890,28,1,27
28,"手斧,小冰镐,流星索,沙滩充气球,潜水配重,带刃悬浮板,深潜器",2804,28,0,28
29,"淬锋钢,套娃,水车,连发步枪,填弹杆,燃烧响炮",2749,24,0,32
30,"枪套,蔻森娜纹章,靴里剑,绵鳚,打火机,燃烧子弹,套娃,燃烧响炮,恶鬼面具",2726,24,2,30
31,"十手,船长舱,流星索,烈酒杯,皮皮虾,手雷,锁镰,小冰镐",2686,25,1,30
32,"流星索,鱼雷,船舵,潜水配重,拍立蚌,港口",2580,24,2,30
33,"燃烧响炮,篝火,珊瑚,加速烙刀,绵鳚,打火机,火炮",2546,27,0,29
34,"珊瑚护甲,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,水草",2539,20,0,36
35,"水草,绵鳚,元素深水炸弹,雪怪蟹,毒须鲶,潜水配重,船首像,小冰镐",2531,23,0,33
36,"燃烧响炮,拍立蚌,小冰镐,珊瑚,元素深水炸弹,绵鳚,风暴瓶,雪怪蟹",2437,22,0,34
37,"燃烧响炮,狼筅,绵鳚,珊瑚,大钢弩,打火机,篝火",2397,23,1,32
38,"抛石机,燃烧响炮,藏刃匕首,船舵,绵鳚,加速烙刀",2308,23,0,33
39,"理查森先生,藏刃匕首,拍立蚌,水车,船舵,加速烙刀",2231,21,1,34
40,"淬锋钢,船首像,潜水配重,带刃悬浮板,武士刀,刺刀,手斧",1998,14,1,41
41,"珊瑚,小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,珍珠,鳐鲨",1911,14,0,42
42,"流星索,填弹杆,步枪,水车,淬锋钢,小冰镐",1890,14,0,42
