combo_key,representative_signature,cluster_size
"六分仪,旗舰,淬锋钢,潜水配重,船长舱","船长舱,淬锋钢,旗舰,潜水配重,六分仪",1
"元素深水炸弹,小冰镐,拍立蚌,水母,海螺壳,皮皮虾,绵鳚,迷幻蝠鲼,雪怪蟹","拍立蚌,海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,小冰镐",1
"填弹杆,小冰镐,步枪,水车,流星索,淬锋钢","流星索,填弹杆,步枪,水车,淬锋钢,小冰镐",2
"元素深水炸弹,小冰镐,水母,水草,皮皮虾,绵鳚,迷幻蝠鲼,雪怪蟹,鱼饵","水草,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,小冰镐,鱼饵",1
"大钢弩,打火机,标枪,燃烧响炮,燃烧子弹,篝火,绵鳚","燃烧子弹,燃烧响炮,篝火,绵鳚,标枪,打火机,大钢弩",2
"加速烙刀,大钢弩,枪套,流星索,潜水配重,燃烧响炮,绵鳚,藏刃匕首","大钢弩,藏刃匕首,燃烧响炮,潜水配重,绵鳚,加速烙刀,枪套,流星索",1
"六分仪,吸血章鱼,大钢弩,拍立蚌,枪套,潜水配重,炮弹,烈酒杯","六分仪,潜水配重,炮弹,烈酒杯,枪套,拍立蚌,大钢弩,吸血章鱼",1
"加速烙刀,大钢弩,打火机,星盘,燃烧响炮,篝火","燃烧响炮,篝火,加速烙刀,大钢弩,星盘,打火机",1
"元素深水炸弹,小冰镐,拍立蚌,水母,理查森先生,皮皮虾,绵鳚,迷幻蝠鲼,雪怪蟹","拍立蚌,皮皮虾,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,理查森先生,小冰镐",1
"减速烙刀,十手,拍立蚌,流星索,火药角,烈酒杯,珊瑚,皮皮虾,锁镰","皮皮虾,流星索,珊瑚,拍立蚌,火药角,烈酒杯,减速烙刀,锁镰,十手",1
"减速烙刀,十手,大钢弩,拍立蚌,枪套,火药角,烈酒杯,皮皮虾","火药角,烈酒杯,减速烙刀,拍立蚌,枪套,皮皮虾,十手,大钢弩",1
"六分仪,吸血章鱼,大钢弩,枪套,潜水配重,炮弹,烈酒杯,迷幻蝠鲼","六分仪,潜水配重,炮弹,烈酒杯,枪套,大钢弩,吸血章鱼,迷幻蝠鲼",1
"六分仪,吸血章鱼,大钢弩,枪套,潜水配重,炮弹,烈酒杯,雪怪蟹","六分仪,潜水配重,炮弹,烈酒杯,枪套,大钢弩,吸血章鱼,雪怪蟹",1
"减速烙刀,大钢弩,拍立蚌,流星索,火药角,烈酒杯,皮皮虾,绵鳚","火药角,烈酒杯,流星索,减速烙刀,绵鳚,拍立蚌,皮皮虾,大钢弩",1
"十手,大钢弩,幽渊鮟鱇,枪套,火药角,烈酒杯,皮皮虾,迷幻蝠鲼","十手,枪套,火药角,烈酒杯,皮皮虾,迷幻蝠鲼,幽渊鮟鱇,大钢弩",1
"十手,幽渊鮟鱇,拍立蚌,火药角,烈酒杯,皮皮虾,迷幻蝠鲼,鱼雷","拍立蚌,十手,火药角,烈酒杯,鱼雷,皮皮虾,迷幻蝠鲼,幽渊鮟鱇",1
"加速烙刀,大钢弩,小冰镐,拍立蚌,枪套,水母,潜水配重,绵鳚","加速烙刀,绵鳚,潜水配重,水母,拍立蚌,大钢弩,小冰镐,枪套",2
"加速烙刀,大钢弩,拍立蚌,枪套,水母,流星索,潜水配重,绵鳚","加速烙刀,绵鳚,潜水配重,水母,拍立蚌,大钢弩,枪套,流星索",2
"加速烙刀,大钢弩,枪套,标枪,烈酒杯,绵鳚,藏刃匕首","烈酒杯,大钢弩,枪套,藏刃匕首,绵鳚,加速烙刀,标枪",1
