rank,item,generality
1,绵鳚,0.62186500268349287
2,燃烧响炮,0.42181111898626927
3,大钢弩,0.39921213468756067
4,小冰镐,0.38704102029507848
5,打火机,0.34823569676934907
6,潜水配重,0.32067423691832614
7,枪套,0.31999705979636883
8,加速烙刀,0.31874688347383134
9,篝火,0.24695986241118498
10,拍立蚌,0.23542597669421
11,烈酒杯,0.19952297627272633
12,淬锋钢,0.18438791163657953
13,燃烧子弹,0.17391771561776215
14,水母,0.16611639626394939
15,雪怪蟹,0.16177309511767382
16,皮皮虾,0.15747414607779062
17,元素深水炸弹,0.14836787222666509
18,流星索,0.13947855383605567
19,珊瑚,0.1386243859969668
20,十手,0.11956360454013042
21,迷幻蝠鲼,0.097011987678635891
22,火药角,0.089286703828840117
23,水车,0.08221869938224674
24,藏刃匕首,0.074533296183235981
25,飞鱼,0.05384859420328407
26,海螺壳,0.053837894888939843
27,吸血章鱼,0.053218627026896316
28,毒须鲶,0.051361417639973428
29,理查森先生,0.051329706529181854
30,手斧,0.048227743834044615
31,六分仪,0.046548258683396022
32,套娃,0.044058159627325601
33,带刃悬浮板,0.039152417242999081
34,湿件战服,0.03903302377699603
35,炮弹,0.038863440341134592
36,盐钳海盗,0.035627801561535041
37,深潜器,0.035327428777073074
38,珍珠,0.034808306926709651
39,水草,0.034363050344030859
40,手雷,0.025776941881210845
41,船长舱,0.025544640228281255
42,蔻森娜纹章,0.024506356214636881
43,鱼饵,0.02430903074650561
44,牌桌,0.024124503723725609
45,马龙鱼,0.022829647984069217
46,沙滩充气球,0.022497142096672126
47,填弹杆,0.020342047166315661
48,靴里剑,0.018858807770013947
49,标枪,0.017507588884470123
50,葡萄弹,0.014887858337173517
51,锁镰,0.013848395162835949
52,鱼雷,0.013730959800706967
53,船舵,0.012266444073587599
54,抛石机,0.01226233863916212
55,步枪,0.011570117341754256
56,码头缆索,0.011381092344191162
57,潜行滑翔机,0.010668290522096308
58,海影宝驹,0.010178527912880646
59,鸦巢,0.0097418603172520716
60,抓钩,0.0091611088452245547
61,龙涎香,0.0089857921248738624
62,弹簧刀,0.0085523236195210964
63,独角鲸,0.0085095406271983118
64,舱底蠕虫,0.0081645279844352863
65,鳐鲨,0.0077299205160971766
66,手里剑,0.0072485523152406332
67,喷射摩托,0.0072058929952821728
68,武士刀,0.0063337517848736672
69,消音器,0.0061818494228772503
70,飞镖发射器,0.0052650350271467557
71,鹦鹉皮特,0.004525998974349933
72,火炮,0.0042395310043561686
73,集成式HUD,0.0041877896417730522
74,救生圈,0.0039241250626792417
75,船首像,0.0029650774552618165
76,刺刀,0.0025325123090804143
77,左轮手枪,0.0024997435628703255
78,定制准镜,0.001861200187707795
79,食人鱼,0.0018285926826942499
80,珊瑚护甲,0.00181121797233946
81,星盘,0.0014746051527909404
82,风暴瓶,0.00081272601322924468
83,迷你弯刀,0.0007362910667469705
84,三花,0.00071123411148874178
85,恶鬼面具,0.0006289739327118032
86,河豚,0.00055969512085139489
87,减速烙刀,0.00047663630851038408
88,蝶剑,0.00045288329651213348
89,狼筅,0.00040636300661462234
90,幽渊鮟鱇,0.00033863583884551865
91,火枪,0.00032509040529169793
92,星图,0.00015238612748048338
93,鲨齿爪,0.00013545433553820746
94,宠物石,0.00012832515998356496
94,通缉海报,0.00012832515998356496
96,伪装,0
96,双管霰弹枪,0
96,弯刀,0
96,旗舰,0
96,木桶,0
96,橘利安,0
96,海底热泉,0
96,海狗沙龙,0
96,深海弯刀,0
96,渔网,0
96,温馨海湾,0
96,港口,0
96,潜艇,0
96,赛博铁尺,0
96,连发步枪,0
96,钓鱼竿,0
96,铲子,0
96,锁匣,0
96,鱼叉,0
