from_sig,to_sig,weight,games
"拍立蚌,海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,小冰镐","水草,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,小冰镐,鱼饵",0.41999999999999993,100
"拍立蚌,海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,小冰镐","拍立蚌,皮皮虾,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,理查森先生,小冰镐",0.12000000000000011,100
"拍立蚌,海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,小冰镐","珊瑚护甲,拍立蚌,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,海螺壳",0.56000000000000005,100
"拍立蚌,海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,小冰镐","拍立蚌,皮皮虾,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,水草",0.040000000000000036,1000
"拍立蚌,海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,小冰镐","拍立蚌,海螺壳,潜水配重,皮皮虾,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐",0.14799999999999991,1000
"流星索,填弹杆,步枪,水车,淬锋钢,小冰镐","流星索,填弹杆,步枪,套娃,水车,淬锋钢",0.040000000000000036,1000
"流星索,填弹杆,步枪,水车,淬锋钢,小冰镐","流星索,填弹杆,步枪,套娃,水车,小冰镐",0.046000000000000041,1000
"流星索,填弹杆,步枪,水车,淬锋钢,小冰镐","流星索,填弹杆,步枪,水车,小冰镐,藏刃匕首",0.17999999999999994,100
"拍立蚌,皮皮虾,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,理查森先生,小冰镐","水草,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,小冰镐,鱼饵",0.16000000000000014,100
"拍立蚌,皮皮虾,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,水草","水草,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,小冰镐,鱼饵",0.254,1000
"大钢弩,篝火,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀","燃烧子弹,燃烧响炮,篝火,绵鳚,标枪,打火机,大钢弩",0.62000000000000011,100
"燃烧子弹,燃烧响炮,篝火,绵鳚,标枪,打火机,大钢弩","篝火,毒须鲶,燃烧子弹,燃烧响炮,绵鳚,打火机,大钢弩,枪套",1,100
"燃烧子弹,燃烧响炮,篝火,绵鳚,标枪,打火机,大钢弩","大钢弩,打火机,篝火,标枪,绵鳚,燃烧响炮,枪套",0.34000000000000008,100
"燃烧子弹,燃烧响炮,篝火,绵鳚,标枪,打火机,大钢弩","葡萄弹,大钢弩,打火机,标枪,篝火,绵鳚,燃烧响炮",0.82000000000000006,100
"燃烧子弹,燃烧响炮,篝火,绵鳚,标枪,打火机,大钢弩","大钢弩,小冰镐,绵鳚,篝火,打火机,燃烧子弹,拍立蚌,燃烧响炮",0.15999999999999992,100
"燃烧子弹,燃烧响炮,篝火,绵鳚,标枪,打火机,大钢弩","篝火,毒须鲶,燃烧子弹,燃烧响炮,绵鳚,打火机,大钢弩,拍立蚌",0.84000000000000008,100
"燃烧响炮,篝火,标枪,打火机,燃烧子弹,拍立蚌,大钢弩","燃烧子弹,燃烧响炮,篝火,绵鳚,标枪,打火机,大钢弩",0.43999999999999995,100
"燃烧子弹,燃烧响炮,篝火,绵鳚,标枪,打火机,大钢弩","篝火,打火机,燃烧子弹,葡萄弹,大钢弩,靴里剑,绵鳚,燃烧响炮",1,100
"理查森先生,绵鳚,篝火,打火机,燃烧子弹,拍立蚌,燃烧响炮,大钢弩","燃烧子弹,燃烧响炮,篝火,绵鳚,标枪,打火机,大钢弩",0.65999999999999992,100
"理查森先生,绵鳚,篝火,打火机,燃烧子弹,套娃,燃烧响炮,大钢弩","燃烧子弹,燃烧响炮,篝火,绵鳚,标枪,打火机,大钢弩",1,100
"燃烧子弹,燃烧响炮,篝火,绵鳚,标枪,打火机,大钢弩","篝火,打火机,燃烧子弹,套娃,大钢弩,靴里剑,绵鳚,燃烧响炮",1,100
"燃烧子弹,燃烧响炮,篝火,绵鳚,标枪,打火机,大钢弩","篝火,打火机,燃烧子弹,流星索,大钢弩,靴里剑,绵鳚,燃烧响炮",0.76000000000000001,100
"加速烙刀,绵鳚,潜水配重,水母,拍立蚌,大钢弩,枪套,流星索","大钢弩,藏刃匕首,燃烧响炮,潜水配重,绵鳚,加速烙刀,枪套,流星索",0.31999999999999984,100
"加速烙刀,绵鳚,潜水配重,拍立蚌,藏刃匕首,烈酒杯,大钢弩,枪套","大钢弩,藏刃匕首,燃烧响炮,潜水配重,绵鳚,加速烙刀,枪套,流星索",0.13600000000000012,1000
"大钢弩,藏刃匕首,燃烧响炮,潜水配重,绵鳚,加速烙刀,枪套,流星索","大钢弩,流星索,加速烙刀,绵鳚,潜水配重,打火机,枪套,燃烧响炮",0.1399999999999999,100
"大钢弩,藏刃匕首,燃烧响炮,潜水配重,绵鳚,加速烙刀,枪套,流星索","加速烙刀,绵鳚,潜水配重,珍珠,打火机,大钢弩,枪套,燃烧响炮",0.23999999999999999,100
"大钢弩,藏刃匕首,燃烧响炮,潜水配重,绵鳚,加速烙刀,枪套,流星索","燃烧响炮,加速烙刀,绵鳚,潜水配重,珊瑚,大钢弩,枪套,打火机",0.10000000000000009,100
"大钢弩,藏刃匕首,燃烧响炮,潜水配重,绵鳚,加速烙刀,枪套,流星索","藏刃匕首,大钢弩,绵鳚,加速烙刀,烈酒杯,枪套,燃烧响炮,小冰镐",0.17999999999999994,1000
"大钢弩,藏刃匕首,燃烧响炮,潜水配重,绵鳚,加速烙刀,枪套,流星索","大钢弩,枪套,藏刃匕首,潜水配重,绵鳚,加速烙刀,燃烧响炮,小冰镐",0.17999999999999994,100
"大钢弩,藏刃匕首,燃烧响炮,潜水配重,绵鳚,加速烙刀,枪套,流星索","大钢弩,藏刃匕首,绵鳚,加速烙刀,烈酒杯,流星索,枪套,小冰镐",0.30000000000000004,100
"六分仪,潜水配重,炮弹,烈酒杯,枪套,拍立蚌,大钢弩,吸血章鱼","六分仪,潜水配重,炮弹,烈酒杯,枪套,大钢弩,吸血章鱼,迷幻蝠鲼",0.26000000000000001,100
"六分仪,潜水配重,炮弹,烈酒杯,枪套,拍立蚌,大钢弩,吸血章鱼","六分仪,潜水配重,炮弹,烈酒杯,枪套,大钢弩,吸血章鱼,雪怪蟹",0.30000000000000004,100
"六分仪,潜水配重,炮弹,烈酒杯,枪套,拍立蚌,大钢弩,吸血章鱼","大钢弩,沙滩充气球,潜水配重,六分仪,烈酒杯,吸血章鱼,枪套",0.34000000000000008,100
"大钢弩,篝火,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀","燃烧响炮,篝火,加速烙刀,大钢弩,星盘,打火机",1,100
