order,node_index,signature
0,0,"船长舱,淬锋钢,旗舰,潜水配重,六分仪"
1,1,"拍立蚌,海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,小冰镐"
2,2,"流星索,填弹杆,步枪,水车,淬锋钢,小冰镐"
3,6,"六分仪,潜水配重,炮弹,烈酒杯,枪套,拍立蚌,大钢弩,吸血章鱼"
4,9,"皮皮虾,流星索,珊瑚,拍立蚌,火药角,烈酒杯,减速烙刀,锁镰,十手"
5,14,"十手,枪套,火药角,烈酒杯,皮皮虾,迷幻蝠鲼,幽渊鮟鱇,大钢弩"
6,15,"拍立蚌,十手,火药角,烈酒杯,鱼雷,皮皮虾,迷幻蝠鲼,幽渊鮟鱇"
7,21,"飞鱼,潜水配重,理查森先生,喷射摩托,淬锋钢,潜行滑翔机"
8,22,"加速烙刀,绵鳚,潜水配重,燃烧响炮,烈酒杯,大钢弩,星盘"
9,32,"大钢弩,枪套,马龙鱼,水母,飞鱼,潜水配重,鳐鲨"
10,34,"燃烧响炮,枪套,抛石机,大钢弩,绵鳚,潜水配重,飞鱼"
11,36,"小冰镐,湿件战服,淬锋钢,深潜器,潜水配重,带刃悬浮板,套娃"
12,39,"淬锋钢,带刃悬浮板,潜水配重,鸦巢,船长舱"
13,40,"淬锋钢,带刃悬浮板,潜水配重,拍立蚌,水车,深潜器"
14,44,"拍立蚌,烈酒杯,炮弹,流星索,锁镰,皮皮虾,迷幻蝠鲼,幽渊鮟鱇,十手"
15,47,"枪套,蔻森娜纹章,靴里剑,绵鳚,打火机,燃烧子弹,套娃,燃烧响炮,恶鬼面具"
16,48,"海影宝驹,迷幻蝠鲼,理查森先生,淬锋钢,水车,弯刀"
17,50,"珊瑚,潜水配重,码头缆索,淬锋钢,水车,弯刀"
18,53,"淬锋钢,水车,武士刀,弹簧刀,小冰镐,理查森先生,迷幻蝠鲼"
19,61,"淬锋钢,旗舰,潜水配重,蔻森娜纹章,鸦巢,雪怪蟹"
20,65,"珊瑚,小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,潜水配重,救生圈"
21,70,"珊瑚护甲,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,水草"
22,74,"淬锋钢,船首像,潜水配重,带刃悬浮板,武士刀,刺刀,手斧"
23,79,"加速烙刀,藏刃匕首,燃烧响炮,水车,套娃,枪套,小冰镐"
24,80,"加速烙刀,小冰镐,船舵,水车,打火机,珊瑚"
25,87,"小冰镐,套娃,水车,淬锋钢,理查森先生,珊瑚,狼筅"
26,88,"大钢弩,烈酒杯,加速烙刀,绵鳚,潜水配重,水母,河豚"
