rank,anchor,specialty
1,填弹杆,1
1,鲨齿爪,1
3,马龙鱼,0.99912181012430934
4,海底热泉,0.99882475352304367
5,步枪,0.99612251627112947
6,燃烧响炮,0.9903601953382839
7,淬锋钢,0.98888820491896978
8,武士刀,0.98810465007030335
9,打火机,0.97998679761549523
10,双管霰弹枪,0.97092122935144887
11,火炮,0.95719823157964057
12,火药角,0.94286986972841014
13,手斧,0.91719193649835451
14,靴里剑,0.91360255600788565
15,皮皮虾,0.8819984424138233
16,迷你弯刀,0.8754226865615885
17,弹簧刀,0.86722525648606119
18,沙滩充气球,0.86544822714327629
19,弯刀,0.83390372658574929
20,迷幻蝠鲼,0.82825621076554257
21,绵鳚,0.82596928650353874
22,葡萄弹,0.82517925080198051
23,救生圈,0.77500536235628148
24,三花,0.76795438324230658
25,刺刀,0.75322516529908423
26,钓鱼竿,0.72479058128666995
27,左轮手枪,0.70370542407090686
28,鹦鹉皮特,0.69190025017934631
29,水母,0.62927999354703235
30,雪怪蟹,0.61129070817057185
31,独角鲸,0.59799160913766591
32,手雷,0.57073474619607423
33,狼筅,0.56300266022511725
34,宠物石,0.54786765688573591
35,毒须鲶,0.53544809731269549
36,流星索,0.50949132349187154
37,藏刃匕首,0.48186129883902939
38,飞鱼,0.47388133264547483
39,渔网,0.467104437053317
40,舱底蠕虫,0.43549946908559511
41,水草,0.38612598378348084
42,湿件战服,0.36932076360812954
43,珊瑚护甲,0.29838106005245069
44,抓钩,0.29601204811617349
45,珊瑚,0.27719650049313499
46,手里剑,0.27054256092976642
47,铲子,0.25858335028633173
48,鱼饵,0.2412688149772696
49,海螺壳,0.23147979668487256
50,星图,0.19956083745265576
51,珍珠,0.14242802579367067
52,木桶,0.084857265542648719
53,食人鱼,0.078310310353505108
54,温馨海湾,0.058414296728267638
55,龙涎香,0.011160807056324341
