peel_index,phase,node_index,signature
0,sink,2,"流星索,打火机,绵鳚,皮皮虾,迷幻蝠鲼,鹦鹉皮特"
1,sink,5,"宠物石,鲨齿爪,迷你弯刀,刺刀,手斧"
2,sink,7,"葡萄弹,淬锋钢,手斧,狼筅,左轮手枪"
3,sink,12,"手斧,流星索,弹簧刀,弯刀,淬锋钢"
4,sink,16,"淬锋钢,火药角,双管霰弹枪,弹簧刀,葡萄弹"
5,sink,4,"火药角,双管霰弹枪,弹簧刀,葡萄弹,手斧"
6,sink,23,"鲨齿爪,手斧,宠物石,淬锋钢,靴里剑"
7,sink,22,"宠物石,鲨齿爪,迷你弯刀,靴里剑,手斧"
8,sink,13,"靴里剑,三花,手斧,独角鲸,鲨齿爪"
9,sink,27,"手雷,填弹杆,步枪,靴里剑"
10,sink,29,"步枪,填弹杆,手雷,手斧"
11,sink,20,"淬锋钢,步枪,填弹杆,手雷"
12,sink,17,"葡萄弹,手雷,填弹杆,步枪"
13,sink,37,"舱底蠕虫,手斧,淬锋钢,绵鳚,马龙鱼"
14,sink,45,"雪怪蟹,毒须鲶,绵鳚,水草,救生圈"
15,sink,46,"救生圈,藏刃匕首,淬锋钢,马龙鱼"
16,sink,48,"舱底蠕虫,手斧,弹簧刀,武士刀,淬锋钢"
17,sink,34,"手斧,弹簧刀,武士刀,刺刀,淬锋钢"
18,sink,51,"珍珠,水母,雪怪蟹,毒须鲶,绵鳚,水草"
19,sink,53,"水草,沙滩充气球,绵鳚,毒须鲶,藏刃匕首"
20,sink,55,"手斧,弹簧刀,独角鲸,沙滩充气球,淬锋钢"
21,sink,58,"流星索,燃烧响炮,皮皮虾,绵鳚,迷幻蝠鲼,鹦鹉皮特"
22,sink,62,"救生圈,火药角,步枪,葡萄弹"
23,sink,64,"狼筅,靴里剑,火药角,手雷,葡萄弹"
24,sink,63,"狼筅,火药角,手雷,葡萄弹,手斧"
25,sink,54,"靴里剑,火药角,手雷,淬锋钢,手斧,葡萄弹"
26,sink,11,"靴里剑,葡萄弹,手斧,左轮手枪,刺刀,淬锋钢"
27,sink,68,"皮皮虾,迷幻蝠鲼,鹦鹉皮特,绵鳚,打火机,燃烧响炮"
28,sink,30,"打火机,绵鳚,迷幻蝠鲼,皮皮虾,流星索,燃烧响炮"
29,sink,57,"燃烧响炮,流星索,皮皮虾,鹦鹉皮特,绵鳚,打火机"
30,sink,69,"水草,珍珠,皮皮虾,迷幻蝠鲼,绵鳚,海螺壳"
31,sink,70,"钓鱼竿,马龙鱼,飞鱼,淬锋钢"
32,sink,71,"钓鱼竿,毒须鲶,绵鳚,水草,打火机"
33,sink,72,"钓鱼竿,毒须鲶,绵鳚,打火机,燃烧响炮"
34,sink,49,"毒须鲶,海底热泉,绵鳚,打火机,燃烧响炮"
35,sink,78,"燃烧响炮,火炮,鹦鹉皮特,绵鳚,打火机"
36,source_quality,1,"舱底蠕虫,手斧,淬锋钢,火药角,双管霰弹枪"
37,source_quality,15,"珊瑚,水母,雪怪蟹,毒须鲶,绵鳚,水草"
38,source_quality,21,"绵鳚,步枪,填弹杆,手雷"
39,source_quality,28,"舱底蠕虫,流星索,手斧,淬锋钢,弯刀"
