rank,item,generality
1,淬锋钢,0.48861295437667279
2,绵鳚,0.3507396187095066
3,手斧,0.3114346847273155
4,马龙鱼,0.24972731138635992
5,水草,0.24041386556164265
6,靴里剑,0.16332166380386795
7,弹簧刀,0.15296410445183342
8,葡萄弹,0.15221741049247092
9,毒须鲶,0.15204661534045114
10,打火机,0.14887155646863609
11,燃烧响炮,0.14206236137740019
12,舱底蠕虫,0.14198935696698528
13,鲨齿爪,0.13885746119102288
14,飞鱼,0.13265858665984653
15,左轮手枪,0.10207639630317424
16,迷幻蝠鲼,0.08948496181583139
17,手雷,0.078710618079812153
18,皮皮虾,0.077776347862614614
19,火药角,0.075752109168811171
20,流星索,0.074133557903643399
21,海螺壳,0.070440198719646172
22,珊瑚,0.069818904362231496
23,独角鲸,0.060941090251408321
24,雪怪蟹,0.051955896963223142
25,水母,0.049897751856624165
26,步枪,0.042544024463856245
27,火炮,0.03926468575082033
28,迷你弯刀,0.035139679489413746
29,鹦鹉皮特,0.034394483524830689
30,藏刃匕首,0.032673431775065549
31,填弹杆,0.030060534110769387
32,武士刀,0.022514256999868369
33,珍珠,0.020211654176284746
34,海底热泉,0.019645076394864857
35,刺刀,0.018452661229603859
36,救生圈,0.017841427420959493
37,抓钩,0.012836412939320663
38,沙滩充气球,0.0085634553437577456
39,鱼饵,0.0071722535361371364
40,木桶,0.0041627027564341054
41,龙涎香,0.0035577060931257713
42,钓鱼竿,0.0031832926580842328
43,三花,0.0023328784193229128
44,珊瑚护甲,0.0012315383693638621
45,食人鱼,0.0011742031714008141
46,宠物石,0.00093958007349518506
47,湿件战服,0.00065330667986504684
48,双管霰弹枪,0
48,弯刀,0
48,手里剑,0
48,星图,0
48,渔网,0
48,温馨海湾,0
48,狼筅,0
48,铲子,0
