final_rank,signature,total_points,matchup_wins,matchup_draws,matchup_losses
1,"红宝石,香炉,碎瓶,彩虹药水,火焰药水,瓶装闪电,展示玻璃球,蜡烛",2358,24,0,0
2,"地刺陷阱,红宝石,彩虹药水,萤火虫,火焰药水,瓶装闪电,蜡烛,碎瓶,香炉",2283,23,0,1
3,"火焰药水,彩虹药水,碎瓶,红宝石,煅烧釜,蜡烛,香炉,瓶装闪电",2245,22,0,2
4,"碎瓶,香炉,瓶装闪电,火焰药水,蜡烛,红宝石,永恒火炬,彩虹药水",2089,21,0,3
5,"香炉,彩虹药水,蜡烛,红宝石,煅烧釜,嗅盐,昏睡药水,萤火虫",1992,20,0,4
6,"彩虹药水,火焰药水,瓶装闪电,昏睡药水,塔兹迪亚匕首,煅烧釜,香炉,鳄鱼眼泪,红宝石",1859,19,0,5
7,"昏睡药水,香炉,剑杖,彩虹药水,煅烧釜,红宝石,鳄鱼眼泪,火焰药水",1766,18,0,6
8,"鳄鱼眼泪,折射棱镜,昏睡药水,火焰药水,香炉,红宝石,彩虹药水,煅烧釜",1625,17,0,7
9,"曲颈甑,萤火虫,红宝石,煅烧釜,香炉,鳄鱼眼泪,彩虹药水,昏睡药水",1566,15,0,9
10,"瓶装闪电,煅烧釜,红宝石,展示玻璃球,碎瓶,彩虹药水,鳄鱼眼泪,火焰药水",1531,15,0,9
11,"地刺陷阱,昏睡药水,蜡烛,翡翠,真菌孢子,倒刺利爪,毒液,毒液注射,鳄鱼眼泪",1479,15,0,9
12,"红宝石,瓶装闪电,香炉,彩虹药水,鳄鱼眼泪,煅烧釜,火焰药水,贪婪渡鸦",1260,13,0,11
13,"彩虹药水,地窖,鳄鱼眼泪,煅烧釜,火焰药水,红宝石,香炉,瓶装闪电",1259,12,0,12
14,"火焰药水,彩虹药水,红宝石,煅烧釜,香炉,瓶装闪电,魔法飞毯,鳄鱼眼泪",1187,11,0,13
15,"腐朽圣像,倒刺利爪,毒液,真菌孢子,地刺陷阱,鳄鱼眼泪,翡翠,蜡烛",949,10,0,14
16,"彩虹药水,香炉,腐朽圣像,倒刺利爪,毒液,真菌孢子,地刺陷阱,鳄鱼眼泪,翡翠",756,8,0,16
17,"腐朽圣像,倒刺利爪,毒液,真菌孢子,煅烧釜,地刺陷阱,鳄鱼眼泪,翡翠",751,7,0,17
18,"真菌孢子,翡翠,毒液注射,贤者之石,水蛭,彩虹药水,炼金梨缶,毒芹",709,7,0,17
19,"水蛭,嗅盐,真菌孢子,翡翠,毒蜥,倒刺利爪,毒液,毒液注射,地刺陷阱",587,6,0,18
20,"水蛭,笔与墨,倒刺利爪,毒液,腐朽圣像,翡翠,真菌孢子,毒液注射",578,6,0,18
21,"翡翠,真菌孢子,贤者之石,水蛭,倒刺利爪,毒液,毒液注射,颠茄",469,4,0,20
22,"贤者之石,毒液注射,笔与墨,毒液,腐朽圣像,曲颈甑,翡翠,真菌孢子",311,3,0,21
23,"贤者之石,毒液注射,翡翠,腐朽圣像,真菌孢子,笔与墨,毒液,生命导体",171,1,0,23
24,"和平铸箱,真菌孢子,水蛭,毒液注射,倒刺利爪,毒液,翡翠,地刺陷阱",165,2,0,22
25,"和平铸箱,腐朽圣像,真菌孢子,毒液注射,倒刺利爪,毒液,翡翠,地刺陷阱",55,1,0,23
