peel_index,phase,node_index,signature
0,sink,5,"瓶装闪电,煅烧釜,鳄鱼眼泪,红宝石,展示玻璃球,碎瓶,彩虹药水,香炉"
1,sink,19,"香炉,剑杖,彩虹药水,煅烧釜,红宝石,鳄鱼眼泪,昏睡药水,瓶装闪电"
2,sink,16,"昏睡药水,萤火虫,香炉,剑杖,彩虹药水,煅烧釜,红宝石,鳄鱼眼泪"
3,sink,20,"昏睡药水,曲颈甑,红宝石,煅烧釜,彩虹药水,香炉,鳄鱼眼泪,火焰药水"
4,sink,24,"红宝石,煅烧釜,鳄鱼眼泪,剧毒药水,倒刺利爪,香炉,蜡烛,昏睡药水"
5,sink,30,"和平铸箱,毒蜥,笔与墨,毒液,真菌孢子,腐朽圣像,毒液注射,翡翠"
6,sink,32,"鳄鱼眼泪,彩虹药水,地窖,香炉,煅烧釜,萤火虫,火焰药水,红宝石"
7,sink,34,"萤火虫,彩虹药水,地窖,煅烧釜,鳄鱼眼泪,火焰药水,红宝石,瓶装闪电"
8,sink,42,"展示玻璃球,煅烧釜,彩虹药水,香炉,火焰药水,红宝石,鳄鱼眼泪,瓶装闪电"
9,sink,43,"香炉,碎瓶,贤者之石,瓶装闪电,火焰药水,蜡烛,红宝石,永恒火炬"
10,sink,4,"香炉,瓶装闪电,火焰药水,蜡烛,彩虹药水,贤者之石,红宝石,永恒火炬"
11,sink,48,"毒液注射,腐朽圣像,真菌孢子,黑玫瑰,笔与墨,毒液,翡翠,生命导体"
12,sink,49,"鳄鱼眼泪,红宝石,瓶装闪电,曲颈甑,煅烧釜,彩虹药水,昏睡药水,香炉"
13,sink,50,"折射棱镜,香炉,彩虹药水,昏睡药水,煅烧釜,鳄鱼眼泪,红宝石,萤火虫"
14,sink,44,"昏睡药水,彩虹药水,折射棱镜,香炉,煅烧釜,鳄鱼眼泪,红宝石,瓶装闪电"
15,sink,54,"飞蛾粉末,蜡烛,瓶装闪电,香炉,煅烧釜,萤火虫,红宝石,火焰药水"
16,sink,33,"飞蛾粉末,煅烧釜,火焰药水,彩虹药水,瓶装闪电,蜡烛,萤火虫,红宝石"
