final_rank,signature,total_points,matchup_wins,matchup_draws,matchup_losses
1,"珊瑚护甲,葡萄弹,手雷,填弹杆,步枪,珊瑚,淬锋钢",1418,14,0,4
2,"海螺壳,打火机,海底热泉,绵鳚,迷幻蝠鲼,鹦鹉皮特,皮皮虾,水草,燃烧响炮",1398,15,0,3
3,"流星索,手斧,鲨齿爪,左轮手枪,弹簧刀,武士刀,刺刀,葡萄弹",1320,14,0,4
4,"手斧,鲨齿爪,飞鱼,弹簧刀,马龙鱼,绵鳚,湿件战服",1287,13,0,5
5,"舱底蠕虫,手斧,珊瑚,鲨齿爪,弹簧刀,武士刀,刺刀,淬锋钢",1176,13,0,5
6,"珊瑚,马龙鱼,绵鳚,鲨齿爪,手斧,飞鱼,淬锋钢,燃烧响炮",1163,13,0,5
7,"火药角,火炮,绵鳚,珊瑚护甲,打火机,珊瑚,燃烧响炮,淬锋钢",1140,11,0,7
8,"火药角,火炮,绵鳚,海底热泉,水草,打火机,珊瑚,燃烧响炮",1117,12,0,6
9,"鲨齿爪,葡萄弹,手斧,舱底蠕虫,步枪,填弹杆,手雷",1038,10,0,8
10,"珊瑚,火药角,手雷,绵鳚,步枪,填弹杆,流星索,淬锋钢",909,7,0,11
11,"鲨齿爪,靴里剑,左轮手枪,弹簧刀,独角鲸,流星索,迷你弯刀,手斧,葡萄弹",883,9,0,9
12,"手斧,火药角,手雷,绵鳚,狼筅,鲨齿爪,靴里剑,葡萄弹",756,7,1,10
13,"狼筅,海底热泉,绵鳚,毒须鲶,燃烧响炮,珊瑚,打火机,水草",720,6,0,12
14,"海螺壳,珊瑚,鱼饵,淬锋钢,飞鱼,水母,雪怪蟹,毒须鲶,绵鳚,水草",683,6,0,12
15,"珊瑚护甲,珊瑚,火药角,手雷,绵鳚,狼筅,葡萄弹,淬锋钢",651,4,1,13
16,"狼筅,绵鳚,鲨齿爪,弹簧刀,武士刀,刺刀,手斧",587,8,0,10
17,"鲨齿爪,手斧,火药角,双管霰弹枪,弹簧刀,葡萄弹,舱底蠕虫,靴里剑",357,4,0,14
18,"鲨齿爪,手斧,流星索,葡萄弹,左轮手枪,弹簧刀,弯刀,淬锋钢",356,3,0,15
19,"手斧,鲨齿爪,弹簧刀,马龙鱼,淬锋钢,毒须鲶,沙滩充气球",141,1,0,17
