index,signature
0,"舱底蠕虫,手斧,鲨齿爪,葡萄弹,淬锋钢,火药角,双管霰弹枪,刺刀"
1,"水草,马龙鱼,弹簧刀,手斧,鲨齿爪,飞鱼,淬锋钢,舱底蠕虫"
2,"火药角,火炮,绵鳚,珊瑚护甲,打火机,珊瑚,燃烧响炮,淬锋钢"
3,"舱底蠕虫,靴里剑,手斧,鲨齿爪,弹簧刀,武士刀,刺刀,淬锋钢"
4,"鲨齿爪,葡萄弹,手斧,舱底蠕虫,步枪,填弹杆,手雷"
5,"步枪,填弹杆,流星索,靴里剑,鲨齿爪,葡萄弹,手斧"
6,"舱底蠕虫,手斧,鲨齿爪,左轮手枪,弹簧刀,武士刀,刺刀,淬锋钢"
7,"舱底蠕虫,手斧,珊瑚,鲨齿爪,弹簧刀,武士刀,刺刀,淬锋钢"
8,"燃烧响炮,打火机,绵鳚,海底热泉,珊瑚,水草,食人鱼,迷幻蝠鲼,皮皮虾"
9,"鲨齿爪,葡萄弹,靴里剑,手斧,步枪,填弹杆,手雷"
10,"葡萄弹,狼筅,手雷,填弹杆,步枪,珊瑚,淬锋钢"
11,"水草,绵鳚,毒须鲶,雪怪蟹,水母,迷幻蝠鲼,飞鱼,珊瑚,鱼饵,淬锋钢"
12,"流星索,海底热泉,绵鳚,鹦鹉皮特,迷幻蝠鲼,皮皮虾,打火机,水草,燃烧响炮"
13,"鲨齿爪,手斧,火药角,双管霰弹枪,弹簧刀,左轮手枪,葡萄弹,靴里剑"
14,"珊瑚,马龙鱼,弹簧刀,飞鱼,鲨齿爪,淬锋钢,手斧,舱底蠕虫"
15,"鲨齿爪,手斧,火药角,双管霰弹枪,弹簧刀,葡萄弹,舱底蠕虫,靴里剑"
16,"舱底蠕虫,手斧,鲨齿爪,独角鲸,弹簧刀,武士刀,刺刀,淬锋钢"
17,"珊瑚,马龙鱼,弹簧刀,飞鱼,手斧,鲨齿爪,左轮手枪,淬锋钢"
18,"珊瑚,马龙鱼,弹簧刀,葡萄弹,鲨齿爪,手斧,左轮手枪,淬锋钢"
19,"海螺壳,珊瑚,鱼饵,淬锋钢,飞鱼,水母,雪怪蟹,毒须鲶,绵鳚,水草"
20,"珊瑚,马龙鱼,弹簧刀,独角鲸,手斧,鲨齿爪,左轮手枪,淬锋钢"
21,"珊瑚,马龙鱼,弹簧刀,飞鱼,鲨齿爪,弯刀,淬锋钢"
22,"珊瑚,马龙鱼,淬锋钢,飞鱼,鲨齿爪,手斧,弯刀"
23,"水草,火药角,火炮,绵鳚,打火机,海螺壳,珊瑚,淬锋钢,燃烧响炮"
24,"鲨齿爪,手斧,流星索,葡萄弹,左轮手枪,弹簧刀,弯刀,淬锋钢"
25,"手斧,鲨齿爪,飞鱼,弹簧刀,马龙鱼,绵鳚,湿件战服"
26,"舱底蠕虫,手斧,鲨齿爪,迷你弯刀,弹簧刀,武士刀,刺刀,淬锋钢"
27,"靴里剑,珊瑚,鲨齿爪,淬锋钢,手斧,飞鱼,弹簧刀,马龙鱼"
28,"手斧,火药角,手雷,绵鳚,狼筅,鲨齿爪,靴里剑,葡萄弹"
29,"靴里剑,手斧,鲨齿爪,飞鱼,迷你弯刀,弹簧刀,马龙鱼,淬锋钢"
30,"舱底蠕虫,手斧,鲨齿爪,迷你弯刀,靴里剑,武士刀,刺刀,淬锋钢"
31,"珊瑚护甲,珊瑚,火药角,手雷,绵鳚,狼筅,葡萄弹,淬锋钢"
32,"手斧,流星索,鲨齿爪,迷你弯刀,弹簧刀,武士刀,刺刀,靴里剑"
33,"靴里剑,手斧,鲨齿爪,淬锋钢,火药角,手雷,弹簧刀,马龙鱼"
34,"手斧,鲨齿爪,弹簧刀,马龙鱼,淬锋钢,毒须鲶,沙滩充气球"
35,"鱼饵,珊瑚,珍珠,水母,雪怪蟹,毒须鲶,绵鳚,水草,海螺壳,打火机"
36,"马龙鱼,葡萄弹,火药角,流星索,鲨齿爪,手斧,飞鱼,淬锋钢"
37,"手斧,靴里剑,鲨齿爪,左轮手枪,弹簧刀,武士刀,刺刀,葡萄弹"
38,"珊瑚,打火机,海底热泉,绵鳚,迷幻蝠鲼,鹦鹉皮特,皮皮虾,水草,燃烧响炮"
39,"救生圈,舱底蠕虫,鲨齿爪,淬锋钢,飞鱼,弹簧刀,马龙鱼"
40,"狼筅,海底热泉,绵鳚,毒须鲶,燃烧响炮,珊瑚,打火机,水草"
41,"救生圈,飞鱼,舱底蠕虫,淬锋钢,鲨齿爪,绵鳚,马龙鱼"
42,"狼筅,打火机,绵鳚,海底热泉,火药角,火炮,燃烧响炮"
43,"手斧,鲨齿爪,流星索,独角鲸,弹簧刀,武士刀,刺刀,淬锋钢"
44,"救生圈,舱底蠕虫,淬锋钢,手斧,鲨齿爪,绵鳚,马龙鱼"
45,"珊瑚护甲,葡萄弹,手雷,填弹杆,步枪,珊瑚,淬锋钢"
46,"珊瑚,马龙鱼,绵鳚,鲨齿爪,手斧,飞鱼,淬锋钢,舱底蠕虫"
47,"狼筅,绵鳚,鲨齿爪,弹簧刀,马龙鱼,飞鱼,手斧"
48,"珊瑚,葡萄弹,步枪,填弹杆,手雷,手斧,鲨齿爪"
49,"珊瑚,靴里剑,手斧,鲨齿爪,弹簧刀,武士刀,刺刀,淬锋钢"
50,"水草,绵鳚,毒须鲶,雪怪蟹,水母,迷幻蝠鲼,飞鱼,鱼饵,海螺壳,淬锋钢"
51,"水草,绵鳚,毒须鲶,雪怪蟹,水母,飞鱼,珍珠,淬锋钢,海螺壳,鱼饵"
52,"舱底蠕虫,手斧,藏刃匕首,弹簧刀,马龙鱼,淬锋钢,毒须鲶,沙滩充气球"
53,"鲨齿爪,藏刃匕首,弹簧刀,马龙鱼,淬锋钢,毒须鲶,沙滩充气球"
54,"珊瑚,火药角,手雷,绵鳚,步枪,填弹杆,流星索,淬锋钢"
55,"舱底蠕虫,手斧,火药角,流星索,鲨齿爪,淬锋钢,葡萄弹,马龙鱼"
56,"燃烧响炮,打火机,绵鳚,海底热泉,珊瑚,水草,飞鱼,迷幻蝠鲼,皮皮虾"
57,"火药角,火炮,绵鳚,海底热泉,水草,打火机,珊瑚,燃烧响炮"
58,"海螺壳,打火机,海底热泉,绵鳚,迷幻蝠鲼,鹦鹉皮特,皮皮虾,水草,燃烧响炮"
59,"鲨齿爪,葡萄弹,左轮手枪,弹簧刀,迷你弯刀,狼筅,手斧,靴里剑"
60,"海螺壳,皮皮虾,迷幻蝠鲼,飞鱼,打火机,绵鳚,海底热泉,水草,燃烧响炮"
61,"手斧,鲨齿爪,靴里剑,独角鲸,弹簧刀,武士刀,刺刀,淬锋钢"
62,"狼筅,绵鳚,鲨齿爪,弹簧刀,武士刀,刺刀,手斧"
63,"珍珠,水母,雪怪蟹,鱼饵,钓鱼竿,毒须鲶,绵鳚,水草,打火机"
64,"珊瑚,马龙鱼,绵鳚,鲨齿爪,打火机,手斧,飞鱼,淬锋钢"
65,"狼筅,鲨齿爪,流星索,左轮手枪,弹簧刀,迷你弯刀,手斧,葡萄弹"
66,"鲨齿爪,靴里剑,左轮手枪,弹簧刀,独角鲸,流星索,迷你弯刀,手斧,葡萄弹"
67,"珍珠,水草,海底热泉,绵鳚,迷幻蝠鲼,鹦鹉皮特,皮皮虾,燃烧响炮,打火机"
68,"珍珠,海螺壳,珊瑚,钓鱼竿,毒须鲶,绵鳚,水草,鱼饵,打火机"
69,"珊瑚,钓鱼竿,毒须鲶,绵鳚,水草,珍珠,水母,鱼饵,打火机"
70,"水草,珊瑚,马龙鱼,绵鳚,鲨齿爪,飞鱼,淬锋钢,海螺壳"
71,"珊瑚,马龙鱼,绵鳚,鲨齿爪,手斧,飞鱼,淬锋钢,燃烧响炮"
72,"流星索,鲨齿爪,手斧,飞鱼,葡萄弹,弹簧刀,马龙鱼,淬锋钢"
73,"流星索,鲨齿爪,手斧,靴里剑,飞鱼,弹簧刀,马龙鱼,淬锋钢"
74,"流星索,手斧,鲨齿爪,左轮手枪,弹簧刀,武士刀,刺刀,葡萄弹"
75,"流星索,靴里剑,手斧,鲨齿爪,左轮手枪,弹簧刀,武士刀,刺刀"
