rank,anchor,specialty
1,带刃悬浮板,1
1,水车,1
1,海狗沙龙,1
1,船长舱,1
5,篝火,0.99904706184993053
6,连发步枪,0.99716413076993748
7,填弹杆,0.99713642713878503
8,马龙鱼,0.99629242207384594
9,步枪,0.99586629566013474
10,烈酒杯,0.99516887574166046
11,风暴瓶,0.99444455234701268
12,抛石机,0.99320972432995425
13,元素深水炸弹,0.99286552323802735
14,喷射摩托,0.98188970712914114
15,旗舰,0.97691789421365161
16,海影宝驹,0.97525311487013788
17,火炮,0.97179041035402203
18,港口,0.95798973759935491
19,雪怪蟹,0.95620569693203805
20,船首像,0.94732016082549386
21,弯刀,0.94369509343944813
22,船舵,0.94107048877947574
23,鱼雷,0.93973597518204544
24,双管霰弹枪,0.93907555979230117
25,加速烙刀,0.93859729194341468
26,武士刀,0.92487673308461649
27,深潜器,0.91056352265737872
28,燃烧响炮,0.89474216203110901
29,潜行滑翔机,0.88812537255990542
30,幽渊鮟鱇,0.86817897391900056
31,鲨齿爪,0.85661556843276543
32,恶鬼面具,0.8526272820488493
33,潜水配重,0.81833272954287417
34,标枪,0.81332693062385397
35,潜艇,0.79920396999430166
36,枪套,0.79118600155326069
37,牌桌,0.78912560864962544
38,星盘,0.76882591565699854
39,大钢弩,0.75629312098501644
40,火药角,0.74064720331246858
41,绵鳚,0.73351289722620339
42,海底热泉,0.70212060509629071
43,打火机,0.70191299594157153
44,燃烧子弹,0.6710293190808384
45,救生圈,0.63456782784495114
46,狼筅,0.59302473600737449
47,独角鲸,0.58995106196864822
48,吸血章鱼,0.58814859845776091
49,鸦巢,0.57446917025704614
50,水母,0.55865956301139041
51,毒须鲶,0.52870687095335289
52,鳐鲨,0.50444356977106497
53,炮弹,0.48971809888213252
54,减速烙刀,0.48859187700746476
55,赛博铁尺,0.45152744103111397
56,河豚,0.45111996281141598
57,飞鱼,0.40198620432493193
58,火枪,0.3616994519997645
59,六分仪,0.33068854207632481
60,套娃,0.32509040425376212
61,珊瑚护甲,0.3152920233405519
62,通缉海报,0.27414525051843935
63,码头缆索,0.27148992210772044
64,湿件战服,0.26108196602047778
65,温馨海湾,0.25612119108679959
66,集成式HUD,0.25210814844519308
67,刺刀,0.24975246606331775
68,迷你弯刀,0.24101272459409709
69,左轮手枪,0.23622868614053841
70,手雷,0.21214873449154806
71,沙滩充气球,0.20522241393586091
72,星图,0.20401336002236028
73,水草,0.20104851791780606
74,小冰镐,0.19622821315663844
75,鹦鹉皮特,0.19569544774582837
76,烙刀,0.19082844621326722
77,手里剑,0.18511880878222325
78,食人鱼,0.18221938498200876
79,淬锋钢,0.1671305168715041
80,海螺壳,0.16640641606300105
81,十手,0.16618322671388761
82,锁镰,0.16376917077827691
83,葡萄弹,0.15942166141521558
84,珊瑚,0.15934043853477747
85,铲子,0.15698165844233761
86,盐钳海盗,0.15188684838504932
87,珍珠,0.14186937691389678
88,理查森先生,0.13203719777981537
89,钓鱼竿,0.12017899972005285
90,手斧,0.12010083747475191
91,皮皮虾,0.11857905443196043
92,蝶剑,0.11348394654439405
93,拍立蚌,0.10808154189856917
94,流星索,0.099685148146900521
95,深海弯刀,0.096898777735113809
96,靴里剑,0.091904576295654947
97,龙涎香,0.086812496385505047
98,渔网,0.085960862462832188
99,迷幻蝠鲼,0.079468806691682201
100,藏刃匕首,0.071662162207957625
101,抓钩,0.049896153666701436
102,木桶,0.036066739650703457
103,鱼饵,0.033647725262379719
104,飞镖发射器,0.031498745243582746
105,宠物石,0.03105367507768482
106,定制准镜,0.017743744523708638
107,蔻森娜纹章,0.015821887395466649
108,弹簧刀,0.0088076876777914131
109,消音器,0.0078586496046312328
110,三花,0.0057451819768700937
111,锁匣,0.0034164628252796973
112,舱底蠕虫,0.0027324913331818676
113,鱼叉,0.00034368367267787587
114,伪装,2.7451365777271128e-05
115,橘利安,-1.3622831729603495e-05
