order,node_index,signature
0,0,"大钢弩,烈酒杯,枪套,潜水配重,绵鳚,加速烙刀,救生圈"
1,2,"珊瑚,拍立蚌,流星索,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,皮皮虾,迷幻蝠鲼"
2,4,"盐钳海盗,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,水车,拍立蚌"
3,5,"珍珠,潜水配重,拍立蚌,水母,雪怪蟹,元素深水炸弹,绵鳚,水草,小冰镐"
4,6,"毒须鲶,雪怪蟹,元素深水炸弹,船舵,小冰镐,鸦巢"
5,9,"淬锋钢,水车,火药角,双管霰弹枪,鸦巢"
6,11,"手斧,小冰镐,流星索,淬锋钢,手里剑,带刃悬浮板,潜水配重,深潜器"
7,12,"小冰镐,淬锋钢,火药角,双管霰弹枪,水车,珊瑚,理查森先生"
8,13,"流星索,靴里剑,手里剑,刺刀,葡萄弹,鲨齿爪,小冰镐,左轮手枪,手斧"
9,15,"潜水配重,珊瑚,淬锋钢,火药角,双管霰弹枪,消音器,鸦巢"
10,19,"炮弹,烈酒杯,牌桌,淬锋钢,六分仪,潜水配重,吸血章鱼,枪套"
11,22,"小冰镐,喷射摩托,理查森先生,潜行滑翔机,潜水配重,飞鱼"
12,23,"理查森先生,淬锋钢,水车,套娃,弯刀,码头缆索"
13,24,"十手,牌桌,皮皮虾,烈酒杯,炮弹,流星索,救生圈,拍立蚌"
14,26,"鳐鲨,大钢弩,绵鳚,独角鲸,枪套,水母,潜水配重,飞鱼"
15,29,"小冰镐,套娃,水车,步枪,填弹杆,流星索"
16,39,"救生圈,拍立蚌,幽渊鮟鱇,十手,火药角,烈酒杯,皮皮虾,燃烧响炮"
17,41,"鸦巢,淬锋钢,带刃悬浮板,潜水配重,船长舱"
18,42,"淬锋钢,带刃悬浮板,潜水配重,深潜器,水车,拍立蚌"
19,44,"拍立蚌,淬锋钢,带刃悬浮板,潜水配重,船舵,船长舱"
20,48,"恶鬼面具,蔻森娜纹章,淬锋钢,打火机,湿件战服,绵鳚,小冰镐,燃烧响炮"
21,49,"船首像,舱底蠕虫,手斧,手里剑,弹簧刀,武士刀,刺刀,淬锋钢"
22,54,"蔻森娜纹章,恶鬼面具,打火机,绵鳚,燃烧响炮,燃烧子弹,套娃,流星索,靴里剑"
23,58,"枪套,燃烧响炮,潜水配重,绵鳚,大钢弩,小冰镐,抛石机"
24,59,"打火机,燃烧响炮,绵鳚,篝火,抛石机,救生圈"
25,61,"流星索,手斧,手雷,填弹杆,步枪,绵鳚,小冰镐,葡萄弹"
26,63,"鱼雷,拍立蚌,燃烧响炮,绵鳚,旗舰,蔻森娜纹章,淬锋钢"
27,64,"理查森先生,潜水配重,旗舰,淬锋钢,鸦巢,蔻森娜纹章"
28,65,"拍立蚌,大钢弩,燃烧响炮,绵鳚,加速烙刀,烈酒杯,星盘"
29,67,"燃烧响炮,潜行滑翔机,飞鱼,小冰镐,绵鳚,湿件战服,打火机"
30,69,"烈酒杯,加速烙刀,绵鳚,大钢弩,藏刃匕首,小冰镐,标枪"
31,73,"手斧,流星索,小冰镐,弹簧刀,武士刀,水车,淬锋钢"
32,78,"加速烙刀,小冰镐,套娃,水车,拍立蚌,潜水配重,理查森先生"
33,81,"海底热泉,绵鳚,葡萄弹,打火机,流星索,燃烧响炮,鱼雷,蔻森娜纹章"
34,82,"六分仪,淬锋钢,船舵,沙滩充气球,吸血章鱼,海影宝驹"
35,85,"流星索,鱼雷,独角鲸,迷幻蝠鲼,皮皮虾,绵鳚,海狗沙龙"
36,90,"葡萄弹,港口,绵鳚,鱼雷,燃烧响炮,流星索,手雷"
37,91,"鱼雷,手雷,港口,水车,套娃"
38,93,"珊瑚,潜水配重,港口,流星索,鱼雷,救生圈"
39,94,"小冰镐,淬锋钢,枪套,深潜器,带刃悬浮板,潜水配重,湿件战服"
40,97,"鱼饵,淬锋钢,燃烧子弹,潜艇,湿件战服,绵鳚,小冰镐"
41,98,"燃烧响炮,燃烧子弹,潜行滑翔机,绵鳚,加速烙刀,飞鱼,打火机"
42,101,"手斧,打火机,流星索,鱼雷,火药角,火炮,绵鳚,燃烧响炮"
43,105,"十手,大钢弩,绵鳚,火药角,烈酒杯,皮皮虾,拍立蚌,枪套,流星索"
44,111,"湿件战服,淬锋钢,带刃悬浮板,潜水配重,独角鲸,弹簧刀,手斧,舱底蠕虫"
45,114,"狼筅,加速烙刀,标枪,绵鳚,打火机,枪套,燃烧响炮"
46,119,"藏刃匕首,潜水配重,船舵,小冰镐,抛石机,大钢弩"
47,120,"藏刃匕首,船舵,加速烙刀,烈酒杯,大钢弩,海影宝驹"
48,122,"船长舱,绵鳚,手雷,手里剑,刺刀,流星索,手斧,小冰镐"
49,124,"船首像,靴里剑,手斧,小冰镐,枪套,手里剑,带刃悬浮板,淬锋钢"
50,125,"套娃,燃烧响炮,流星索,填弹杆,连发步枪,弹簧刀,鱼雷"
51,130,"枪套,雪怪蟹,风暴瓶,绵鳚,小冰镐,流星索,燃烧响炮,大钢弩"
52,131,"枪套,风暴瓶,绵鳚,打火机,燃烧子弹,拍立蚌,大钢弩,燃烧响炮"
53,132,"牌桌,码头缆索,马龙鱼,水车,淬锋钢"
54,134,"火药角,鱼雷,潜水配重,水车,拍立蚌,大钢弩"
55,135,"火药角,鱼雷,大钢弩,绵鳚,潜水配重,拍立蚌,枪套,燃烧响炮"
56,139,"大钢弩,鳐鲨,吸血章鱼,水母,救生圈,潜水配重,飞鱼"
57,141,"淬锋钢,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,吸血章鱼,鸦巢"
58,34,"打火机,拍立蚌,潜水配重,绵鳚,大钢弩,加速烙刀,燃烧响炮,枪套"
59,115,"大钢弩,理查森先生,绵鳚,打火机,篝火,燃烧响炮,燃烧子弹,套娃"
